func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,3,72.0871,0,29.682,22633,7.70154,1.92,-1,1,-1,506.7776725,2+,
1,2,84.0899,0,28.9452,4037,7.31808,1.85,-1,1,-1,506.7776725,2+,
1,1,110.0836,0,28.6894,9805,6.37003,1.85,-1,1,-1,506.7776725,2+,
1,5,129.1179,0,34.7644,10784,7.23459,2.23,-1,1,-1,506.7776725,2+,
1,4,130.1016,0,34.3154,4404,6.45554,2.23,-1,1,-1,506.7776725,2+,
1,7,136.092,0,37.9105,6758,6.8136,2.42,-1,1,-1,506.7776725,2+,
1,6,147.1297,0,37.5399,6967,6.58923,2.42,-1,1,-1,506.7776725,2+,
1,8,157.1161,0,39.2978,6049,6.6417,2.55,-1,1,-1,506.7776725,2+,
1,9,169.117,0,42.0114,4314,6.98234,2.74,-1,1,-1,506.7776725,2+,
1,10,186.1476,0,44.067,3089,6.95539,2.87,-1,1,-1,506.7776725,2+,
1,11,204.1593,0,49.4122,4892,4.07703,3.19,-1,1,-1,506.7776725,2+,
1,12,249.1282,0,53.6509,4739,7.51992,3.45,-1,1,-1,506.7776725,2+,
1,16,257.1924,0,59.0327,4352,7.3034,3.84,-1,1,-1,506.7776725,2+,
1,14,258.1763,0,58.1823,6529,7.15478,3.77,-1,1,-1,506.7776725,2+,
1,13,267.1407,0,57.8234,11041,7.24891,3.71,-1,1,-1,506.7776725,2+,
1,17,272.1556,0,60.9506,15794,7.47306,3.9,-1,1,-1,506.7776725,2+,
1,18,275.2059,0,61.1173,4552,4.71614,3.96,-1,1,-1,506.7776725,2+,
1,31,282.2155,0,71.0202,6440,7.80457,4.61,-1,1,-1,506.7776725,2+,
1,22,315.204,0,67.1715,3239,7.18151,4.34,-1,1,-1,506.7776725,2+,
1,21,324.1842,0,66.4825,3311,7.13891,4.27,-1,1,-1,506.7776725,2+,
1,27,358.1799,0,69.6261,2727,5.20073,4.47,-1,1,-1,506.7776725,2+,
1,33,376.2199,0,80.4591,3075,5.91912,5.17,-1,1,-1,506.7776725,2+,
1,34,388.3,0,84.4178,10626,8.25262,5.43,-1,1,-1,506.7776725,2+,
1,15,391.7162,0,58.3831,1251,3.24255,3.76,-1,1,-1,506.7776725,2+,
1,32,404.216,0,79.0784,10275,8.12846,5.11,-1,1,-1,506.7776725,2+,
1,35,410.2883,0,85.7416,4259,5.69335,5.5,-1,1,-1,506.7776725,2+,
1,36,410.2885,0,89.6437,1248,3.5042,5.75,-1,1,-1,506.7776725,2+,
1,37,424.2706,0,91.3764,7043,8.26247,5.88,-1,1,-1,506.7776725,2+,
1,19,442.761,0,64.1687,6137,6.06986,4.15,-1,1,-1,506.7776725,2+,
1,20,443.2632,0,64.6555,3178,5.78033,4.15,-1,1,-1,506.7776725,2+,
1,39,459.3504,0,98.169,2958,6.09589,6.33,-1,1,-1,506.7776725,2+,
1,24,489.2817,0,67.8903,2785,6.28941,4.34,-1,1,-1,506.7776725,2+,
1,23,498.2897,0,67.6926,3299,6.83768,4.34,-1,1,-1,506.7776725,2+,
1,26,506.3135,0,68.9137,2408,4.87684,4.4,-1,1,-1,506.7776725,2+,
1,25,506.8232,0,67.9892,3542,7.53819,4.34,-1,1,-1,506.7776725,2+,
1,30,507.2878,0,69.9002,13159,6.05333,4.47,-1,1,-1,506.7776725,2+,
1,29,507.792,0,69.859,8252,5.97438,4.47,-1,1,-1,506.7776725,2+,
1,28,508.2937,0,69.751,2303,5.66209,4.47,-1,1,-1,506.7776725,2+,
1,38,526.2919,0,95.8733,1697,2.55221,6.14,-1,1,-1,506.7776725,2+,
1,42,556.4043,0,113.2722,35935,9.24203,7.29,-1,1,-1,506.7776725,2+,
1,41,557.4155,0,113.067,14484,9.07852,7.29,-1,1,-1,506.7776725,2+,
1,44,610.3709,0,116.0095,8524,8.94278,7.49,-1,1,-1,506.7776725,2+,
1,40,620.3775,0,111.4882,2764,3.21038,7.16,-1,1,-1,506.7776725,2+,
1,43,639.3886,0,115.1438,5682,9.24874,7.41,-1,1,-1,506.7776725,2+,
