func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,110.0845,0,25.8259,7584,5.56555,1.66,-1,1,-1,791.415199,2+,
1,2,129.1196,0,31.296898,3865,5.84694,2.04,-1,1,-1,791.415199,2+,
1,4,136.0918,0,33.7546,16144,5.84189,2.16,-1,1,-1,791.415199,2+,
1,3,147.1333,0,33.3958,4204,5.68085,2.16,-1,1,-1,791.415199,2+,
1,5,159.1124,0,37.8113,5968,5.99542,2.42,-1,1,-1,791.415199,2+,
1,6,201.1143,0,40.7113,4111,6.30301,2.61,-1,1,-1,791.415199,2+,
1,7,207.1396,0,43.7591,14096,6.29502,2.81,-1,1,-1,791.415199,2+,
1,9,223.1852,0,48.2939,2893,6.17751,3.13,-1,1,-1,791.415199,2+,
1,8,235.1373,0,47.2711,15715,5.99878,3.06,-1,1,-1,791.415199,2+,
1,10,248.1935,0,49.1789,8860,5.93687,3.19,-1,1,-1,791.415199,2+,
1,12,251.1837,0,53.043,5566,6.06611,3.45,-1,1,-1,791.415199,2+,
1,11,272.1599,0,51.5058,4944,6.09485,3.32,-1,1,-1,791.415199,2+,
1,15,306.1845,0,61.8275,12056,6.57048,3.96,-1,1,-1,791.415199,2+,
1,13,324.19,0,57.1299,4429,6.46183,3.7,-1,1,-1,791.415199,2+,
1,14,345.221,0,61.2468,3157,6.2811,3.95,-1,1,-1,791.415199,2+,
1,20,350.2661,0,67.1472,7295,6.86482,4.34,-1,1,-1,791.415199,2+,
1,18,362.2496,0,63.527298,11075,6.37598,4.08,-1,1,-1,791.415199,2+,
1,19,363.2529,0,63.6522,2735,6.35308,4.08,-1,1,-1,791.415199,2+,
1,21,380.2462,0,67.321,2942,6.3455,4.34,-1,1,-1,791.415199,2+,
1,23,407.2472,0,70.8736,4527,6.90721,4.53,-1,1,-1,791.415199,2+,
1,24,423.2778,0,72.7149,3493,7.58025,4.66,-1,1,-1,791.415199,2+,
1,25,435.2431,0,73.2184,10081,7.00056,4.72,-1,1,-1,791.415199,2+,
1,28,451.29,0,77.0816,3749,6.73207,4.98,-1,1,-1,791.415199,2+,
1,31,487.3446,0,82.1766,3660,7.44133,5.3,-1,1,-1,791.415199,2+,
1,16,517.8436,0,62.6518,6138,5.15647,4.02,-1,1,-1,791.415199,2+,
1,17,518.3453,0,62.6787,4110,4.98414,4.02,-1,1,-1,791.415199,2+,
1,33,548.3517,0,87.4485,14915,7.54486,5.62,-1,1,-1,791.415199,2+,
1,32,549.3565,0,87.1921,3241,4.7997,5.62,-1,1,-1,791.415199,2+,
1,22,574.3949,0,68.2882,2108,5.07051,4.4,-1,1,-1,791.415199,2+,
1,37,620.3846,0,92.3689,4465,7.51917,5.94,-1,1,-1,791.415199,2+,
1,38,657.4254,0,102.1965,6332,8.40999,6.58,-1,1,-1,791.415199,2+,
1,26,674.4509,0,74.869,1583,2.827,4.78,-1,1,-1,791.415199,2+,
1,27,674.9507,0,75.0704,2889,4.93936,4.84,-1,1,-1,791.415199,2+,
1,39,685.4222,0,102.4792,23887,8.18445,6.58,-1,1,-1,791.415199,2+,
1,40,686.4296,0,102.7442,11049,7.96035,6.58,-1,1,-1,791.415199,2+,
1,29,709.9715,0,80.2707,3181,5.84654,5.16,-1,1,-1,791.415199,2+,
1,30,710.4723,0,80.6263,2886,5.62189,5.16,-1,1,-1,791.415199,2+,
1,41,783.4677,0,111.5273,7302,7.85171,7.16,-1,1,-1,791.415199,2+,
1,43,784.5049,0,112.4917,10633,8.24488,7.22,-1,1,-1,791.415199,2+,
1,42,785.5154,0,112.3713,2686,4.72941,7.22,-1,1,-1,791.415199,2+,
1,36,791.5115,0,87.7941,5801,5.49697,5.61,-1,1,-1,791.415199,2+,
1,34,792.01,0,87.4716,6661,5.76587,5.61,-1,1,-1,791.415199,2+,
1,35,792.5158,0,87.6612,3313,5.85365,5.61,-1,1,-1,791.415199,2+,
1,45,798.5203,0,117.1451,8808,8.53111,7.54,-1,1,-1,791.415199,2+,
1,44,799.5235,0,117.0442,4349,8.63787,7.54,-1,1,-1,791.415199,2+,
1,47,897.6005,0,124.6804,14363,8.87352,7.99,-1,1,-1,791.415199,2+,
1,46,898.6074,0,124.2912,8891,8.91388,7.99,-1,1,-1,791.415199,2+,
1,48,1034.6823,0,137.3961,12136,8.98094,8.82,-1,1,-1,791.415199,2+,
1,49,1035.6862,0,138.789,5181,5.9143,8.88,-1,1,-1,791.415199,2+,
