func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,72.0894,0,26.8229,3312,6.32273,1.72,-1,1,-1,1127.084087,3+,
1,2,129.1206,0,30.3391,2676,5.41851,1.97,-1,1,-1,1127.084087,3+,
1,3,136.0961,0,32.9786,3195,5.49993,2.1,-1,1,-1,1127.084087,3+,
1,4,143.1386,0,33.8439,4460,5.75696,2.16,-1,1,-1,1127.084087,3+,
1,5,282.2213,0,58.125,4157,6.40081,3.77,-1,1,-1,1127.084087,3+,
1,7,426.226,0,68.5029,4449,6.49872,4.4,-1,1,-1,1127.084087,3+,
1,9,434.3002,0,71.4582,1667,3.61377,4.6,-1,1,-1,1127.084087,3+,
1,8,454.2255,0,69.6731,5939,6.22808,4.47,-1,1,-1,1127.084087,3+,
1,10,471.2544,0,72.7138,3129,6.71974,4.66,-1,1,-1,1127.084087,3+,
1,14,563.4385,0,88.3505,3074,6.45887,5.69,-1,1,-1,1127.084087,3+,
1,11,569.2719,0,82.9894,4023,7.98322,5.3,-1,1,-1,1127.084087,3+,
1,6,579.8449,0,61.5415,2265,4.82294,3.95,-1,1,-1,1127.084087,3+,
1,15,620.3854,0,88.6719,12851,6.87188,5.68,-1,1,-1,1127.084087,3+,
1,12,621.3913,0,87.382,1503,4.00202,5.61,-1,1,-1,1127.084087,3+,
1,17,783.4683,0,106.2889,21765,7.8504,6.83,-1,1,-1,1127.084087,3+,
1,16,784.4761,0,105.8089,7845,7.58255,6.77,-1,1,-1,1127.084087,3+,
1,18,832.6505,0,114.7693,3454,7.61198,7.35,-1,1,-1,1127.084087,3+,
1,13,843.5974,0,87.5995,2486,5.25941,5.61,-1,1,-1,1127.084087,3+,
1,20,882.5588,0,119.759,11144,7.82992,7.67,-1,1,-1,1127.084087,3+,
1,19,883.5636,0,118.2101,4179,7.62515,7.61,-1,1,-1,1127.084087,3+,
1,21,995.6577,0,132.1554,5904,8.03379,8.51,-1,1,-1,1127.084087,3+,
1,22,1066.7041,0,138.921,3328,5.59311,8.88,-1,1,-1,1127.084087,3+,
1,23,1276.8723,0,161.6485,6743,8.88388,10.36,-1,1,-1,1127.084087,3+,
