func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,120.0987,0,38.2487,3397,5.58577,2.49,-1,1,-1,509.754197,2+,
1,3,175.1256,0,45.2863,3151,5.5309,2.94,-1,1,-1,509.754197,2+,
1,2,175.1598,0,43.657,4481,5.39134,2.81,-1,1,-1,509.754197,2+,
1,4,183.1881,0,46.8253,15850,6.12661,3,-1,1,-1,509.754197,2+,
1,5,184.1958,0,46.8497,2487,5.9744,3,-1,1,-1,509.754197,2+,
1,8,211.1952,0,53.2318,5426,5.62252,3.45,-1,1,-1,509.754197,2+,
1,6,235.1552,0,52.982,25439,6.02718,3.39,-1,1,-1,509.754197,2+,
1,7,236.1669,0,53.1932,5678,5.39676,3.45,-1,1,-1,509.754197,2+,
1,12,263.1681,0,54.9414,3028,5.33558,3.51,-1,1,-1,509.754197,2+,
1,13,282.2487,0,64.3355,3450,5.79558,4.16,-1,1,-1,509.754197,2+,
1,14,344.2358,0,66.6752,4527,6.1569,4.27,-1,1,-1,509.754197,2+,
1,15,361.255,0,68.1965,23269,6.15991,4.4,-1,1,-1,509.754197,2+,
1,16,362.2693,0,68.2884,5320,5.66096,4.4,-1,1,-1,509.754197,2+,
1,11,378.7853,0,54.1534,5782,4.20099,3.5,-1,1,-1,509.754197,2+,
1,9,379.275,0,53.6283,9703,4.64033,3.44,-1,1,-1,509.754197,2+,
1,10,379.7813,0,53.7698,4181,4.43561,3.44,-1,1,-1,509.754197,2+,
1,18,458.3031,0,77.6355,5026,6.39347,4.98,-1,1,-1,509.754197,2+,
1,17,459.2884,0,77.0833,5860,6.57841,4.98,-1,1,-1,509.754197,2+,
1,20,475.3328,0,78.8776,7218,5.99332,5.05,-1,1,-1,509.754197,2+,
1,19,476.3091,0,78.8544,18903,6.30082,5.05,-1,1,-1,509.754197,2+,
1,21,477.3236,0,79.1018,2441,3.48814,5.11,-1,1,-1,509.754197,2+,
1,23,529.3579,0,83.769,4697,7.19133,5.37,-1,1,-1,509.754197,2+,
1,22,530.3439,0,82.8638,5968,6.93399,5.3,-1,1,-1,509.754197,2+,
1,25,546.3682,0,86.9736,30330,6.84649,5.56,-1,1,-1,509.754197,2+,
1,24,547.3511,0,86.8712,44091,7.62807,5.56,-1,1,-1,509.754197,2+,
1,26,548.3732,0,87.0964,17917,6.90172,5.62,-1,1,-1,509.754197,2+,
1,29,659.4837,0,100.5095,21538,6.89974,6.45,-1,1,-1,509.754197,2+,
1,28,660.4674,0,99.8968,30647,7.78362,6.39,-1,1,-1,509.754197,2+,
1,27,661.4858,0,99.1724,11239,7.35949,6.39,-1,1,-1,509.754197,2+,
1,30,739.5449,0,103.4985,4597,6.93473,6.64,-1,1,-1,509.754197,2+,
1,31,740.5362,0,103.5863,4014,7.60116,6.64,-1,1,-1,509.754197,2+,
1,34,756.5596,0,105.833,24391,7.47208,6.77,-1,1,-1,509.754197,2+,
1,35,757.5486,0,107.3259,19706,5.86546,6.9,-1,1,-1,509.754197,2+,
1,33,757.5496,0,104.0632,14090,5.22874,6.71,-1,1,-1,509.754197,2+,
1,36,758.563,0,107.9931,12466,8.6843,6.9,-1,1,-1,509.754197,2+,
1,32,758.5661,0,104.0247,7608,5.6228,6.71,-1,1,-1,509.754197,2+,
