func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,70.0424,0,15.890499,4654,2.96763,1.02,-1,1,-1,490.2487485,2+,
1,3,127.0928,0,16.0966,1567,2.33695,1.07,-1,1,-1,490.2487485,2+,
1,5,136.0841,0,16.1439,2989,2.492,1.07,-1,1,-1,490.2487485,2+,
1,2,145.0725,0,16.0818,1305,2.39132,1.07,-1,1,-1,490.2487485,2+,
1,6,155.0957,0,16.1508,1020,2.35836,1.07,-1,1,-1,490.2487485,2+,
1,4,158.1078,0,16.1271,1493,2.47227,1.07,-1,1,-1,490.2487485,2+,
1,7,173.0747,0,16.1568,952,2.59042,1.07,-1,1,-1,490.2487485,2+,
1,8,175.137,0,16.263,4541,2.47328,1.07,-1,1,-1,490.2487485,2+,
1,9,183.1688,0,16.8866,6664,3.29438,1.07,-1,1,-1,490.2487485,2+,
1,11,206.1164,0,17.2923,1269,3.31593,1.14,-1,1,-1,490.2487485,2+,
1,13,211.1693,0,18.4217,1853,4.03717,1.2,-1,1,-1,490.2487485,2+,
1,10,224.1288,0,17.0733,5165,3.0481,1.14,-1,1,-1,490.2487485,2+,
1,15,237.1518,0,18.9981,2381,3.89802,1.2,-1,1,-1,490.2487485,2+,
1,17,244.1957,0,19.9568,3103,4.39336,1.27,-1,1,-1,490.2487485,2+,
1,12,252.1304,0,18.0788,2041,3.85766,1.2,-1,1,-1,490.2487485,2+,
1,16,260.1544,0,19.1661,2531,4.08994,1.27,-1,1,-1,490.2487485,2+,
1,14,270.1391,0,18.7309,5552,4.07182,1.2,-1,1,-1,490.2487485,2+,
1,19,321.1922,0,29.8204,10952,6.82905,1.9,-1,1,-1,490.2487485,2+,
1,20,338.2211,0,29.9265,3427,6.11917,1.9,-1,1,-1,490.2487485,2+,
1,18,395.2573,0,20.1893,2108,3.77966,1.32,-1,1,-1,490.2487485,2+,
1,21,422.2506,0,41.1615,3787,7.20666,2.67,-1,1,-1,490.2487485,2+,
1,22,439.2779,0,43.8741,3409,6.44565,2.8,-1,1,-1,490.2487485,2+,
1,23,479.2789,0,48.8572,5079,7.12925,3.12,-1,1,-1,490.2487485,2+,
1,25,496.2987,0,52.6183,28871,7.65317,3.38,-1,1,-1,490.2487485,2+,
1,24,497.3067,0,52.2779,9075,7.26822,3.38,-1,1,-1,490.2487485,2+,
1,26,553.3312,0,60.1684,8194,8.02007,3.89,-1,1,-1,490.2487485,2+,
1,28,579.3539,0,64.4525,3029,5.82727,4.15,-1,1,-1,490.2487485,2+,
1,27,580.3393,0,62.354,5771,8.32969,4.02,-1,1,-1,490.2487485,2+,
1,29,597.3485,0,65.3193,50544,8.65754,4.21,-1,1,-1,490.2487485,2+,
1,30,598.3671,0,66.5282,21466,8.36579,4.27,-1,1,-1,490.2487485,2+,
1,31,599.3778,0,66.6594,3208,5.50412,4.27,-1,1,-1,490.2487485,2+,
1,32,692.4491,0,81.9978,4103,5.73125,5.23,-1,1,-1,490.2487485,2+,
1,33,710.4548,0,85.1791,26042,9.33413,5.49,-1,1,-1,490.2487485,2+,
1,34,711.4615,0,86.7693,6705,5.92316,5.55,-1,1,-1,490.2487485,2+,
