func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,72.0623,0,15.978199,2122,2.95645,1.02,-1,1,-1,506.7776725,2+,
1,1,110.0743,0,15.976601,1869,2.44777,1.02,-1,1,-1,506.7776725,2+,
1,4,129.1139,0,16.097,1878,2.48035,1.07,-1,1,-1,506.7776725,2+,
1,3,130.0978,0,16.016,929,2.3223,1.07,-1,1,-1,506.7776725,2+,
1,6,136.0903,0,16.1891,1125,2.49095,1.07,-1,1,-1,506.7776725,2+,
1,5,147.1306,0,16.1332,1478,2.46167,1.07,-1,1,-1,506.7776725,2+,
1,7,157.1183,0,16.2421,1167,2.43115,1.07,-1,1,-1,506.7776725,2+,
1,8,169.1216,0,16.404,1290,2.36792,1.07,-1,1,-1,506.7776725,2+,
1,12,204.1667,0,17.1033,2735,3.21026,1.14,-1,1,-1,506.7776725,2+,
1,9,212.1373,0,16.7613,878,2.77814,1.07,-1,1,-1,506.7776725,2+,
1,13,249.1375,0,18.0878,1730,3.80549,1.2,-1,1,-1,506.7776725,2+,
1,15,258.1865,0,20.1765,2910,4.44901,1.33,-1,1,-1,506.7776725,2+,
1,14,267.1509,0,19.9411,4369,4.35836,1.27,-1,1,-1,506.7776725,2+,
1,17,272.1666,0,21.5663,5292,4.72919,1.39,-1,1,-1,506.7776725,2+,
1,16,275.216,0,21.2032,3018,4.55792,1.39,-1,1,-1,506.7776725,2+,
1,28,282.2247,0,28.8267,3118,5.9865,1.84,-1,1,-1,506.7776725,2+,
1,10,333.1942,0,16.7999,942,2.6012,1.06,-1,1,-1,506.7776725,2+,
1,11,334.2028,0,16.8575,767,2.27152,1.06,-1,1,-1,506.7776725,2+,
1,30,388.3117,0,39.3688,5662,6.30767,2.54,-1,1,-1,506.7776725,2+,
1,29,404.2264,0,35.0826,5854,6.63986,2.28,-1,1,-1,506.7776725,2+,
1,31,410.3015,0,40.9024,4363,7.43744,2.6,-1,1,-1,506.7776725,2+,
1,32,424.2811,0,46.0888,1810,4.11464,2.99,-1,1,-1,506.7776725,2+,
1,18,442.2685,0,21.7451,2785,4.12622,1.38,-1,1,-1,506.7776725,2+,
1,19,442.7731,0,22.6236,3612,4.86955,1.45,-1,1,-1,506.7776725,2+,
1,20,456.7853,0,23.0299,1812,4.24864,1.51,-1,1,-1,506.7776725,2+,
1,21,497.3174,0,25.7095,2741,4.63614,1.64,-1,1,-1,506.7776725,2+,
1,22,497.8179,0,25.8222,3931,4.54338,1.64,-1,1,-1,506.7776725,2+,
1,23,498.3121,0,26.0789,2613,4.73106,1.7,-1,1,-1,506.7776725,2+,
1,24,506.326,0,26.5614,5353,6.00038,1.7,-1,1,-1,506.7776725,2+,
1,25,506.8269,0,26.8089,4868,5.96142,1.7,-1,1,-1,506.7776725,2+,
1,26,507.3089,0,28.3389,3657,5.52771,1.83,-1,1,-1,506.7776725,2+,
1,27,507.8075,0,28.7721,1888,5.12268,1.83,-1,1,-1,506.7776725,2+,
1,34,556.4214,0,65.6063,21147,8.25193,4.21,-1,1,-1,506.7776725,2+,
1,33,557.431,0,64.4738,4562,5.1143,4.15,-1,1,-1,506.7776725,2+,
1,35,610.3873,0,67.2073,2758,5.32194,4.34,-1,1,-1,506.7776725,2+,
1,36,647.3659,0,69.1254,2219,6.31975,4.46,-1,1,-1,506.7776725,2+,
1,37,670.4892,0,77.0896,4063,7.45933,4.97,-1,1,-1,506.7776725,2+,
1,38,913.6063,0,113.412,6710,8.12231,7.28,-1,1,-1,506.7776725,2+,
1,39,914.6117,0,113.5235,5040,10.12823,7.28,-1,1,-1,506.7776725,2+,
