func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,7,61.0509,0,16.6227,325,325,2,-1,1,1,713.897,2+,
1,459,714.5031,0,62.2295,6811,6811,2,-1,1,1,713.897,2+,
1,63,223.1916,0,30.166,6466,6466,2,-1,1,1,713.897,2+,
1,105,251.1918,0,34.4592,6132,6132,2,-1,1,1,713.897,2+,
1,6,110.0896,0,16.5446,5983,5983,2,-1,1,1,713.897,2+,
1,29,195.0286,0,24.3203,3471,3471,2,-1,1,1,713.897,2+,
1,461,715.008,0,62.2925,3298,3298,2,-1,1,1,713.897,2+,
1,502,1176.8325,0,153.9036,2835,2835,2,-1,1,1,713.897,2+,
1,338,361.2593,0,49.5184,2490,2490,2,-1,1,1,713.897,2+,
1,353,379.2723,0,50.8133,2325,2325,2,-1,1,1,713.897,2+,
1,503,1177.838,0,154.8563,2111,2111,2,-1,1,1,713.897,2+,
1,382,594.9188,0,53.3152,2091,2091,2,-1,1,1,713.897,2+,
1,494,935.6554,0,125.4416,1834,1834,2,-1,1,1,713.897,2+,
1,423,695.428,0,56.6496,1776,1776,2,-1,1,1,713.897,2+,
1,488,822.5462,0,108.2318,1703,1703,2,-1,1,1,713.897,2+,
1,404,609.927,0,55.1669,1589,1589,2,-1,1,1,713.897,2+,
1,446,698.4702,0,60.3072,1502,1502,2,-1,1,1,713.897,2+,
1,15,175.1482,0,20.0217,1440,1440,2,-1,1,1,713.897,2+,
1,497,1048.7563,0,141.6637,1426,1426,2,-1,1,1,713.897,2+,
1,415,666.9289,0,55.8158,1375,1375,2,-1,1,1,713.897,2+,
1,383,595.4207,0,53.3549,1323,1323,2,-1,1,1,713.897,2+,
1,471,492.3789,0,72.1918,1301,1301,2,-1,1,1,713.897,2+,
1,10,86.1113,0,16.888,1288,1288,2,-1,1,1,713.897,2+,
1,458,715.5133,0,62.2178,1260,1260,2,-1,1,1,713.897,2+,
1,341,719.4756,0,49.6152,1241,1241,2,-1,1,1,713.897,2+,
1,108,252.1967,0,34.6111,1221,1221,2,-1,1,1,713.897,2+,
1,27,197.0266,0,24.1149,1212,1212,2,-1,1,1,713.897,2+,
1,434,697.4266,0,57.5479,1111,1111,2,-1,1,1,713.897,2+,
1,403,610.4283,0,55.0617,1100,1100,2,-1,1,1,713.897,2+,
1,449,698.9719,0,60.7141,1079,1079,2,-1,1,1,713.897,2+,
1,302,565.3282,0,46.748,1057,1057,2,-1,1,1,713.897,2+,
1,424,695.9336,0,56.6726,1055,1055,2,-1,1,1,713.897,2+,
1,451,705.498,0,60.887,1035,1035,2,-1,1,1,713.897,2+,
1,417,694.3825,0,55.9477,979,979,2,-1,1,1,713.897,2+,
1,495,936.6511,0,125.4658,937,937,2,-1,1,1,713.897,2+,
1,490,823.5519,0,109.2353,920,920,2,-1,1,1,713.897,2+,
1,64,224.1962,0,30.263,919,919,2,-1,1,1,713.897,2+,
1,25,205.0611,0,23.5573,902,902,2,-1,1,1,713.897,2+,
1,9,122.1025,0,16.877,893,893,2,-1,1,1,713.897,2+,
1,316,611.331,0,47.8164,889,889,2,-1,1,1,713.897,2+,
1,498,1049.7548,0,142.197,883,883,2,-1,1,1,713.897,2+,
1,440,717.4551,0,58.5347,882,882,2,-1,1,1,713.897,2+,
1,55,255.0705,0,29.5035,858,858,2,-1,1,1,713.897,2+,
1,268,680.7738,0,44.6155,835,835,2,-1,1,1,713.897,2+,
1,340,474.9303,0,49.6061,788,788,2,-1,1,1,713.897,2+,
1,176,497.7578,0,37.9526,757,757,2,-1,1,1,713.897,2+,
1,473,530.3921,0,73.1751,756,756,2,-1,1,1,713.897,2+,
1,250,574.8092,0,43.6571,752,752,2,-1,1,1,713.897,2+,
1,507,1289.9395,0,179.0998,739,739,2,-1,1,1,713.897,2+,
1,335,362.2587,0,49.3118,738,738,2,-1,1,1,713.897,2+,
1,505,1178.8368,0,155.4863,734,734,2,-1,1,1,713.897,2+,
1,443,717.9466,0,58.6803,726,726,2,-1,1,1,713.897,2+,
1,263,680.4358,0,44.4127,702,702,2,-1,1,1,713.897,2+,
1,481,659.4596,0,84.5052,697,697,2,-1,1,1,713.897,2+,
1,337,546.3505,0,49.3504,695,695,2,-1,1,1,713.897,2+,
1,453,705.0005,0,60.9839,681,681,2,-1,1,1,713.897,2+,
1,1,110.0469,0,16.2296,652,652,2,-1,1,1,713.897,2+,
1,82,242.1913,0,31.778297,652,652,2,-1,1,1,713.897,2+,
1,18,159.047,0,21.0186,635,635,2,-1,1,1,713.897,2+,
1,411,686.4211,0,55.4066,622,622,2,-1,1,1,713.897,2+,
1,436,697.927,0,57.9391,616,616,2,-1,1,1,713.897,2+,
1,407,694.8846,0,55.2584,613,613,2,-1,1,1,713.897,2+,
1,260,432.9009,0,44.3258,608,608,2,-1,1,1,713.897,2+,
1,295,565.8233,0,45.9719,606,606,2,-1,1,1,713.897,2+,
1,454,705.997,0,61.0936,593,593,2,-1,1,1,713.897,2+,
1,289,584.3048,0,45.4345,581,581,2,-1,1,1,713.897,2+,
1,506,1290.9417,0,176.263,567,567,2,-1,1,1,713.897,2+,
1,426,696.4509,0,56.8179,562,562,2,-1,1,1,713.897,2+,
1,416,675.4093,0,55.8701,552,552,2,-1,1,1,713.897,2+,
1,271,588.3202,0,44.7842,546,546,2,-1,1,1,713.897,2+,
1,188,460.2719,0,38.7929,540,540,2,-1,1,1,713.897,2+,
1,350,380.2746,0,50.5535,531,531,2,-1,1,1,713.897,2+,
1,168,575.0096,0,37.5727,520,520,2,-1,1,1,713.897,2+,
1,418,669.8498,0,55.9855,519,519,2,-1,1,1,713.897,2+,
1,362,355.2943,0,51.9602,517,517,2,-1,1,1,713.897,2+,
1,233,565.7876,0,42.4192,516,516,2,-1,1,1,713.897,2+,
1,98,307.063,0,33.4664,514,514,2,-1,1,1,713.897,2+,
1,318,611.8326,0,48.156,497,497,2,-1,1,1,713.897,2+,
1,331,627.3279,0,49.0993,497,497,2,-1,1,1,713.897,2+,
1,253,575.3186,0,43.7659,489,489,2,-1,1,1,713.897,2+,
1,385,595.9235,0,53.4087,470,470,2,-1,1,1,713.897,2+,
1,73,274.9962,0,31.113098,469,469,2,-1,1,1,713.897,2+,
1,167,574.6789,0,37.5439,469,469,2,-1,1,1,713.897,2+,
1,147,473.2508,0,36.5819,464,464,2,-1,1,1,713.897,2+,
1,272,681.1067,0,44.7842,463,463,2,-1,1,1,713.897,2+,
1,333,546.85,0,49.1551,460,460,2,-1,1,1,713.897,2+,
1,315,677.109,0,47.7968,460,460,2,-1,1,1,713.897,2+,
1,391,417.29,0,53.5944,456,456,2,-1,1,1,713.897,2+,
1,3,111.0925,0,16.4501,443,443,2,-1,1,1,713.897,2+,
1,13,136.0992,0,18.3481,438,438,2,-1,1,1,713.897,2+,
1,134,600.9831,0,35.8497,433,433,2,-1,1,1,713.897,2+,
1,452,699.4743,0,60.956,431,431,2,-1,1,1,713.897,2+,
1,171,498.2597,0,37.6668,426,426,2,-1,1,1,713.897,2+,
1,207,513.8103,0,40.932,421,421,2,-1,1,1,713.897,2+,
1,140,587.3271,0,36.1639,417,417,2,-1,1,1,713.897,2+,
1,137,601.308,0,36.09,416,416,2,-1,1,1,713.897,2+,
1,50,403.7049,0,29.1735,415,415,2,-1,1,1,713.897,2+,
1,152,487.7676,0,36.725,415,415,2,-1,1,1,713.897,2+,
1,192,506.288,0,39.4805,412,412,2,-1,1,1,713.897,2+,
1,178,303.2268,0,37.9986,410,410,2,-1,1,1,713.897,2+,
1,470,493.3786,0,71.8412,409,409,2,-1,1,1,713.897,2+,
1,23,178.1654,0,22.5017,407,407,2,-1,1,1,713.897,2+,
1,307,616.3056,0,47.1191,405,405,2,-1,1,1,713.897,2+,
1,482,605.4783,0,85.1905,403,403,2,-1,1,1,713.897,2+,
1,400,610.9315,0,54.8937,401,401,2,-1,1,1,713.897,2+,
1,53,257.0672,0,29.2971,399,399,2,-1,1,1,713.897,2+,
1,365,647.3684,0,52.1061,398,398,2,-1,1,1,713.897,2+,
1,412,686.9254,0,55.4926,395,395,2,-1,1,1,713.897,2+,
1,297,566.3276,0,46.314,389,389,2,-1,1,1,713.897,2+,
1,8,72.0943,0,16.6491,381,381,2,-1,1,1,713.897,2+,
1,16,145.0163,0,20.6501,379,379,2,-1,1,1,713.897,2+,
1,421,675.9101,0,56.2202,379,379,2,-1,1,1,713.897,2+,
1,246,516.8419,0,43.1178,378,378,2,-1,1,1,713.897,2+,
1,346,592.35,0,50.0449,376,376,2,-1,1,1,713.897,2+,
1,292,552.848,0,45.8068,371,371,2,-1,1,1,713.897,2+,
1,330,627.8236,0,48.8768,368,368,2,-1,1,1,713.897,2+,
1,158,454.7537,0,36.8005,366,366,2,-1,1,1,713.897,2+,
