func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,3,70.0775,0,16.3626,932,932,2,-1,1,1,737.4355,2+,
1,7,72.0942,0,16.5805,755,755,2,-1,1,1,737.4355,2+,
1,2,84.0601,0,16.2946,159,159,2,-1,1,1,737.4355,2+,
1,6,84.097,0,16.5288,329,329,2,-1,1,1,737.4355,2+,
1,11,86.1114,0,16.8719,1625,1625,2,-1,1,1,737.4355,2+,
1,1,110.0465,0,16.274,223,223,2,-1,1,1,737.4355,2+,
1,5,110.0914,0,16.5145,1934,1934,2,-1,1,1,737.4355,2+,
1,4,111.0944,0,16.3766,204,204,2,-1,1,1,737.4355,2+,
1,13,120.1022,0,17.4747,312,312,2,-1,1,1,737.4355,2+,
1,9,122.1041,0,16.7882,944,944,2,-1,1,1,737.4355,2+,
1,12,129.1256,0,17.4297,340,340,2,-1,1,1,737.4355,2+,
1,10,130.0893,0,16.8016,898,898,2,-1,1,1,737.4355,2+,
1,8,133.1089,0,16.7544,161,161,2,-1,1,1,737.4355,2+,
1,15,136.1002,0,18.2484,984,984,2,-1,1,1,737.4355,2+,
1,14,137.1047,0,18.1751,124,124,2,-1,1,1,737.4355,2+,
1,20,143.1438,0,18.9893,145,145,2,-1,1,1,737.4355,2+,
1,18,147.144,0,18.6579,135,135,2,-1,1,1,737.4355,2+,
1,16,158.1241,0,18.4096,190,190,2,-1,1,1,737.4355,2+,
1,23,159.1211,0,20.2787,1501,1501,2,-1,1,1,737.4355,2+,
1,24,160.1255,0,20.3165,225,225,2,-1,1,1,737.4355,2+,
1,21,166.0911,0,19.2795,171,171,2,-1,1,1,737.4355,2+,
1,17,167.1223,0,18.419,130,130,2,-1,1,1,737.4355,2+,
1,25,169.1652,0,20.5279,347,347,2,-1,1,1,737.4355,2+,
1,19,170.0913,0,18.8374,471,471,2,-1,1,1,737.4355,2+,
1,22,175.1511,0,19.9625,1668,1668,2,-1,1,1,737.4355,2+,
1,26,184.1508,0,21.8589,135,135,2,-1,1,1,737.4355,2+,
1,29,185.1981,0,24.5795,646,646,2,-1,1,1,737.4355,2+,
1,30,195.0323,0,24.7908,250,250,2,-1,1,1,737.4355,2+,
1,28,197.0315,0,24.493,127,127,2,-1,1,1,737.4355,2+,
