func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,70.0332,0,16.2998,699,699,2,-1,1,1,783.9021215,2+,
1,1,70.07,0,16.2753,261,261,2,-1,1,1,783.9021215,2+,
1,9,72.0849,0,16.5868,538,538,2,-1,1,1,783.9021215,2+,
1,3,84.0503,0,16.3008,361,361,2,-1,1,1,783.9021215,2+,
1,6,84.0852,0,16.3615,423,423,2,-1,1,1,783.9021215,2+,
1,10,86.1019,0,16.7563,2185,2185,2,-1,1,1,783.9021215,2+,
1,5,87.0599,0,16.3289,1310,1310,2,-1,1,1,783.9021215,2+,
1,11,87.1057,0,16.9757,205,205,2,-1,1,1,783.9021215,2+,
1,4,88.0442,0,16.3016,203,203,2,-1,1,1,783.9021215,2+,
1,8,108.995,0,16.4675,412,412,2,-1,1,1,783.9021215,2+,
1,7,110.0758,0,16.3958,152,152,2,-1,1,1,783.9021215,2+,
1,13,120.0881,0,17.39,1072,1072,2,-1,1,1,783.9021215,2+,
1,15,129.0725,0,17.7315,205,205,2,-1,1,1,783.9021215,2+,
1,14,129.1096,0,17.4427,553,553,2,-1,1,1,783.9021215,2+,
1,18,136.0836,0,18.2808,809,809,2,-1,1,1,783.9021215,2+,
1,16,141.1095,0,17.8238,173,173,2,-1,1,1,783.9021215,2+,
1,17,147.1236,0,18.1401,182,182,2,-1,1,1,783.9021215,2+,
1,12,151.021,0,17.0413,580,580,2,-1,1,1,783.9021215,2+,
1,19,159.101,0,19.7306,231,231,2,-1,1,1,783.9021215,2+,
1,24,169.1067,0,20.3064,264,264,2,-1,1,1,783.9021215,2+,
1,20,175.1283,0,19.9534,1783,1783,2,-1,1,1,783.9021215,2+,
1,21,176.1304,0,19.9743,127,127,2,-1,1,1,783.9021215,2+,
1,27,186.1339,0,22.2373,1978,1978,2,-1,1,1,783.9021215,2+,
1,28,187.1374,0,22.3812,178,178,2,-1,1,1,783.9021215,2+,
1,31,199.1932,0,27.4739,189,189,2,-1,1,1,783.9021215,2+,
1,25,206.9593,0,20.6933,249,249,2,-1,1,1,783.9021215,2+,
1,22,208.9541,0,20.1037,181,181,2,-1,1,1,783.9021215,2+,
1,23,210.9552,0,20.1126,119,119,2,-1,1,1,783.9021215,2+,
1,29,214.1305,0,24.8438,549,549,2,-1,1,1,783.9021215,2+,
1,30,217.1109,0,26.3903,143,143,2,-1,1,1,783.9021215,2+,
1,41,227.1854,0,31.5456,133,133,2,-1,1,1,783.9021215,2+,
1,33,235.1203,0,28.4145,6796,6796,2,-1,1,1,783.9021215,2+,
1,32,236.123,0,28.2995,1061,1061,2,-1,1,1,783.9021215,2+,
1,35,237.1294,0,29.2782,133,133,2,-1,1,1,783.9021215,2+,
1,37,240.1114,0,30.4439,429,429,2,-1,1,1,783.9021215,2+,
1,46,242.1637,0,32.0338,125,125,2,-1,1,1,783.9021215,2+,
1,36,243.1514,0,29.72,415,415,2,-1,1,1,783.9021215,2+,
1,44,244.18,0,31.9407,801,801,2,-1,1,1,783.9021215,2+,
1,38,245.106,0,30.6445,214,214,2,-1,1,1,783.9021215,2+,
1,42,245.1826,0,31.588501,260,260,2,-1,1,1,783.9021215,2+,
1,34,247.1221,0,28.8462,206,206,2,-1,1,1,783.9021215,2+,
1,49,249.1736,0,32.8613,515,515,2,-1,1,1,783.9021215,2+,
