func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,70.0744,0,16.3855,238,238,2,-1,1,1,536.777672,2+,
1,1,84.0548,0,16.3765,149,149,2,-1,1,1,536.777672,2+,
1,4,86.1064,0,16.7714,607,607,2,-1,1,1,536.777672,2+,
1,3,110.0843,0,16.5899,312,312,2,-1,1,1,536.777672,2+,
1,6,120.0967,0,17.4184,336,336,2,-1,1,1,536.777672,2+,
1,7,136.0926,0,18.2511,396,396,2,-1,1,1,536.777672,2+,
1,5,149.0618,0,17.2604,250,250,2,-1,1,1,536.777672,2+,
1,9,159.1083,0,19.8739,810,810,2,-1,1,1,536.777672,2+,
1,8,170.0798,0,18.8251,157,157,2,-1,1,1,536.777672,2+,
1,10,175.1393,0,19.9829,283,283,2,-1,1,1,536.777672,2+,
1,11,214.9439,0,25.2491,163,163,2,-1,1,1,536.777672,2+,
1,13,215.1623,0,26.2539,636,636,2,-1,1,1,536.777672,2+,
1,12,232.956,0,25.4279,126,126,2,-1,1,1,536.777672,2+,
1,15,237.1654,0,30.0219,115,115,2,-1,1,1,536.777672,2+,
1,21,283.1798,0,36.8784,163,163,2,-1,1,1,536.777672,2+,
1,17,299.0938,0,32.9221,247,247,2,-1,1,1,536.777672,2+,
1,16,300.0944,0,32.2719,148,148,2,-1,1,1,536.777672,2+,
1,18,307.0396,0,33.0732,142,142,2,-1,1,1,536.777672,2+,
1,24,342.2149,0,42.9337,174,174,2,-1,1,1,536.777672,2+,
1,20,344.9989,0,36.769,171,171,2,-1,1,1,536.777672,2+,
1,26,359.2416,0,47.792,400,400,2,-1,1,1,536.777672,2+,
1,14,403.6818,0,28.4392,108,108,2,-1,1,1,536.777672,2+,
1,19,407.2438,0,33.9689,129,129,2,-1,1,1,536.777672,2+,
1,25,415.0886,0,45.9362,178,178,2,-1,1,1,536.777672,2+,
1,27,488.3002,0,61.8699,247,247,2,-1,1,1,536.777672,2+,
1,22,535.9677,0,40.3884,118,118,2,-1,1,1,536.777672,2+,
1,23,538.2342,0,42.3678,153,153,2,-1,1,1,536.777672,2+,
1,28,644.4057,0,82.368,354,354,2,-1,1,1,536.777672,2+,
1,30,644.4129,0,86.0896,453,453,2,-1,1,1,536.777672,2+,
1,29,645.4029,0,83.1704,193,193,2,-1,1,1,536.777672,2+,
1,32,830.5059,0,110.1969,348,348,2,-1,1,1,536.777672,2+,
1,31,831.5101,0,107.7477,180,180,2,-1,1,1,536.777672,2+,
