func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,3,86.1042,0,16.7468,799,799,2,-1,1,1,933.4038455,2+,
1,1,108.9977,0,16.3618,1648,1648,2,-1,1,1,933.4038455,2+,
1,2,110.9951,0,16.4948,155,155,2,-1,1,1,933.4038455,2+,
1,9,131.1319,0,17.9093,187,187,2,-1,1,1,933.4038455,2+,
1,5,140.9722,0,16.9903,216,216,2,-1,1,1,933.4038455,2+,
1,8,144.074,0,17.6192,121,121,2,-1,1,1,933.4038455,2+,
1,4,149.0096,0,16.8961,217,217,2,-1,1,1,933.4038455,2+,
1,6,151.0245,0,17.2765,1517,1517,2,-1,1,1,933.4038455,2+,
1,7,153.0171,0,17.284,164,164,2,-1,1,1,933.4038455,2+,
1,20,159.1048,0,20.2563,259,259,2,-1,1,1,933.4038455,2+,
1,10,171.0367,0,18.4679,119,119,2,-1,1,1,933.4038455,2+,
1,17,175.1353,0,20.1243,356,356,2,-1,1,1,933.4038455,2+,
1,13,178.067,0,19.1094,311,311,2,-1,1,1,933.4038455,2+,
1,12,182.9975,0,18.838,166,166,2,-1,1,1,933.4038455,2+,
1,19,206.9641,0,20.2352,729,729,2,-1,1,1,933.4038455,2+,
1,18,208.9635,0,20.1486,771,771,2,-1,1,1,933.4038455,2+,
1,16,210.9608,0,19.8285,360,360,2,-1,1,1,933.4038455,2+,
1,11,212.9525,0,18.5753,324,324,2,-1,1,1,933.4038455,2+,
1,15,214.9571,0,19.6657,264,264,2,-1,1,1,933.4038455,2+,
1,25,238.9388,0,23.1371,184,184,2,-1,1,1,933.4038455,2+,
1,36,240.1567,0,32.7737,140,140,2,-1,1,1,933.4038455,2+,
1,24,240.9398,0,22.6128,179,179,2,-1,1,1,933.4038455,2+,
1,14,244.9252,0,19.5992,169,169,2,-1,1,1,933.4038455,2+,
1,32,246.1491,0,29.7013,276,276,2,-1,1,1,933.4038455,2+,
1,39,257.1168,0,33.7451,126,126,2,-1,1,1,933.4038455,2+,
1,41,272.1995,0,36.0128,209,209,2,-1,1,1,933.4038455,2+,
1,27,272.9153,0,24.1315,271,271,2,-1,1,1,933.4038455,2+,
1,38,274.1473,0,33.7295,503,503,2,-1,1,1,933.4038455,2+,
1,26,274.9092,0,24.0479,178,178,2,-1,1,1,933.4038455,2+,
1,40,275.1047,0,34.6796,226,226,2,-1,1,1,933.4038455,2+,
1,30,278.909,0,27.159,250,250,2,-1,1,1,933.4038455,2+,
1,29,280.9098,0,27.0574,202,202,2,-1,1,1,933.4038455,2+,
