func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,77.0209,0,16.1898,235,235,2,-1,1,1,775.891419,2+,
1,3,84.0465,0,16.3158,233,233,2,-1,1,1,775.891419,2+,
1,7,86.0995,0,16.8278,2133,2133,2,-1,1,1,775.891419,2+,
1,1,98.0631,0,16.1409,141,141,2,-1,1,1,775.891419,2+,
1,5,102.0584,0,16.5215,321,321,2,-1,1,1,775.891419,2+,
1,4,108.9932,0,16.4185,1146,1146,2,-1,1,1,775.891419,2+,
1,8,120.0857,0,17.2039,531,531,2,-1,1,1,775.891419,2+,
1,6,122.0891,0,16.6317,226,226,2,-1,1,1,775.891419,2+,
1,13,136.0816,0,18.2948,893,893,2,-1,1,1,775.891419,2+,
1,15,143.1247,0,19.2796,203,203,2,-1,1,1,775.891419,2+,
1,11,151.0175,0,17.3719,992,992,2,-1,1,1,775.891419,2+,
1,14,159.0854,0,19.1217,281,281,2,-1,1,1,775.891419,2+,
1,34,171.1197,0,21.0642,411,411,2,-1,1,1,775.891419,2+,
1,22,175.1255,0,19.8707,488,488,2,-1,1,1,775.891419,2+,
1,16,178.0618,0,19.2914,244,244,2,-1,1,1,775.891419,2+,
1,32,180.0835,0,20.9476,146,146,2,-1,1,1,775.891419,2+,
1,42,185.1318,0,22.9142,121,121,2,-1,1,1,775.891419,2+,
1,24,187.0819,0,19.9745,207,207,2,-1,1,1,775.891419,2+,
1,28,204.9402,0,20.5051,286,286,2,-1,1,1,775.891419,2+,
1,26,206.9535,0,20.3754,691,691,2,-1,1,1,775.891419,2+,
1,23,208.9552,0,19.9271,681,681,2,-1,1,1,775.891419,2+,
1,25,210.951,0,20.188,277,277,2,-1,1,1,775.891419,2+,
1,19,212.9385,0,19.3562,212,212,2,-1,1,1,775.891419,2+,
1,50,214.9247,0,25.9375,138,138,2,-1,1,1,775.891419,2+,
1,27,214.9512,0,20.4604,255,255,2,-1,1,1,775.891419,2+,
1,29,216.9519,0,20.5155,205,205,2,-1,1,1,775.891419,2+,
1,35,222.9543,0,21.1345,127,127,2,-1,1,1,775.891419,2+,
1,51,231.114,0,26.821,178,178,2,-1,1,1,775.891419,2+,
1,48,238.9268,0,23.7,121,121,2,-1,1,1,775.891419,2+,
1,43,240.9249,0,22.9711,168,168,2,-1,1,1,775.891419,2+,
1,46,242.9245,0,23.2592,114,114,2,-1,1,1,775.891419,2+,
1,79,249.1683,0,32.8691,1046,1046,2,-1,1,1,775.891419,2+,
1,80,250.1691,0,33.1351,202,202,2,-1,1,1,775.891419,2+,
1,76,251.1323,0,31.159698,133,133,2,-1,1,1,775.891419,2+,
1,66,259.1022,0,29.9543,379,379,2,-1,1,1,775.891419,2+,
1,82,265.1313,0,33.6568,125,125,2,-1,1,1,775.891419,2+,
1,85,272.1754,0,34.8641,173,173,2,-1,1,1,775.891419,2+,
1,49,272.9038,0,24.1848,157,157,2,-1,1,1,775.891419,2+,
1,75,274.9597,0,30.7168,197,197,2,-1,1,1,775.891419,2+,
1,87,277.1657,0,35.4494,639,639,2,-1,1,1,775.891419,2+,
1,88,278.1677,0,36.3317,114,114,2,-1,1,1,775.891419,2+,
1,53,278.8961,0,27.3841,111,111,2,-1,1,1,775.891419,2+,
1,57,285.9949,0,28.9631,159,159,2,-1,1,1,775.891419,2+,
1,9,286.0021,0,17.2747,146,146,2,-1,1,1,775.891419,2+,
1,10,287.006,0,17.2803,157,157,2,-1,1,1,775.891419,2+,
1,92,288.2169,0,40.2751,165,165,2,-1,1,1,775.891419,2+,
1,77,291.0529,0,31.5999,143,143,2,-1,1,1,775.891419,2+,
1,86,293.1275,0,35.4079,204,204,2,-1,1,1,775.891419,2+,
1,91,300.1682,0,38.3695,803,803,2,-1,1,1,775.891419,2+,
1,89,301.1718,0,38.0098,164,164,2,-1,1,1,775.891419,2+,
1,78,307.0212,0,32.6373,165,165,2,-1,1,1,775.891419,2+,
1,17,311.0001,0,19.3026,315,315,2,-1,1,1,775.891419,2+,
1,18,312.0027,0,19.3366,334,334,2,-1,1,1,775.891419,2+,
1,21,313.0027,0,19.4771,240,240,2,-1,1,1,775.891419,2+,
1,12,315.0104,0,18.2044,171,171,2,-1,1,1,775.891419,2+,
1,90,316.1272,0,38.0788,834,834,2,-1,1,1,775.891419,2+,
1,20,343.9826,0,19.3783,347,347,2,-1,1,1,775.891419,2+,
1,31,344.9886,0,20.9428,2679,2679,2,-1,1,1,775.891419,2+,
1,33,345.9883,0,21.0233,2628,2628,2,-1,1,1,775.891419,2+,
1,38,346.9916,0,21.2269,2291,2291,2,-1,1,1,775.891419,2+,
1,30,347.9877,0,20.818,429,429,2,-1,1,1,775.891419,2+,
1,36,348.9914,0,21.159,770,770,2,-1,1,1,775.891419,2+,
1,39,363.0016,0,21.3666,217,217,2,-1,1,1,775.891419,2+,
1,94,363.194,0,47.2069,136,136,2,-1,1,1,775.891419,2+,
1,37,364.0025,0,21.1901,244,244,2,-1,1,1,775.891419,2+,
1,40,365.0087,0,21.8786,172,172,2,-1,1,1,775.891419,2+,
1,44,371.9997,0,23.0278,236,236,2,-1,1,1,775.891419,2+,
1,47,372.9953,0,23.5058,306,306,2,-1,1,1,775.891419,2+,
1,45,374.0042,0,23.0946,348,348,2,-1,1,1,775.891419,2+,
1,41,377.9624,0,22.3953,132,132,2,-1,1,1,775.891419,2+,
1,100,401.2213,0,51.9191,272,272,2,-1,1,1,775.891419,2+,
1,103,406.2246,0,56.4167,153,153,2,-1,1,1,775.891419,2+,
1,99,411.2059,0,51.4224,229,229,2,-1,1,1,775.891419,2+,
1,105,416.2789,0,58.9324,401,401,2,-1,1,1,775.891419,2+,
1,61,421.0005,0,29.2765,1694,1694,2,-1,1,1,775.891419,2+,
1,60,422.0026,0,29.1817,2016,2016,2,-1,1,1,775.891419,2+,
1,96,422.1747,0,50.6597,250,250,2,-1,1,1,775.891419,2+,
1,58,423.0016,0,29.0651,1813,1813,2,-1,1,1,775.891419,2+,
1,62,424.0017,0,29.371,402,402,2,-1,1,1,775.891419,2+,
1,59,425.0019,0,29.1565,577,577,2,-1,1,1,775.891419,2+,
1,102,429.2165,0,54.1272,850,850,2,-1,1,1,775.891419,2+,
1,101,430.2158,0,53.7448,199,199,2,-1,1,1,775.891419,2+,
