func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,7,70.0759,0,16.5861,695,695,2,-1,1,1,458.748914,2+,
1,6,72.0917,0,16.5773,289,289,2,-1,1,1,458.748914,2+,
1,2,77.0299,0,16.3044,189,189,2,-1,1,1,458.748914,2+,
1,3,84.0935,0,16.3108,134,134,2,-1,1,1,458.748914,2+,
1,9,86.1103,0,16.6724,625,625,2,-1,1,1,458.748914,2+,
1,8,89.0727,0,16.659,842,842,2,-1,1,1,458.748914,2+,
1,1,93.0246,0,16.2137,328,328,2,-1,1,1,458.748914,2+,
1,4,109.0054,0,16.3352,1084,1084,2,-1,1,1,458.748914,2+,
1,5,110.0875,0,16.398,204,204,2,-1,1,1,458.748914,2+,
1,16,120.0981,0,17.4651,450,450,2,-1,1,1,458.748914,2+,
1,10,122.0971,0,16.6785,238,238,2,-1,1,1,458.748914,2+,
1,15,129.1221,0,17.4034,229,229,2,-1,1,1,458.748914,2+,
1,12,133.1051,0,16.8479,921,921,2,-1,1,1,458.748914,2+,
1,19,136.0979,0,18.1036,287,287,2,-1,1,1,458.748914,2+,
1,13,140.9827,0,16.9187,400,400,2,-1,1,1,458.748914,2+,
1,18,141.1233,0,18.0585,277,277,2,-1,1,1,458.748914,2+,
1,17,147.1357,0,18.0086,207,207,2,-1,1,1,458.748914,2+,
1,14,151.0332,0,17.2668,876,876,2,-1,1,1,458.748914,2+,
1,24,155.1426,0,19.8982,170,170,2,-1,1,1,458.748914,2+,
1,23,169.1256,0,19.3581,127,127,2,-1,1,1,458.748914,2+,
1,25,175.1449,0,20.0201,317,317,2,-1,1,1,458.748914,2+,
1,22,177.1392,0,19.1314,287,287,2,-1,1,1,458.748914,2+,
1,21,178.0797,0,19.0788,515,515,2,-1,1,1,458.748914,2+,
1,20,183.0108,0,18.3887,160,160,2,-1,1,1,458.748914,2+,
1,26,183.1438,0,22.367,133,133,2,-1,1,1,458.748914,2+,
1,27,191.145,0,22.7072,139,139,2,-1,1,1,458.748914,2+,
1,30,200.1676,0,25.0215,858,858,2,-1,1,1,458.748914,2+,
1,28,201.1524,0,24.3862,1075,1075,2,-1,1,1,458.748914,2+,
1,29,202.1614,0,25.0166,124,124,2,-1,1,1,458.748914,2+,
1,11,202.9446,0,16.7312,237,237,2,-1,1,1,458.748914,2+,
1,31,214.1541,0,25.9712,154,154,2,-1,1,1,458.748914,2+,
1,32,228.1689,0,28.333,115,115,2,-1,1,1,458.748914,2+,
1,33,265.1592,0,33.9792,110,110,2,-1,1,1,458.748914,2+,
1,39,290.1889,0,35.1355,117,117,2,-1,1,1,458.748914,2+,
1,40,359.0874,0,40.1479,106,106,2,-1,1,1,458.748914,2+,
1,41,374.2967,0,51.7494,105,105,2,-1,1,1,458.748914,2+,
1,34,415.7629,0,34.0322,298,298,2,-1,1,1,458.748914,2+,
1,35,416.2571,0,34.223,139,139,2,-1,1,1,458.748914,2+,
1,45,419.1481,0,75.979,162,162,2,-1,1,1,458.748914,2+,
1,36,424.2742,0,34.4787,1404,1404,2,-1,1,1,458.748914,2+,
1,37,424.7724,0,34.4821,970,970,2,-1,1,1,458.748914,2+,
1,38,425.2728,0,35.008,263,263,2,-1,1,1,458.748914,2+,
1,42,427.267,0,54.3054,187,187,2,-1,1,1,458.748914,2+,
1,44,460.3803,0,67.2725,143,143,2,-1,1,1,458.748914,2+,
1,43,489.3489,0,66.5594,199,199,2,-1,1,1,458.748914,2+,
1,46,618.4137,0,77.9806,361,361,2,-1,1,1,458.748914,2+,
1,47,636.4387,0,87.9973,143,143,2,-1,1,1,458.748914,2+,
1,48,689.4601,0,88.0126,786,786,2,-1,1,1,458.748914,2+,
1,49,690.461,0,89.6904,282,282,2,-1,1,1,458.748914,2+,
1,51,750.4962,0,100.5289,425,425,2,-1,1,1,458.748914,2+,
1,50,751.4872,0,99.3088,208,208,2,-1,1,1,458.748914,2+,
