func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,4,70.0699,0,16.4326,236,236,2,-1,1,1,805.441413,2+,
1,5,72.0868,0,16.5205,452,452,2,-1,1,1,805.441413,2+,
1,2,84.0503,0,16.319,292,292,2,-1,1,1,805.441413,2+,
1,7,86.1025,0,16.7606,1107,1107,2,-1,1,1,805.441413,2+,
1,1,101.0774,0,16.2442,182,182,2,-1,1,1,805.441413,2+,
1,3,108.9971,0,16.4297,1053,1053,2,-1,1,1,805.441413,2+,
1,6,110.0789,0,16.5454,1495,1495,2,-1,1,1,805.441413,2+,
1,9,120.0891,0,17.3051,426,426,2,-1,1,1,805.441413,2+,
1,11,129.1111,0,17.4187,324,324,2,-1,1,1,805.441413,2+,
1,10,130.0961,0,17.3997,281,281,2,-1,1,1,805.441413,2+,
1,8,151.0217,0,17.3044,859,859,2,-1,1,1,805.441413,2+,
1,12,138.0747,0,17.5691,204,204,2,-1,1,1,805.441413,2+,
1,15,143.1274,0,18.8043,316,316,2,-1,1,1,805.441413,2+,
1,46,277.1713,0,35.4926,600,600,2,-1,1,1,805.441413,2+,
1,73,473.3409,0,68.3158,533,533,2,-1,1,1,805.441413,2+,
1,16,159.1051,0,19.3113,111,111,2,-1,1,1,805.441413,2+,
1,43,246.1977,0,33.0556,462,462,2,-1,1,1,805.441413,2+,
1,5,72.0868,0,16.5205,452,452,2,-1,1,1,805.441413,2+,
1,18,167.0771,0,19.5564,152,152,2,-1,1,1,805.441413,2+,
1,14,147.1232,0,18.3285,445,445,2,-1,1,1,805.441413,2+,
1,9,120.0891,0,17.3051,426,426,2,-1,1,1,805.441413,2+,
1,29,200.1502,0,24.4842,215,215,2,-1,1,1,805.441413,2+,
1,20,175.1303,0,19.8962,420,420,2,-1,1,1,805.441413,2+,
1,23,206.9615,0,20.3679,419,419,2,-1,1,1,805.441413,2+,
1,22,208.9613,0,20.1591,447,447,2,-1,1,1,805.441413,2+,
1,33,209.1533,0,25.6462,1020,1020,2,-1,1,1,805.441413,2+,
1,90,954.5455,0,127.1091,385,385,2,-1,1,1,805.441413,2+,
1,21,210.9567,0,20.1118,204,204,2,-1,1,1,805.441413,2+,
1,31,212.1165,0,24.6841,146,146,2,-1,1,1,805.441413,2+,
1,70,756.4531,0,65.7546,334,334,2,-1,1,1,805.441413,2+,
1,38,220.1233,0,29.9746,1180,1180,2,-1,1,1,805.441413,2+,
1,37,221.1247,0,29.6642,196,196,2,-1,1,1,805.441413,2+,
1,92,1146.6971,0,150.2039,321,321,2,-1,1,1,805.441413,2+,
1,35,228.1496,0,27.9932,268,268,2,-1,1,1,805.441413,2+,
1,39,237.1502,0,30.3308,4543,4543,2,-1,1,1,805.441413,2+,
1,40,238.1545,0,30.5468,691,691,2,-1,1,1,805.441413,2+,
1,27,238.9325,0,23.2417,160,160,2,-1,1,1,805.441413,2+,
1,43,246.1977,0,33.0556,462,462,2,-1,1,1,805.441413,2+,
1,41,249.1761,0,32.7779,947,947,2,-1,1,1,805.441413,2+,
1,42,250.1849,0,32.9838,234,234,2,-1,1,1,805.441413,2+,
1,45,251.1682,0,33.8541,310,310,2,-1,1,1,805.441413,2+,
1,30,272.9185,0,24.531,119,119,2,-1,1,1,805.441413,2+,
1,46,277.1713,0,35.4926,600,600,2,-1,1,1,805.441413,2+,
1,47,278.1773,0,35.9609,165,165,2,-1,1,1,805.441413,2+,
1,48,298.1713,0,38.7731,114,114,2,-1,1,1,805.441413,2+,
1,49,299.1558,0,38.8773,308,308,2,-1,1,1,805.441413,2+,
1,44,307.0282,0,33.09,121,121,2,-1,1,1,805.441413,2+,
1,51,343.1802,0,44.2826,180,180,2,-1,1,1,805.441413,2+,
1,24,346.0068,0,21.4798,121,121,2,-1,1,1,805.441413,2+,
1,26,346.998,0,21.5078,131,131,2,-1,1,1,805.441413,2+,
1,50,347.2044,0,44.2044,193,193,2,-1,1,1,805.441413,2+,
1,54,350.2436,0,47.193,1399,1399,2,-1,1,1,805.441413,2+,
1,52,351.2465,0,47.0605,293,293,2,-1,1,1,805.441413,2+,
1,58,356.2562,0,49.9563,195,195,2,-1,1,1,805.441413,2+,
1,53,357.2375,0,47.1028,329,329,2,-1,1,1,805.441413,2+,
1,57,365.2187,0,48.2138,422,422,2,-1,1,1,805.441413,2+,
1,59,374.2646,0,50.783,418,418,2,-1,1,1,805.441413,2+,
1,61,375.2708,0,52.0327,119,119,2,-1,1,1,805.441413,2+,
1,60,393.2131,0,51.0667,300,300,2,-1,1,1,805.441413,2+,
1,62,394.2369,0,53.7597,125,125,2,-1,1,1,805.441413,2+,
1,63,412.2491,0,57.1676,170,170,2,-1,1,1,805.441413,2+,
1,64,440.2466,0,58.0951,273,273,2,-1,1,1,805.441413,2+,
1,66,464.294,0,63.7594,656,656,2,-1,1,1,805.441413,2+,
1,69,465.294,0,65.7165,164,164,2,-1,1,1,805.441413,2+,
1,73,473.3409,0,68.3158,533,533,2,-1,1,1,805.441413,2+,
1,72,474.3529,0,67.9433,124,124,2,-1,1,1,805.441413,2+,
1,65,478.2724,0,61.1505,139,139,2,-1,1,1,805.441413,2+,
1,67,490.2638,0,65.3589,145,145,2,-1,1,1,805.441413,2+,
1,77,559.3251,0,75.4281,130,130,2,-1,1,1,805.441413,2+,
1,56,573.8435,0,48.1592,196,196,2,-1,1,1,805.441413,2+,
1,55,574.3432,0,47.9427,104,104,2,-1,1,1,805.441413,2+,
1,69,465.294,0,65.7165,164,164,2,-1,1,1,805.441413,2+,
1,79,589.382,0,80.0126,109,109,2,-1,1,1,805.441413,2+,
1,83,625.3539,0,89.7207,223,223,2,-1,1,1,805.441413,2+,
1,80,628.3502,0,84.946,127,127,2,-1,1,1,805.441413,2+,
1,18,167.0771,0,19.5564,152,152,2,-1,1,1,805.441413,2+,
1,82,675.3732,0,88.0293,154,154,2,-1,1,1,805.441413,2+,
1,34,216.1266,0,27.1014,149,149,2,-1,1,1,805.441413,2+,
1,31,212.1165,0,24.6841,146,146,2,-1,1,1,805.441413,2+,
1,76,805.4882,0,71.1838,146,146,2,-1,1,1,805.441413,2+,
1,67,490.2638,0,65.3589,145,145,2,-1,1,1,805.441413,2+,
1,32,210.1573,0,25.5126,143,143,2,-1,1,1,805.441413,2+,
1,65,478.2724,0,61.1505,139,139,2,-1,1,1,805.441413,2+,
1,74,806.4906,0,70.0308,137,137,2,-1,1,1,805.441413,2+,
1,26,346.998,0,21.5078,131,131,2,-1,1,1,805.441413,2+,
1,77,559.3251,0,75.4281,130,130,2,-1,1,1,805.441413,2+,
1,80,628.3502,0,84.946,127,127,2,-1,1,1,805.441413,2+,
1,62,394.2369,0,53.7597,125,125,2,-1,1,1,805.441413,2+,
1,72,474.3529,0,67.9433,124,124,2,-1,1,1,805.441413,2+,
1,24,346.0068,0,21.4798,121,121,2,-1,1,1,805.441413,2+,
1,44,307.0282,0,33.09,121,121,2,-1,1,1,805.441413,2+,
1,30,272.9185,0,24.531,119,119,2,-1,1,1,805.441413,2+,
1,61,375.2708,0,52.0327,119,119,2,-1,1,1,805.441413,2+,
1,48,298.1713,0,38.7731,114,114,2,-1,1,1,805.441413,2+,
1,16,159.1051,0,19.3113,111,111,2,-1,1,1,805.441413,2+,
1,25,184.1232,0,21.486,109,109,2,-1,1,1,805.441413,2+,
1,79,589.382,0,80.0126,109,109,2,-1,1,1,805.441413,2+,
1,55,574.3432,0,47.9427,104,104,2,-1,1,1,805.441413,2+,
