func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,73.0588,0,16.2487,385,385,2,-1,1,1,447.2141765,2+,
1,5,77.0269,0,16.65,172,172,2,-1,1,1,447.2141765,2+,
1,8,86.109,0,16.941,241,241,2,-1,1,1,447.2141765,2+,
1,2,93.0245,0,16.2884,378,378,2,-1,1,1,447.2141765,2+,
1,3,109.0054,0,16.4208,1679,1679,2,-1,1,1,447.2141765,2+,
1,4,110.089,0,16.587,155,155,2,-1,1,1,447.2141765,2+,
1,7,122.0989,0,16.8731,330,330,2,-1,1,1,447.2141765,2+,
1,17,136.0961,0,18.2114,928,928,2,-1,1,1,447.2141765,2+,
1,9,140.9834,0,17.1241,344,344,2,-1,1,1,447.2141765,2+,
1,12,149.0165,0,17.4861,154,154,2,-1,1,1,447.2141765,2+,
1,16,149.0677,0,17.7566,423,423,2,-1,1,1,447.2141765,2+,
1,14,150.067,0,17.5781,192,192,2,-1,1,1,447.2141765,2+,
1,11,151.0316,0,17.4106,1388,1388,2,-1,1,1,447.2141765,2+,
1,10,153.0302,0,17.2428,142,142,2,-1,1,1,447.2141765,2+,
1,19,178.0808,0,19.2665,435,435,2,-1,1,1,447.2141765,2+,
1,18,183.0088,0,18.2634,143,143,2,-1,1,1,447.2141765,2+,
1,24,201.1544,0,24.2572,250,250,2,-1,1,1,447.2141765,2+,
1,6,202.9445,0,16.7657,495,495,2,-1,1,1,447.2141765,2+,
1,23,210.0552,0,21.7233,174,174,2,-1,1,1,447.2141765,2+,
1,13,297.0232,0,17.5515,139,139,2,-1,1,1,447.2141765,2+,
1,15,298.0229,0,17.6543,123,123,2,-1,1,1,447.2141765,2+,
1,25,341.0716,0,37.2958,136,136,2,-1,1,1,447.2141765,2+,
1,29,342.0678,0,39.6186,225,225,2,-1,1,1,447.2141765,2+,
1,26,343.0636,0,38.2683,284,284,2,-1,1,1,447.2141765,2+,
1,30,344.0685,0,39.7992,131,131,2,-1,1,1,447.2141765,2+,
1,22,345.0193,0,21.5927,211,211,2,-1,1,1,447.2141765,2+,
1,21,346.0281,0,21.2276,193,193,2,-1,1,1,447.2141765,2+,
1,20,347.0334,0,21.0852,150,150,2,-1,1,1,447.2141765,2+,
1,27,359.0812,0,39.1076,326,326,2,-1,1,1,447.2141765,2+,
1,31,360.0835,0,40.0525,610,610,2,-1,1,1,447.2141765,2+,
1,32,361.0778,0,40.2858,913,913,2,-1,1,1,447.2141765,2+,
1,28,362.0809,0,39.5265,249,249,2,-1,1,1,447.2141765,2+,
