func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,9,56.0532,0,16.0474,408,408,2,-1,1,-1,626.8355,2+,
1,16,69.0727,0,16.1248,187,187,2,-1,1,-1,626.8355,2+,
1,10,70.0681,0,16.0503,5524,5524,2,-1,1,-1,626.8355,2+,
1,22,72.0836,0,16.1442,640,640,2,-1,1,-1,626.8355,2+,
1,13,81.0466,0,16.0789,308,308,2,-1,1,-1,626.8355,2+,
1,18,81.0732,0,16.1301,156,156,2,-1,1,-1,626.8355,2+,
1,7,83.0629,0,16.0469,3004,3004,2,-1,1,-1,626.8355,2+,
1,2,84.0477,0,15.9571,383,383,2,-1,1,-1,626.8355,2+,
1,21,84.0843,0,16.1349,429,429,2,-1,1,-1,626.8355,2+,
1,19,86.0985,0,16.1309,4377,4377,2,-1,1,-1,626.8355,2+,
1,12,87.1034,0,16.058,346,346,2,-1,1,-1,626.8355,2+,
1,4,91.0567,0,15.9967,315,315,2,-1,1,-1,626.8355,2+,
1,3,93.0471,0,15.9883,1461,1461,2,-1,1,-1,626.8355,2+,
1,11,95.0641,0,16.0518,356,356,2,-1,1,-1,626.8355,2+,
1,8,98.0625,0,16.0471,490,490,2,-1,1,-1,626.8355,2+,
1,17,110.0719,0,16.1271,17146,17146,2,-1,1,-1,626.8355,2+,
1,23,111.0771,0,16.1635,1509,1509,2,-1,1,-1,626.8355,2+,
1,14,115.0899,0,16.1163,189,189,2,-1,1,-1,626.8355,2+,
1,20,116.074,0,16.1317,443,443,2,-1,1,-1,626.8355,2+,
1,15,119.0535,0,16.1172,180,180,2,-1,1,-1,626.8355,2+,
1,25,120.0844,0,16.216,1989,1989,2,-1,1,-1,626.8355,2+,
1,5,122.0749,0,16.0016,159,159,2,-1,1,-1,626.8355,2+,
1,1,126.0588,0,15.9405,277,277,2,-1,1,-1,626.8355,2+,
1,30,129.1073,0,16.2777,192,192,2,-1,1,-1,626.8355,2+,
1,6,130.0683,0,16.0169,610,610,2,-1,1,-1,626.8355,2+,
1,24,130.1044,0,16.1702,236,236,2,-1,1,-1,626.8355,2+,
1,27,132.0841,0,16.2206,497,497,2,-1,1,-1,626.8355,2+,
1,26,136.0868,0,16.2176,1565,1565,2,-1,1,-1,626.8355,2+,
1,28,148.09,0,16.2606,477,477,2,-1,1,-1,626.8355,2+,
1,38,157.1383,0,16.5164,665,665,2,-1,1,-1,626.8355,2+,
1,29,158.0967,0,16.2673,898,898,2,-1,1,-1,626.8355,2+,
1,34,159.0962,0,16.369,1942,1942,2,-1,1,-1,626.8355,2+,
1,35,160.0997,0,16.3894,297,297,2,-1,1,-1,626.8355,2+,
1,32,162.1087,0,16.3048,254,254,2,-1,1,-1,626.8355,2+,
1,31,166.0652,0,16.2987,390,390,2,-1,1,-1,626.8355,2+,
1,36,170.065,0,16.4035,465,465,2,-1,1,-1,626.8355,2+,
1,37,175.1235,0,16.4064,2958,2958,2,-1,1,-1,626.8355,2+,
1,33,176.1259,0,16.33,320,320,2,-1,1,-1,626.8355,2+,
1,45,178.1379,0,16.7008,4829,4829,2,-1,1,-1,626.8355,2+,
1,41,179.1416,0,16.6252,614,614,2,-1,1,-1,626.8355,2+,
1,40,181.113,0,16.5966,2368,2368,2,-1,1,-1,626.8355,2+,
1,44,182.1189,0,16.6583,330,330,2,-1,1,-1,626.8355,2+,
1,47,183.1541,0,16.8323,203,203,2,-1,1,-1,626.8355,2+,
1,48,185.1338,0,16.921,870,870,2,-1,1,-1,626.8355,2+,
1,46,187.0923,0,16.7865,323,323,2,-1,1,-1,626.8355,2+,
1,42,192.0813,0,16.6487,1219,1219,2,-1,1,-1,626.8355,2+,
1,43,195.1148,0,16.6562,249,249,2,-1,1,-1,626.8355,2+,
1,39,202.1101,0,16.5537,443,443,2,-1,1,-1,626.8355,2+,
1,52,206.1344,0,17.3386,213,213,2,-1,1,-1,626.8355,2+,
1,51,207.1279,0,17.3147,290,290,2,-1,1,-1,626.8355,2+,
1,49,209.1089,0,17.0465,2363,2363,2,-1,1,-1,626.8355,2+,
1,50,210.1093,0,17.1938,260,260,2,-1,1,-1,626.8355,2+,
1,53,211.1286,0,17.4233,196,196,2,-1,1,-1,626.8355,2+,
1,54,217.1397,0,17.5541,1419,1419,2,-1,1,-1,626.8355,2+,
1,56,218.1462,0,17.7889,153,153,2,-1,1,-1,626.8355,2+,
1,55,219.1232,0,17.6665,243,243,2,-1,1,-1,626.8355,2+,
1,66,223.1625,0,19.2516,155,155,2,-1,1,-1,626.8355,2+,
1,57,234.1409,0,17.9111,136,136,2,-1,1,-1,626.8355,2+,
1,59,235.1252,0,18.5155,2896,2896,2,-1,1,-1,626.8355,2+,
1,58,236.1311,0,18.4686,365,365,2,-1,1,-1,626.8355,2+,
1,63,237.1075,0,18.742,169,169,2,-1,1,-1,626.8355,2+,
1,67,238.1615,0,19.3549,162,162,2,-1,1,-1,626.8355,2+,
1,65,245.1358,0,18.9453,757,757,2,-1,1,-1,626.8355,2+,
1,68,246.1326,0,19.5771,587,587,2,-1,1,-1,626.8355,2+,
1,77,249.177,0,21.9165,968,968,2,-1,1,-1,626.8355,2+,
