func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,8,101.0589,0,16.1042,448,448,2,-1,1,1,784.377,2+,
1,1,103.0535,0,15.997601,1401,1401,2,-1,1,1,784.377,2+,
1,4,111.0428,0,16.0418,1044,1044,2,-1,1,1,784.377,2+,
1,2,113.0628,0,16.0084,202,202,2,-1,1,1,784.377,2+,
1,7,114.056,0,16.1022,567,567,2,-1,1,1,784.377,2+,
1,12,114.0903,0,16.1199,409,409,2,-1,1,1,784.377,2+,
1,5,119.0829,0,16.0477,186,186,2,-1,1,1,784.377,2+,
1,18,120.078,0,16.1422,15574,15574,2,-1,1,1,784.377,2+,
1,15,121.084,0,16.1316,2219,2219,2,-1,1,1,784.377,2+,
1,13,122.0836,0,16.1201,277,277,2,-1,1,1,784.377,2+,
1,6,124.0388,0,16.0693,219,219,2,-1,1,1,784.377,2+,
1,20,129.0532,0,16.1674,175,175,2,-1,1,1,784.377,2+,
1,3,133.0856,0,16.0233,584,584,2,-1,1,1,784.377,2+,
1,30,136.0743,0,16.2817,538,538,2,-1,1,1,784.377,2+,
1,26,138.094,0,16.2152,150,150,2,-1,1,1,784.377,2+,
1,28,141.0612,0,16.2253,264,264,2,-1,1,1,784.377,2+,
1,11,146.0939,0,16.1194,200,200,2,-1,1,1,784.377,2+,
1,9,147.0797,0,16.1108,578,578,2,-1,1,1,784.377,2+,
1,16,155.0693,0,16.1318,1867,1867,2,-1,1,1,784.377,2+,
1,17,156.0723,0,16.133,220,220,2,-1,1,1,784.377,2+,
1,14,158.095,0,16.1263,303,303,2,-1,1,1,784.377,2+,
1,25,159.0752,0,16.2078,2831,2831,2,-1,1,1,784.377,2+,
1,38,160.0794,0,16.3503,288,288,2,-1,1,1,784.377,2+,
1,37,169.0836,0,16.3458,225,225,2,-1,1,1,784.377,2+,
1,23,171.1111,0,16.1944,282,282,2,-1,1,1,784.377,2+,
1,22,173.0788,0,16.1891,4021,4021,2,-1,1,1,784.377,2+,
1,24,174.0844,0,16.198,444,444,2,-1,1,1,784.377,2+,
1,21,175.0484,0,16.1821,180,180,2,-1,1,1,784.377,2+,
1,19,175.1173,0,16.1665,776,776,2,-1,1,1,784.377,2+,
1,34,177.1096,0,16.2983,390,390,2,-1,1,1,784.377,2+,
1,33,187.0708,0,16.2944,2219,2219,2,-1,1,1,784.377,2+,
1,10,189.1025,0,16.1167,208,208,2,-1,1,1,784.377,2+,
1,27,190.0862,0,16.22,442,442,2,-1,1,1,784.377,2+,
1,48,191.1097,0,16.4575,185,185,2,-1,1,1,784.377,2+,
1,36,193.0623,0,16.327,190,190,2,-1,1,1,784.377,2+,
1,39,193.0944,0,16.3566,187,187,2,-1,1,1,784.377,2+,
1,32,195.1116,0,16.2917,326,326,2,-1,1,1,784.377,2+,
1,49,201.0991,0,16.5011,335,335,2,-1,1,1,784.377,2+,
1,40,203.0609,0,16.3579,405,405,2,-1,1,1,784.377,2+,
1,42,207.1123,0,16.3964,321,321,2,-1,1,1,784.377,2+,
1,45,213.1109,0,16.4258,686,686,2,-1,1,1,784.377,2+,
1,35,217.1034,0,16.315,1610,1610,2,-1,1,1,784.377,2+,
1,46,218.1096,0,16.4351,274,274,2,-1,1,1,784.377,2+,
1,44,219.0705,0,16.4249,1490,1490,2,-1,1,1,784.377,2+,
1,31,226.1068,0,16.2824,147,147,2,-1,1,1,784.377,2+,
1,82,227.2016,0,17.9939,392,392,2,-1,1,1,784.377,2+,
1,56,229.0838,0,16.6324,252,252,2,-1,1,1,784.377,2+,
1,50,231.1204,0,16.5091,938,938,2,-1,1,1,784.377,2+,
1,43,232.1293,0,16.4165,163,163,2,-1,1,1,784.377,2+,
1,59,233.0824,0,16.6419,267,267,2,-1,1,1,784.377,2+,
1,65,233.1611,0,16.8167,800,800,2,-1,1,1,784.377,2+,
1,54,234.1628,0,16.6217,184,184,2,-1,1,1,784.377,2+,
1,41,235.1126,0,16.3824,165,165,2,-1,1,1,784.377,2+,
1,53,237.0836,0,16.5676,440,440,2,-1,1,1,784.377,2+,
1,71,240.1307,0,17.0295,171,171,2,-1,1,1,784.377,2+,
1,64,244.0877,0,16.7554,164,164,2,-1,1,1,784.377,2+,
1,47,245.1226,0,16.4462,237,237,2,-1,1,1,784.377,2+,
1,60,251.1017,0,16.6745,161,161,2,-1,1,1,784.377,2+,
1,105,255.2252,0,21.1225,191,191,2,-1,1,1,784.377,2+,
1,66,258.1455,0,16.8904,213,213,2,-1,1,1,784.377,2+,
1,79,259.1729,0,17.8987,323,323,2,-1,1,1,784.377,2+,
1,69,261.1206,0,17.0035,2493,2493,2,-1,1,1,784.377,2+,
1,70,262.1497,0,17.027,1306,1306,2,-1,1,1,784.377,2+,
1,58,263.09,0,16.6375,194,194,2,-1,1,1,784.377,2+,
1,72,268.153,0,17.0691,145,145,2,-1,1,1,784.377,2+,
1,52,272.1208,0,16.5557,283,283,2,-1,1,1,784.377,2+,
1,75,274.1659,0,17.2896,877,877,2,-1,1,1,784.377,2+,
1,73,275.1714,0,17.1687,164,164,2,-1,1,1,784.377,2+,
1,62,277.0989,0,16.7164,195,195,2,-1,1,1,784.377,2+,
1,88,281.1121,0,18.6983,301,301,2,-1,1,1,784.377,2+,
1,113,281.2445,0,22.9185,345,345,2,-1,1,1,784.377,2+,
1,116,282.2468,0,23.3026,105,105,2,-1,1,1,784.377,2+,
1,63,283.1719,0,16.739,274,274,2,-1,1,1,784.377,2+,
1,127,283.2583,0,25.9265,437,437,2,-1,1,1,784.377,2+,
1,77,286.1365,0,17.6996,289,289,2,-1,1,1,784.377,2+,
1,83,288.1281,0,18.0763,162,162,2,-1,1,1,784.377,2+,
