func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,4,101.0537,0,16.039,852,852,2,-1,1,1,751.8135,2+,
1,8,102.0474,0,16.1211,621,621,2,-1,1,1,751.8135,2+,
1,3,109.0937,0,16.032,179,179,2,-1,1,1,751.8135,2+,
1,7,111.0363,0,16.0919,1596,1596,2,-1,1,1,751.8135,2+,
1,5,112.0186,0,16.0433,1607,1607,2,-1,1,1,751.8135,2+,
1,2,113.0526,0,15.986,228,228,2,-1,1,1,751.8135,2+,
1,6,114.0834,0,16.0897,1306,1306,2,-1,1,1,751.8135,2+,
1,10,119.0768,0,16.1724,361,361,2,-1,1,1,751.8135,2+,
1,9,120.0727,0,16.1657,493,493,2,-1,1,1,751.8135,2+,
1,12,129.0462,0,16.1924,259,259,2,-1,1,1,751.8135,2+,
1,15,133.0763,0,16.2394,528,528,2,-1,1,1,751.8135,2+,
1,1,135.1092,0,15.957001,148,148,2,-1,1,1,751.8135,2+,
1,21,136.0666,0,16.2778,1531,1531,2,-1,1,1,751.8135,2+,
1,18,137.1232,0,16.2653,2672,2672,2,-1,1,1,751.8135,2+,
1,20,138.1272,0,16.2714,343,343,2,-1,1,1,751.8135,2+,
1,13,147.0702,0,16.2301,1417,1417,2,-1,1,1,751.8135,2+,
1,14,155.059,0,16.2368,3950,3950,2,-1,1,1,751.8135,2+,
1,17,156.0616,0,16.2549,384,384,2,-1,1,1,751.8135,2+,
1,16,169.075,0,16.2536,259,259,2,-1,1,1,751.8135,2+,
1,32,171.1262,0,16.628,221,221,2,-1,1,1,751.8135,2+,
1,19,173.0666,0,16.2701,8480,8480,2,-1,1,1,751.8135,2+,
1,11,174.0729,0,16.1919,1064,1064,2,-1,1,1,751.8135,2+,
1,22,175.0763,0,16.3021,295,295,2,-1,1,1,751.8135,2+,
1,23,177.1001,0,16.3059,370,370,2,-1,1,1,751.8135,2+,
1,27,187.0845,0,16.3985,1366,1366,2,-1,1,1,751.8135,2+,
1,28,188.0875,0,16.415,241,241,2,-1,1,1,751.8135,2+,
1,30,193.0816,0,16.5586,216,216,2,-1,1,1,751.8135,2+,
1,26,195.1004,0,16.383,352,352,2,-1,1,1,751.8135,2+,
1,29,199.0775,0,16.4737,244,244,2,-1,1,1,751.8135,2+,
1,24,201.0382,0,16.362,264,264,2,-1,1,1,751.8135,2+,
1,38,203.0474,0,16.7141,544,544,2,-1,1,1,751.8135,2+,
1,41,206.1236,0,16.8221,197,197,2,-1,1,1,751.8135,2+,
1,34,213.0992,0,16.6341,475,475,2,-1,1,1,751.8135,2+,
1,31,217.0914,0,16.62,3925,3925,2,-1,1,1,751.8135,2+,
1,33,218.0948,0,16.6286,436,436,2,-1,1,1,751.8135,2+,
1,39,219.0426,0,16.7794,7022,7022,2,-1,1,1,751.8135,2+,
1,35,220.046,0,16.6346,1354,1354,2,-1,1,1,751.8135,2+,
1,42,221.0449,0,16.9336,214,214,2,-1,1,1,751.8135,2+,
