func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,5,100.0442,0,16.062,219,219,2,-1,1,1,710.353,2+,
1,2,101.0549,0,15.9384,348,348,2,-1,1,1,710.353,2+,
1,7,103.07,0,16.1131,242,242,2,-1,1,1,710.353,2+,
1,4,110.0648,0,16.0442,853,853,2,-1,1,1,710.353,2+,
1,3,111.038,0,16.0199,1003,1003,2,-1,1,1,710.353,2+,
1,15,112.0199,0,16.2337,569,569,2,-1,1,1,710.353,2+,
1,1,113.0546,0,15.875599,182,182,2,-1,1,1,710.353,2+,
1,8,114.0855,0,16.1272,1033,1033,2,-1,1,1,710.353,2+,
1,6,119.0798,0,16.0944,373,373,2,-1,1,1,710.353,2+,
1,9,120.0734,0,16.1372,293,293,2,-1,1,1,710.353,2+,
1,17,122.0739,0,16.2534,229,229,2,-1,1,1,710.353,2+,
1,19,133.0795,0,16.2831,275,275,2,-1,1,1,710.353,2+,
1,13,147.0745,0,16.2011,1074,1074,2,-1,1,1,710.353,2+,
1,11,152.1027,0,16.1628,174,174,2,-1,1,1,710.353,2+,
1,14,155.0623,0,16.2306,2586,2586,2,-1,1,1,710.353,2+,
1,12,156.067,0,16.17,472,472,2,-1,1,1,710.353,2+,
1,16,173.0714,0,16.2463,3993,3993,2,-1,1,1,710.353,2+,
1,18,174.0753,0,16.2579,660,660,2,-1,1,1,710.353,2+,
1,10,175.0781,0,16.144,235,235,2,-1,1,1,710.353,2+,
1,20,186.0763,0,16.2876,271,271,2,-1,1,1,710.353,2+,
1,21,187.0874,0,16.35,564,564,2,-1,1,1,710.353,2+,
1,30,195.1042,0,16.6739,221,221,2,-1,1,1,710.353,2+,
1,35,199.0936,0,16.7456,153,153,2,-1,1,1,710.353,2+,
1,24,200.1204,0,16.4165,357,357,2,-1,1,1,710.353,2+,
1,23,201.0362,0,16.4089,239,239,2,-1,1,1,710.353,2+,
1,29,203.0514,0,16.6624,412,412,2,-1,1,1,710.353,2+,
1,28,213.1045,0,16.6447,515,515,2,-1,1,1,710.353,2+,
1,26,217.0951,0,16.5687,1505,1505,2,-1,1,1,710.353,2+,
1,25,218.096,0,16.5156,370,370,2,-1,1,1,710.353,2+,
1,32,219.0472,0,16.7188,1657,1657,2,-1,1,1,710.353,2+,
1,36,220.0508,0,16.8329,273,273,2,-1,1,1,710.353,2+,
1,42,226.0958,0,16.9825,3097,3097,2,-1,1,1,710.353,2+,
1,41,227.1016,0,16.956,502,502,2,-1,1,1,710.353,2+,
1,39,228.1103,0,16.9285,1804,1804,2,-1,1,1,710.353,2+,
1,47,229.0264,0,17.4307,176,176,2,-1,1,1,710.353,2+,
1,40,231.1095,0,16.9443,913,913,2,-1,1,1,710.353,2+,
1,38,233.059,0,16.926,271,271,2,-1,1,1,710.353,2+,
