func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,3,101.0599,0,16.0725,1849,1849,2,-1,1,1,874.3585,2+,
1,5,111.0433,0,16.0741,3669,3669,2,-1,1,1,874.3585,2+,
1,1,112.0479,0,15.9832,184,184,2,-1,1,1,874.3585,2+,
1,4,113.0622,0,16.074,305,305,2,-1,1,1,874.3585,2+,
1,12,114.0919,0,16.1852,353,353,2,-1,1,1,874.3585,2+,
1,6,120.0775,0,16.102,214,214,2,-1,1,1,874.3585,2+,
1,2,127.0752,0,16.0509,315,315,2,-1,1,1,874.3585,2+,
1,13,129.0554,0,16.1941,576,576,2,-1,1,1,874.3585,2+,
1,14,133.0875,0,16.2037,549,549,2,-1,1,1,874.3585,2+,
1,7,136.0745,0,16.1117,519,519,2,-1,1,1,874.3585,2+,
1,9,137.0571,0,16.1392,234,234,2,-1,1,1,874.3585,2+,
1,19,141.0918,0,16.2961,157,157,2,-1,1,1,874.3585,2+,
1,8,147.0811,0,16.1229,357,357,2,-1,1,1,874.3585,2+,
1,16,155.0682,0,16.2382,7696,7696,2,-1,1,1,874.3585,2+,
1,10,156.075,0,16.1633,525,525,2,-1,1,1,874.3585,2+,
1,20,169.0854,0,16.3239,807,807,2,-1,1,1,874.3585,2+,
1,17,173.0777,0,16.2903,16541,16541,2,-1,1,1,874.3585,2+,
1,11,173.2077,0,16.1693,179,179,2,-1,1,1,874.3585,2+,
1,15,174.0859,0,16.2269,1473,1473,2,-1,1,1,874.3585,2+,
1,21,177.1132,0,16.3451,315,315,2,-1,1,1,874.3585,2+,
1,18,187.095,0,16.2952,3558,3558,2,-1,1,1,874.3585,2+,
1,22,188.1017,0,16.3919,313,313,2,-1,1,1,874.3585,2+,
1,23,199.0951,0,16.4065,379,379,2,-1,1,1,874.3585,2+,
1,29,203.0588,0,16.8063,156,156,2,-1,1,1,874.3585,2+,
1,26,213.1108,0,16.7158,3670,3670,2,-1,1,1,874.3585,2+,
1,28,214.1145,0,16.7563,296,296,2,-1,1,1,874.3585,2+,
1,24,217.1067,0,16.6191,2456,2456,2,-1,1,1,874.3585,2+,
1,27,218.1073,0,16.7394,192,192,2,-1,1,1,874.3585,2+,
1,25,219.0589,0,16.6442,413,413,2,-1,1,1,874.3585,2+,
1,30,231.1207,0,17.032,520,520,2,-1,1,1,874.3585,2+,
1,33,233.092,0,17.3936,214,214,2,-1,1,1,874.3585,2+,
1,31,243.1201,0,17.0641,127,127,2,-1,1,1,874.3585,2+,
1,37,262.1373,0,19.0347,224,224,2,-1,1,1,874.3585,2+,
1,34,265.1087,0,18.1551,203,203,2,-1,1,1,874.3585,2+,
1,39,278.1094,0,21.3709,228,228,2,-1,1,1,874.3585,2+,
1,32,279.1281,0,17.0886,174,174,2,-1,1,1,874.3585,2+,
1,53,281.2444,0,29.4116,124,124,2,-1,1,1,874.3585,2+,
1,38,283.1147,0,19.6671,135,135,2,-1,1,1,874.3585,2+,
1,35,283.1742,0,18.7958,185,185,2,-1,1,1,874.3585,2+,
1,61,283.2628,0,33.055,276,276,2,-1,1,1,874.3585,2+,
1,36,287.1544,0,18.9495,135,135,2,-1,1,1,874.3585,2+,
1,57,307.2633,0,32.0908,172,172,2,-1,1,1,874.3585,2+,
1,63,309.2757,0,34.9724,5720,5720,2,-1,1,1,874.3585,2+,
1,64,310.2828,0,35.0397,1486,1486,2,-1,1,1,874.3585,2+,
1,65,311.2887,0,35.7672,250,250,2,-1,1,1,874.3585,2+,
1,40,327.144,0,23.6142,1434,1434,2,-1,1,1,874.3585,2+,
1,42,328.149,0,24.2681,213,213,2,-1,1,1,874.3585,2+,
1,41,331.1783,0,23.6872,144,144,2,-1,1,1,874.3585,2+,
1,50,335.1315,0,28.8216,384,384,2,-1,1,1,874.3585,2+,
1,46,341.163,0,25.8934,143,143,2,-1,1,1,874.3585,2+,
1,45,345.1507,0,25.1789,17285,17285,2,-1,1,1,874.3585,2+,
1,44,346.1573,0,25.1358,2530,2530,2,-1,1,1,874.3585,2+,
1,51,349.1397,0,29.0703,144,144,2,-1,1,1,874.3585,2+,
1,48,359.1649,0,27.6264,7905,7905,2,-1,1,1,874.3585,2+,
1,47,360.1729,0,27.5289,1137,1137,2,-1,1,1,874.3585,2+,
1,43,365.1652,0,25.0245,276,276,2,-1,1,1,874.3585,2+,
1,49,375.199,0,28.4565,133,133,2,-1,1,1,874.3585,2+,
1,58,385.1847,0,32.3495,2122,2122,2,-1,1,1,874.3585,2+,
1,59,386.1859,0,32.5728,395,395,2,-1,1,1,874.3585,2+,
1,55,389.18,0,30.7112,737,737,2,-1,1,1,874.3585,2+,
1,54,390.1663,0,30.1802,133,133,2,-1,1,1,874.3585,2+,
1,56,391.1787,0,31.785103,124,124,2,-1,1,1,874.3585,2+,
1,52,401.1119,0,29.0972,111,111,2,-1,1,1,874.3585,2+,
1,60,403.1957,0,32.708,379,379,2,-1,1,1,874.3585,2+,
1,69,406.1994,0,38.9463,178,178,2,-1,1,1,874.3585,2+,
1,77,410.2858,0,42.1657,103,103,2,-1,1,1,874.3585,2+,
1,78,411.2873,0,43.6125,139,139,2,-1,1,1,874.3585,2+,
1,62,419.2302,0,34.7476,178,178,2,-1,1,1,874.3585,2+,
1,72,434.2036,0,39.7052,126,126,2,-1,1,1,874.3585,2+,
1,71,439.2452,0,39.6093,212,212,2,-1,1,1,874.3585,2+,
1,67,451.2014,0,36.1127,193,193,2,-1,1,1,874.3585,2+,
1,70,455.1927,0,39.1044,499,499,2,-1,1,1,874.3585,2+,
1,76,462.2124,0,41.8788,182,182,2,-1,1,1,874.3585,2+,
1,74,463.249,0,40.7106,151,151,2,-1,1,1,874.3585,2+,
1,75,473.2022,0,40.9769,531,531,2,-1,1,1,874.3585,2+,
1,73,474.1951,0,39.9285,131,131,2,-1,1,1,874.3585,2+,
1,88,488.2428,0,48.1242,234,234,2,-1,1,1,874.3585,2+,
1,79,499.2144,0,43.9002,609,609,2,-1,1,1,874.3585,2+,
1,80,500.2178,0,44.0489,129,129,2,-1,1,1,874.3585,2+,
1,85,513.2301,0,46.8245,143,143,2,-1,1,1,874.3585,2+,
1,82,517.225,0,45.7181,7455,7455,2,-1,1,1,874.3585,2+,
1,83,518.232,0,46.0178,1564,1564,2,-1,1,1,874.3585,2+,
1,87,531.2391,0,47.5341,5263,5263,2,-1,1,1,874.3585,2+,
1,86,532.2471,0,47.5263,1058,1058,2,-1,1,1,874.3585,2+,
1,81,537.2351,0,45.1413,116,116,2,-1,1,1,874.3585,2+,
1,152,546.4194,0,69.4286,139,139,2,-1,1,1,874.3585,2+,
1,151,547.4203,0,68.9616,305,305,2,-1,1,1,874.3585,2+,
1,101,557.2579,0,54.2887,875,875,2,-1,1,1,874.3585,2+,
1,104,558.2684,0,54.634,204,204,2,-1,1,1,874.3585,2+,
1,98,561.2524,0,52.0196,237,237,2,-1,1,1,874.3585,2+,
1,103,575.2583,0,54.5753,147,147,2,-1,1,1,874.3585,2+,
1,108,627.2739,0,59.3348,576,576,2,-1,1,1,874.3585,2+,
1,110,628.2696,0,59.9358,169,169,2,-1,1,1,874.3585,2+,
1,112,645.2721,0,61.4531,435,435,2,-1,1,1,874.3585,2+,
1,68,657.7576,0,36.4903,121,121,2,-1,1,1,874.3585,2+,
1,66,658.2575,0,35.841,122,122,2,-1,1,1,874.3585,2+,
1,156,665.5253,0,81.0154,131,131,2,-1,1,1,874.3585,2+,
1,143,671.2854,0,65.3126,225,225,2,-1,1,1,874.3585,2+,
1,149,689.2975,0,67.5323,3512,3512,2,-1,1,1,874.3585,2+,
1,150,690.3038,0,67.6281,973,973,2,-1,1,1,874.3585,2+,
1,153,703.3133,0,69.8922,385,385,2,-1,1,1,874.3585,2+,
1,154,729.3371,0,75.709,277,277,2,-1,1,1,874.3585,2+,
1,155,747.3396,0,75.7724,190,190,2,-1,1,1,874.3585,2+,
1,157,799.3338,0,82.966,333,333,2,-1,1,1,874.3585,2+,
1,161,817.3516,0,84.6808,717,717,2,-1,1,1,874.3585,2+,
1,160,818.3484,0,84.1647,235,235,2,-1,1,1,874.3585,2+,
1,84,845.1741,0,46.3564,124,124,2,-1,1,1,874.3585,2+,
1,122,853.1282,0,63.7611,103,103,2,-1,1,1,874.3585,2+,
1,115,853.5103,0,62.4843,121,121,2,-1,1,1,874.3585,2+,
1,118,853.719,0,63.277496,145,145,2,-1,1,1,874.3585,2+,
1,121,853.9145,0,63.3553,126,126,2,-1,1,1,874.3585,2+,
1,109,855.5197,0,59.7428,159,159,2,-1,1,1,874.3585,2+,
1,107,855.7582,0,58.8158,155,155,2,-1,1,1,874.3585,2+,
1,116,856.9223,0,62.9666,149,149,2,-1,1,1,874.3585,2+,
1,123,857.1196,0,63.884705,143,143,2,-1,1,1,874.3585,2+,
1,117,857.3262,0,63.072495,134,134,2,-1,1,1,874.3585,2+,
1,119,857.5299,0,63.3463,140,140,2,-1,1,1,874.3585,2+,
1,92,865.8375,0,49.1141,168,168,2,-1,1,1,874.3585,2+,
1,89,866.3309,0,48.2174,189,189,2,-1,1,1,874.3585,2+,
1,90,866.8235,0,48.3496,124,124,2,-1,1,1,874.3585,2+,
1,124,869.0274,0,63.915,126,126,2,-1,1,1,874.3585,2+,
1,139,870.1353,0,64.9997,170,170,2,-1,1,1,874.3585,2+,
1,144,870.3325,0,65.3276,362,362,2,-1,1,1,874.3585,2+,
1,140,870.5259,0,65.0238,527,527,2,-1,1,1,874.3585,2+,
1,147,870.7248,0,65.8197,392,392,2,-1,1,1,874.3585,2+,
1,145,870.9219,0,65.6122,340,340,2,-1,1,1,874.3585,2+,
1,146,871.1443,0,65.6746,243,243,2,-1,1,1,874.3585,2+,
1,132,871.3482,0,64.6217,227,227,2,-1,1,1,874.3585,2+,
1,148,871.5256,0,65.8768,183,183,2,-1,1,1,874.3585,2+,
1,131,871.7196,0,64.56,138,138,2,-1,1,1,874.3585,2+,
1,120,872.3007,0,63.3472,151,151,2,-1,1,1,874.3585,2+,
1,135,872.5241,0,64.7479,223,223,2,-1,1,1,874.3585,2+,
1,100,873.016,0,54.176,208,208,2,-1,1,1,874.3585,2+,
