func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,104.0996,0,16.0869,1038,1038,2,-1,1,1,978.487,2+,
1,2,122.1139,0,16.1492,2602,2602,2,-1,1,1,978.487,2+,
1,4,159.1212,0,16.282,209,209,2,-1,1,1,978.487,2+,
1,5,199.1625,0,16.6827,145,145,2,-1,1,1,978.487,2+,
1,6,202.0407,0,16.6833,170,170,2,-1,1,1,978.487,2+,
1,3,204.0614,0,16.2204,129,129,2,-1,1,1,978.487,2+,
1,7,250.0541,0,17.3609,972,972,2,-1,1,1,978.487,2+,
1,21,291.1221,0,18.2953,212,212,2,-1,1,1,978.487,2+,
1,57,307.0907,0,19.4613,7288,7288,2,-1,1,1,978.487,2+,
1,53,308.0948,0,19.4241,902,902,2,-1,1,1,978.487,2+,
1,58,309.0907,0,19.4658,916,916,2,-1,1,1,978.487,2+,
1,50,310.095,0,19.326,125,125,2,-1,1,1,978.487,2+,
1,62,311.0921,0,19.8719,305,305,2,-1,1,1,978.487,2+,
1,100,341.2375,0,25.9246,619,619,2,-1,1,1,978.487,2+,
1,112,341.3449,0,30.23,143,143,2,-1,1,1,978.487,2+,
1,91,343.0808,0,22.8261,213,213,2,-1,1,1,978.487,2+,
1,89,345.0708,0,22.0199,133,133,2,-1,1,1,978.487,2+,
1,103,371.1608,0,26.3168,433,433,2,-1,1,1,978.487,2+,
1,84,378.0035,0,21.2474,323,323,2,-1,1,1,978.487,2+,
1,106,381.0415,0,26.8481,229,229,2,-1,1,1,978.487,2+,
1,123,409.1208,0,33.0636,228,228,2,-1,1,1,978.487,2+,
1,94,409.1244,0,24.3659,798,798,2,-1,1,1,978.487,2+,
1,95,410.1346,0,24.3797,114,114,2,-1,1,1,978.487,2+,
1,113,417.0251,0,30.2367,693,693,2,-1,1,1,978.487,2+,
1,114,419.0215,0,30.2965,333,333,2,-1,1,1,978.487,2+,
1,182,426.352,0,42.8579,266,266,2,-1,1,1,978.487,2+,
1,96,435.0411,0,24.6852,1699,1699,2,-1,1,1,978.487,2+,
1,98,436.041,0,24.9762,199,199,2,-1,1,1,978.487,2+,
1,99,437.037,0,25.3343,208,208,2,-1,1,1,978.487,2+,
1,127,445.1072,0,33.983,1639,1639,2,-1,1,1,978.487,2+,
1,133,446.108,0,34.3486,202,202,2,-1,1,1,978.487,2+,
1,126,447.1045,0,33.4272,690,690,2,-1,1,1,978.487,2+,
1,105,451.9465,0,26.8301,435,435,2,-1,1,1,978.487,2+,
1,104,453.9509,0,26.8292,178,178,2,-1,1,1,978.487,2+,
1,186,454.3531,0,43.1769,1123,1123,2,-1,1,1,978.487,2+,
1,185,455.3548,0,43.0552,272,272,2,-1,1,1,978.487,2+,
1,122,459.1309,0,32.9693,366,366,2,-1,1,1,978.487,2+,
1,129,461.146,0,34.1123,629,629,2,-1,1,1,978.487,2+,
1,128,462.1435,0,34.022,133,133,2,-1,1,1,978.487,2+,
1,130,463.1365,0,34.224,137,137,2,-1,1,1,978.487,2+,
1,108,473.0073,0,27.7983,153,153,2,-1,1,1,978.487,2+,
1,149,481.0949,0,38.0717,667,667,2,-1,1,1,978.487,2+,
1,146,482.1002,0,37.8005,111,111,2,-1,1,1,978.487,2+,
1,132,483.0664,0,34.3338,684,684,2,-1,1,1,978.487,2+,
1,110,491.0093,0,28.7552,177,177,2,-1,1,1,978.487,2+,
1,155,499.1073,0,39.4091,369,369,2,-1,1,1,978.487,2+,
1,116,499.1108,0,32.0617,448,448,2,-1,1,1,978.487,2+,
1,164,502.1498,0,40.5789,207,207,2,-1,1,1,978.487,2+,
1,8,505.5611,0,17.643,202,202,2,-1,1,1,978.487,2+,
1,11,506.5584,0,17.7695,221,221,2,-1,1,1,978.487,2+,
1,118,508.9823,0,32.1721,1646,1646,2,-1,1,1,978.487,2+,
1,119,509.9892,0,32.2144,191,191,2,-1,1,1,978.487,2+,
1,117,510.982,0,32.1301,637,637,2,-1,1,1,978.487,2+,
1,120,512.9795,0,32.2534,115,115,2,-1,1,1,978.487,2+,
1,144,519.0569,0,37.5708,970,970,2,-1,1,1,978.487,2+,
1,148,521.0519,0,38.0058,540,540,2,-1,1,1,978.487,2+,
1,16,523.5506,0,18.0904,173,173,2,-1,1,1,978.487,2+,
1,17,524.5422,0,18.095,252,252,2,-1,1,1,978.487,2+,
1,20,525.5498,0,18.2493,181,181,2,-1,1,1,978.487,2+,
1,153,533.0763,0,39.0804,103,103,2,-1,1,1,978.487,2+,
1,33,534.0713,0,19.0132,269,269,2,-1,1,1,978.487,2+,
1,35,535.0691,0,19.0961,267,267,2,-1,1,1,978.487,2+,
1,167,535.0883,0,41.4901,1462,1462,2,-1,1,1,978.487,2+,
1,173,536.0859,0,41.8128,331,331,2,-1,1,1,978.487,2+,
1,138,537.0649,0,35.5703,8270,8270,2,-1,1,1,978.487,2+,
1,139,538.0715,0,35.6588,1125,1125,2,-1,1,1,978.487,2+,
1,137,539.0636,0,35.5511,676,676,2,-1,1,1,978.487,2+,
1,10,541.0046,0,17.7245,159,159,2,-1,1,1,978.487,2+,
1,9,542.0153,0,17.6955,132,132,2,-1,1,1,978.487,2+,
1,31,542.5405,0,18.9734,180,180,2,-1,1,1,978.487,2+,
1,27,543.5362,0,18.7669,147,147,2,-1,1,1,978.487,2+,
1,109,543.9112,0,28.6199,244,244,2,-1,1,1,978.487,2+,
1,134,546.9485,0,34.5443,144,144,2,-1,1,1,978.487,2+,
1,12,551.5325,0,17.7788,342,342,2,-1,1,1,978.487,2+,
1,22,552.0597,0,18.3836,204,204,2,-1,1,1,978.487,2+,
1,14,552.5352,0,18.0487,314,314,2,-1,1,1,978.487,2+,
1,25,553.0566,0,18.6948,274,274,2,-1,1,1,978.487,2+,
1,23,553.5409,0,18.5129,157,157,2,-1,1,1,978.487,2+,
1,192,556.1436,0,45.0348,442,442,2,-1,1,1,978.487,2+,
1,64,561.5178,0,19.9186,148,148,2,-1,1,1,978.487,2+,
1,111,561.9216,0,29.2195,114,114,2,-1,1,1,978.487,2+,
1,26,562.5238,0,18.7409,142,142,2,-1,1,1,978.487,2+,
1,13,569.5283,0,18.0159,462,462,2,-1,1,1,978.487,2+,
1,136,570.0153,0,35.2958,224,224,2,-1,1,1,978.487,2+,
1,36,570.0432,0,19.1284,166,166,2,-1,1,1,978.487,2+,
1,15,570.5252,0,18.0774,598,598,2,-1,1,1,978.487,2+,
1,34,571.0539,0,19.0345,305,305,2,-1,1,1,978.487,2+,
1,18,571.5274,0,18.1497,245,245,2,-1,1,1,978.487,2+,
1,59,572.0475,0,19.5108,166,166,2,-1,1,1,978.487,2+,
1,158,573.0505,0,39.9053,7431,7431,2,-1,1,1,978.487,2+,
1,160,574.0572,0,39.971,1025,1025,2,-1,1,1,978.487,2+,
1,154,575.0502,0,39.3172,2761,2761,2,-1,1,1,978.487,2+,
1,205,575.2275,0,46.0414,277,277,2,-1,1,1,978.487,2+,
1,161,576.0618,0,40.0193,205,205,2,-1,1,1,978.487,2+,
1,162,577.0482,0,40.2688,204,204,2,-1,1,1,978.487,2+,
1,32,578.9738,0,18.9866,231,231,2,-1,1,1,978.487,2+,
1,28,580.0552,0,18.8278,418,418,2,-1,1,1,978.487,2+,
1,38,581.0512,0,19.1737,278,278,2,-1,1,1,978.487,2+,
1,49,582.0535,0,19.3183,150,150,2,-1,1,1,978.487,2+,
1,290,583.4458,0,57.5676,382,382,2,-1,1,1,978.487,2+,
1,151,587.079,0,38.2997,149,149,2,-1,1,1,978.487,2+,
1,54,587.5197,0,19.4304,335,335,2,-1,1,1,978.487,2+,
1,56,588.0186,0,19.4532,151,151,2,-1,1,1,978.487,2+,
1,51,588.5163,0,19.3344,606,606,2,-1,1,1,978.487,2+,
1,47,589.011,0,19.308,220,220,2,-1,1,1,978.487,2+,
1,152,589.0877,0,38.584,273,273,2,-1,1,1,978.487,2+,
1,41,589.5209,0,19.1948,546,546,2,-1,1,1,978.487,2+,
1,48,590.0105,0,19.3147,140,140,2,-1,1,1,978.487,2+,
1,39,590.5112,0,19.1738,179,179,2,-1,1,1,978.487,2+,
1,97,591.802,0,24.8798,135,135,2,-1,1,1,978.487,2+,
1,221,592.1293,0,48.0787,578,578,2,-1,1,1,978.487,2+,
1,101,592.3583,0,26.0104,161,161,2,-1,1,1,978.487,2+,
1,102,593.8403,0,26.2108,264,264,2,-1,1,1,978.487,2+,
1,189,594.1025,0,43.6943,1740,1740,2,-1,1,1,978.487,2+,
1,202,595.1103,0,45.8778,359,359,2,-1,1,1,978.487,2+,
1,209,596.1054,0,46.519,334,334,2,-1,1,1,978.487,2+,
