func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,104.0972,0,16.0412,1004,1004,2,-1,1,1,777.8325,2+,
1,2,110.099,0,16.0625,1223,1223,2,-1,1,1,777.8325,2+,
1,18,117.0254,0,16.5255,180,180,2,-1,1,1,777.8325,2+,
1,5,120.1107,0,16.1488,1380,1380,2,-1,1,1,777.8325,2+,
1,3,122.1116,0,16.114,2598,2598,2,-1,1,1,777.8325,2+,
1,12,129.1357,0,16.3014,805,805,2,-1,1,1,777.8325,2+,
1,27,129.9975,0,16.644,226,226,2,-1,1,1,777.8325,2+,
1,4,130.1197,0,16.1343,1001,1001,2,-1,1,1,777.8325,2+,
1,9,136.1126,0,16.2506,628,628,2,-1,1,1,777.8325,2+,
1,8,140.1461,0,16.2478,267,267,2,-1,1,1,777.8325,2+,
1,10,147.1508,0,16.2542,497,497,2,-1,1,1,777.8325,2+,
1,11,154.1617,0,16.2801,1017,1017,2,-1,1,1,777.8325,2+,
1,7,157.1734,0,16.2129,165,165,2,-1,1,1,777.8325,2+,
1,20,160.0723,0,16.5478,204,204,2,-1,1,1,777.8325,2+,
1,14,166.1048,0,16.4368,296,296,2,-1,1,1,777.8325,2+,
1,28,166.9098,0,16.6448,483,483,2,-1,1,1,777.8325,2+,
1,15,171.1927,0,16.4872,563,563,2,-1,1,1,777.8325,2+,
1,19,172.0167,0,16.5379,386,386,2,-1,1,1,777.8325,2+,
1,26,202.0358,0,16.6315,549,549,2,-1,1,1,777.8325,2+,
1,23,204.0526,0,16.5933,858,858,2,-1,1,1,777.8325,2+,
1,102,204.9457,0,17.3949,164,164,2,-1,1,1,777.8325,2+,
1,41,207.1777,0,16.803,661,661,2,-1,1,1,777.8325,2+,
1,30,209.1533,0,16.6993,259,259,2,-1,1,1,777.8325,2+,
1,50,216.0605,0,16.8606,176,176,2,-1,1,1,777.8325,2+,
1,58,220.0357,0,16.9353,148,148,2,-1,1,1,777.8325,2+,
1,116,223.948,0,17.6012,387,387,2,-1,1,1,777.8325,2+,
1,79,224.956,0,17.1609,171,171,2,-1,1,1,777.8325,2+,
1,44,225.9646,0,16.8197,559,559,2,-1,1,1,777.8325,2+,
1,80,226.1758,0,17.1723,212,212,2,-1,1,1,777.8325,2+,
1,54,226.9567,0,16.8991,2186,2186,2,-1,1,1,777.8325,2+,
1,109,235.1793,0,17.5263,2516,2516,2,-1,1,1,777.8325,2+,
1,108,236.1819,0,17.5239,353,353,2,-1,1,1,777.8325,2+,
1,94,241.9627,0,17.2839,349,349,2,-1,1,1,777.8325,2+,
1,52,243.9728,0,16.8751,189,189,2,-1,1,1,777.8325,2+,
1,147,244.0451,0,18.027,322,322,2,-1,1,1,777.8325,2+,
1,153,244.1955,0,18.2066,275,275,2,-1,1,1,777.8325,2+,
1,59,244.9733,0,16.9368,985,985,2,-1,1,1,777.8325,2+,
1,96,250.0513,0,17.3034,4807,4807,2,-1,1,1,777.8325,2+,
1,104,251.0549,0,17.4316,390,390,2,-1,1,1,777.8325,2+,
1,92,252.0492,0,17.2623,499,499,2,-1,1,1,777.8325,2+,
1,151,262.0571,0,18.1751,201,201,2,-1,1,1,777.8325,2+,
1,163,262.2065,0,18.6303,2206,2206,2,-1,1,1,777.8325,2+,
1,149,263.0517,0,18.0711,246,246,2,-1,1,1,777.8325,2+,
1,161,263.2094,0,18.5344,314,314,2,-1,1,1,777.8325,2+,
1,98,268.0631,0,17.3136,148,148,2,-1,1,1,777.8325,2+,
1,169,276.9914,0,18.8867,158,158,2,-1,1,1,777.8325,2+,
1,180,280.0289,0,19.9851,379,379,2,-1,1,1,777.8325,2+,
1,179,281.1719,0,19.865,249,249,2,-1,1,1,777.8325,2+,
1,182,282.0265,0,20.1404,155,155,2,-1,1,1,777.8325,2+,
1,113,282.9971,0,17.5561,162,162,2,-1,1,1,777.8325,2+,
1,82,283.9963,0,17.1935,947,947,2,-1,1,1,777.8325,2+,
1,159,288.0175,0,18.4348,376,376,2,-1,1,1,777.8325,2+,
1,168,289.0727,0,18.8571,366,366,2,-1,1,1,777.8325,2+,
1,187,301.0084,0,20.3876,200,200,2,-1,1,1,777.8325,2+,
1,145,306.032,0,18.0051,131,131,2,-1,1,1,777.8325,2+,
1,229,306.2314,0,23.3133,340,340,2,-1,1,1,777.8325,2+,
1,176,307.0855,0,19.4319,10929,10929,2,-1,1,1,777.8325,2+,
1,175,308.0912,0,19.4068,1540,1540,2,-1,1,1,777.8325,2+,
1,174,309.0865,0,19.3995,1610,1610,2,-1,1,1,777.8325,2+,
1,172,310.0908,0,19.2681,197,197,2,-1,1,1,777.8325,2+,
1,177,311.0829,0,19.5994,403,403,2,-1,1,1,777.8325,2+,
1,233,323.1796,0,23.6354,245,245,2,-1,1,1,777.8325,2+,
1,221,323.996,0,22.7989,500,500,2,-1,1,1,777.8325,2+,
1,220,325.9907,0,22.6491,392,392,2,-1,1,1,777.8325,2+,
1,228,328.2003,0,23.2743,180,180,2,-1,1,1,777.8325,2+,
1,178,333.883,0,19.7141,109,109,2,-1,1,1,777.8325,2+,
1,217,334.0223,0,22.4377,203,203,2,-1,1,1,777.8325,2+,
1,293,341.3263,0,29.8323,164,164,2,-1,1,1,777.8325,2+,
1,223,342.012,0,22.8866,360,360,2,-1,1,1,777.8325,2+,
1,212,343.0727,0,21.9825,224,224,2,-1,1,1,777.8325,2+,
1,215,344.0036,0,22.37,274,274,2,-1,1,1,777.8325,2+,
1,205,345.0445,0,21.5629,6103,6103,2,-1,1,1,777.8325,2+,
1,198,346.0464,0,21.4345,1016,1016,2,-1,1,1,777.8325,2+,
1,197,347.0425,0,21.3719,1056,1056,2,-1,1,1,777.8325,2+,
1,208,348.0531,0,21.7583,138,138,2,-1,1,1,777.8325,2+,
1,204,349.0413,0,21.5306,409,409,2,-1,1,1,777.8325,2+,
1,126,351.8909,0,17.7206,1746,1746,2,-1,1,1,777.8325,2+,
1,277,355.114,0,27.7961,144,144,2,-1,1,1,777.8325,2+,
1,190,355.9414,0,20.5339,136,136,2,-1,1,1,777.8325,2+,
1,253,359.9845,0,25.0838,141,141,2,-1,1,1,777.8325,2+,
1,240,361.972,0,24.2037,316,316,2,-1,1,1,777.8325,2+,
1,226,363.0659,0,23.083,185,185,2,-1,1,1,777.8325,2+,
1,314,365.2756,0,31.657303,120,120,2,-1,1,1,777.8325,2+,
1,181,367.9395,0,20.1331,188,188,2,-1,1,1,777.8325,2+,
1,191,368.7995,0,20.5684,332,332,2,-1,1,1,777.8325,2+,
1,128,369.9053,0,17.7311,1045,1045,2,-1,1,1,777.8325,2+,
1,249,370.0185,0,24.6699,120,120,2,-1,1,1,777.8325,2+,
1,183,370.7937,0,20.2161,124,124,2,-1,1,1,777.8325,2+,
1,259,371.1569,0,25.9299,884,884,2,-1,1,1,777.8325,2+,
1,210,371.99,0,21.8335,614,614,2,-1,1,1,777.8325,2+,
1,257,372.1589,0,25.8398,127,127,2,-1,1,1,777.8325,2+,
1,194,377.9985,0,20.9829,746,746,2,-1,1,1,777.8325,2+,
1,337,379.2871,0,33.5449,184,184,2,-1,1,1,777.8325,2+,
1,209,379.9758,0,21.7589,218,218,2,-1,1,1,777.8325,2+,
1,13,381.0262,0,16.3646,297,297,2,-1,1,1,777.8325,2+,
1,262,381.0323,0,26.2785,1833,1833,2,-1,1,1,777.8325,2+,
1,211,381.9625,0,21.9284,147,147,2,-1,1,1,777.8325,2+,
1,16,382.0229,0,16.5078,307,307,2,-1,1,1,777.8325,2+,
1,263,382.0371,0,26.4031,267,267,2,-1,1,1,777.8325,2+,
1,6,383.0232,0,16.1762,184,184,2,-1,1,1,777.8325,2+,
1,265,383.0307,0,26.4793,1045,1045,2,-1,1,1,777.8325,2+,
1,349,383.3344,0,33.8924,172,172,2,-1,1,1,777.8325,2+,
1,266,385.0288,0,26.533,337,337,2,-1,1,1,777.8325,2+,
1,184,385.9529,0,20.2818,128,128,2,-1,1,1,777.8325,2+,
1,189,386.8097,0,20.4849,181,181,2,-1,1,1,777.8325,2+,
1,213,390.0075,0,22.2799,231,231,2,-1,1,1,777.8325,2+,
1,274,397.94,0,27.0818,109,109,2,-1,1,1,777.8325,2+,
1,25,398.4911,0,16.625,171,171,2,-1,1,1,777.8325,2+,
1,272,399.0441,0,26.9933,476,476,2,-1,1,1,777.8325,2+,
1,270,399.9284,0,26.9647,132,132,2,-1,1,1,777.8325,2+,
1,273,401.045,0,27.03,266,266,2,-1,1,1,777.8325,2+,
1,276,401.9255,0,27.5711,109,109,2,-1,1,1,777.8325,2+,
1,203,404.9334,0,21.5061,197,197,2,-1,1,1,777.8325,2+,
1,258,407.9694,0,25.8509,158,158,2,-1,1,1,777.8325,2+,
1,334,409.1136,0,32.7651,338,338,2,-1,1,1,777.8325,2+,
1,244,409.1213,0,24.3373,615,615,2,-1,1,1,777.8325,2+,
1,365,409.312,0,35.2999,1926,1926,2,-1,1,1,777.8325,2+,
1,370,410.3169,0,35.4439,513,513,2,-1,1,1,777.8325,2+,
1,170,410.9417,0,18.8918,302,302,2,-1,1,1,777.8325,2+,
1,173,411.9379,0,19.2816,994,994,2,-1,1,1,777.8325,2+,
1,452,412.3752,0,41.9848,165,165,2,-1,1,1,777.8325,2+,
1,24,412.5299,0,16.5969,221,221,2,-1,1,1,777.8325,2+,
1,246,415.9541,0,24.3829,821,821,2,-1,1,1,777.8325,2+,
1,118,416.2606,0,17.6616,121,121,2,-1,1,1,777.8325,2+,
1,297,417.017,0,30.2759,457,457,2,-1,1,1,777.8325,2+,
1,283,417.0847,0,28.239,515,515,2,-1,1,1,777.8325,2+,
1,239,417.958,0,24.1615,114,114,2,-1,1,1,777.8325,2+,
1,17,418.9936,0,16.5236,130,130,2,-1,1,1,777.8325,2+,
1,294,419.0155,0,29.9112,441,441,2,-1,1,1,777.8325,2+,
1,307,421.0593,0,31.2285,567,567,2,-1,1,1,777.8325,2+,
1,21,422.0602,0,16.576,161,161,2,-1,1,1,777.8325,2+,
1,95,425.7573,0,17.2896,182,182,2,-1,1,1,777.8325,2+,
1,186,425.8329,0,20.3753,160,160,2,-1,1,1,777.8325,2+,
1,231,426.8427,0,23.4588,129,129,2,-1,1,1,777.8325,2+,
1,43,428.0021,0,16.8167,132,132,2,-1,1,1,777.8325,2+,
1,261,428.9561,0,26.1421,265,265,2,-1,1,1,777.8325,2+,
1,33,430.5211,0,16.7063,529,529,2,-1,1,1,777.8325,2+,
1,22,431.0258,0,16.5819,145,145,2,-1,1,1,777.8325,2+,
1,305,431.105,0,31.100601,279,279,2,-1,1,1,777.8325,2+,
1,32,431.5195,0,16.7027,341,341,2,-1,1,1,777.8325,2+,
1,29,432.0333,0,16.6981,156,156,2,-1,1,1,777.8325,2+,
1,248,433.9704,0,24.5987,1316,1316,2,-1,1,1,777.8325,2+,
1,252,435.0384,0,25.0349,342,342,2,-1,1,1,777.8325,2+,
