func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,52,102.9889,0,16.4366,194,194,2,-1,1,1,509.754,2+,
1,8,104.0928,0,16.0668,1945,1945,2,-1,1,1,509.754,2+,
1,11,110.0932,0,16.1296,3779,3779,2,-1,1,1,509.754,2+,
1,2,111.0975,0,15.9522,700,700,2,-1,1,1,509.754,2+,
1,12,112.1112,0,16.1348,174,174,2,-1,1,1,509.754,2+,
1,44,114.9766,0,16.3723,479,479,2,-1,1,1,509.754,2+,
1,4,116.0964,0,16.0212,314,314,2,-1,1,1,509.754,2+,
1,36,116.9736,0,16.3292,489,489,2,-1,1,1,509.754,2+,
1,42,117.012,0,16.3657,765,765,2,-1,1,1,509.754,2+,
1,32,118.9716,0,16.299,595,595,2,-1,1,1,509.754,2+,
1,18,120.1056,0,16.1896,4029,4029,2,-1,1,1,509.754,2+,
1,15,121.1096,0,16.1564,469,469,2,-1,1,1,509.754,2+,
1,13,122.1067,0,16.1464,4600,4600,2,-1,1,1,509.754,2+,
1,10,123.1111,0,16.1072,279,279,2,-1,1,1,509.754,2+,
1,51,125.0178,0,16.4333,171,171,2,-1,1,1,509.754,2+,
1,14,129.1298,0,16.1523,1009,1009,2,-1,1,1,509.754,2+,
1,40,129.9915,0,16.3531,1006,1006,2,-1,1,1,509.754,2+,
1,9,130.0924,0,16.1059,1695,1695,2,-1,1,1,509.754,2+,
1,7,131.0922,0,16.0457,243,243,2,-1,1,1,509.754,2+,
1,65,132.9852,0,16.4886,161,161,2,-1,1,1,509.754,2+,
1,17,134.9894,0,16.1854,180,180,2,-1,1,1,509.754,2+,
1,29,136.1044,0,16.2811,1062,1062,2,-1,1,1,509.754,2+,
1,31,136.9822,0,16.2977,187,187,2,-1,1,1,509.754,2+,
1,19,137.1106,0,16.2125,225,225,2,-1,1,1,509.754,2+,
1,206,141.053,0,17.9579,141,141,2,-1,1,1,509.754,2+,
1,6,141.4902,0,16.0404,429,429,2,-1,1,1,509.754,2+,
1,3,144.1114,0,16.0131,243,243,2,-1,1,1,509.754,2+,
1,80,144.9944,0,16.5339,169,169,2,-1,1,1,509.754,2+,
1,33,147.1438,0,16.2991,340,340,2,-1,1,1,509.754,2+,
1,109,148.0039,0,16.7011,223,223,2,-1,1,1,509.754,2+,
1,5,150.5002,0,16.0351,160,160,2,-1,1,1,509.754,2+,
1,45,152.0356,0,16.3732,686,686,2,-1,1,1,509.754,2+,
1,20,154.1557,0,16.2228,336,336,2,-1,1,1,509.754,2+,
1,79,157.0385,0,16.5265,383,383,2,-1,1,1,509.754,2+,
1,16,158.1254,0,16.1835,579,579,2,-1,1,1,509.754,2+,
1,96,159.0125,0,16.614,469,469,2,-1,1,1,509.754,2+,
1,25,159.1248,0,16.2637,660,660,2,-1,1,1,509.754,2+,
1,71,160.0613,0,16.5027,941,941,2,-1,1,1,509.754,2+,
1,22,160.1301,0,16.2424,159,159,2,-1,1,1,509.754,2+,
1,86,164.0357,0,16.5538,378,378,2,-1,1,1,509.754,2+,
1,137,166.9043,0,16.9455,221,221,2,-1,1,1,509.754,2+,
1,74,168.0319,0,16.5128,259,259,2,-1,1,1,509.754,2+,
1,55,169.1335,0,16.4427,254,254,2,-1,1,1,509.754,2+,
1,72,169.1668,0,16.504,185,185,2,-1,1,1,509.754,2+,
1,75,170.0466,0,16.5172,190,190,2,-1,1,1,509.754,2+,
1,68,171.1865,0,16.4946,242,242,2,-1,1,1,509.754,2+,
1,100,172.0106,0,16.6506,1707,1707,2,-1,1,1,509.754,2+,
1,24,172.1109,0,16.2569,576,576,2,-1,1,1,509.754,2+,
1,56,175.1223,0,16.4465,1510,1510,2,-1,1,1,509.754,2+,
1,34,175.1555,0,16.3097,1704,1704,2,-1,1,1,509.754,2+,
1,21,176.122,0,16.2334,255,255,2,-1,1,1,509.754,2+,
1,61,178.0779,0,16.4799,198,198,2,-1,1,1,509.754,2+,
1,49,179.134,0,16.4185,228,228,2,-1,1,1,509.754,2+,
1,107,182.0521,0,16.6821,160,160,2,-1,1,1,509.754,2+,
1,85,183.1876,0,16.5521,2927,2927,2,-1,1,1,509.754,2+,
1,111,184.0128,0,16.7076,301,301,2,-1,1,1,509.754,2+,
1,128,184.0667,0,16.8373,177,177,2,-1,1,1,509.754,2+,
1,91,184.192,0,16.5955,456,456,2,-1,1,1,509.754,2+,
1,135,186.0302,0,16.9013,1137,1137,2,-1,1,1,509.754,2+,
1,98,188.0074,0,16.6262,223,223,2,-1,1,1,509.754,2+,
1,132,190.0234,0,16.8732,399,399,2,-1,1,1,509.754,2+,
1,88,190.1263,0,16.5744,1532,1532,2,-1,1,1,509.754,2+,
1,63,191.1277,0,16.4824,242,242,2,-1,1,1,509.754,2+,
1,93,193.0072,0,16.6092,420,420,2,-1,1,1,509.754,2+,
1,116,195.0037,0,16.7425,2788,2788,2,-1,1,1,509.754,2+,
1,27,195.1175,0,16.2777,172,172,2,-1,1,1,509.754,2+,
1,99,196.0066,0,16.6438,644,644,2,-1,1,1,509.754,2+,
1,105,197.0005,0,16.6755,2225,2225,2,-1,1,1,509.754,2+,
1,154,198.0323,0,17.2056,1076,1076,2,-1,1,1,509.754,2+,
1,101,200.1142,0,16.6546,179,179,2,-1,1,1,509.754,2+,
