func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,9,115.0218,0,17.4815,168,168,2,-1,1,1,490.2485,2+,
1,1,122.1076,0,16.4741,161,161,2,-1,1,1,490.2485,2+,
1,4,129.1302,0,16.8377,170,170,2,-1,1,1,490.2485,2+,
1,2,130.1137,0,16.6403,458,458,2,-1,1,1,490.2485,2+,
1,17,132.991,0,19.1236,634,634,2,-1,1,1,490.2485,2+,
1,20,134.9884,0,19.5589,549,549,2,-1,1,1,490.2485,2+,
1,6,136.1063,0,17.081,165,165,2,-1,1,1,490.2485,2+,
1,3,147.1444,0,16.8046,264,264,2,-1,1,1,490.2485,2+,
1,18,151.0058,0,19.4156,207,207,2,-1,1,1,490.2485,2+,
1,16,153.0062,0,18.9148,236,236,2,-1,1,1,490.2485,2+,
1,15,157.1686,0,18.4435,142,142,2,-1,1,1,490.2485,2+,
1,7,159.1104,0,17.1543,393,393,2,-1,1,1,490.2485,2+,
1,24,160.0634,0,20.7802,365,365,2,-1,1,1,490.2485,2+,
1,31,166.9037,0,22.0734,1585,1585,2,-1,1,1,490.2485,2+,
1,14,175.1555,0,18.1014,156,156,2,-1,1,1,490.2485,2+,
1,23,178.0793,0,20.4259,216,216,2,-1,1,1,490.2485,2+,
1,27,183.1858,0,21.5154,126,126,2,-1,1,1,490.2485,2+,
1,30,184.9188,0,22.0096,262,262,2,-1,1,1,490.2485,2+,
1,34,185.2096,0,22.3662,225,225,2,-1,1,1,490.2485,2+,
1,12,187.1122,0,17.9873,258,258,2,-1,1,1,490.2485,2+,
1,22,195.9353,0,20.1655,2512,2512,2,-1,1,1,490.2485,2+,
1,26,204.0443,0,21.4004,180,180,2,-1,1,1,490.2485,2+,
1,21,213.9523,0,19.828,1338,1338,2,-1,1,1,490.2485,2+,
1,54,223.9357,0,25.935,2319,2319,2,-1,1,1,490.2485,2+,
1,35,224.1518,0,22.4085,131,131,2,-1,1,1,490.2485,2+,
1,49,224.9434,0,24.0784,132,132,2,-1,1,1,490.2485,2+,
1,52,227.9324,0,25.3506,123,123,2,-1,1,1,490.2485,2+,
1,56,229.168,0,26.1386,472,472,2,-1,1,1,490.2485,2+,
1,19,231.9696,0,19.4917,261,261,2,-1,1,1,490.2485,2+,
1,32,241.942,0,22.1953,5309,5309,2,-1,1,1,490.2485,2+,
1,36,242.9574,0,22.4179,618,618,2,-1,1,1,490.2485,2+,
1,28,243.9524,0,21.7596,199,199,2,-1,1,1,490.2485,2+,
1,29,245.9488,0,21.8085,399,399,2,-1,1,1,490.2485,2+,
1,51,250.0418,0,25.1924,461,461,2,-1,1,1,490.2485,2+,
1,66,252.018,0,30.1446,269,269,2,-1,1,1,490.2485,2+,
1,55,252.038,0,26.0311,151,151,2,-1,1,1,490.2485,2+,
1,40,259.9191,0,23.62,2761,2761,2,-1,1,1,490.2485,2+,
1,25,259.9659,0,21.3098,1606,1606,2,-1,1,1,490.2485,2+,
1,76,260.2567,0,34.1486,448,448,2,-1,1,1,490.2485,2+,
1,41,260.9274,0,23.6391,299,299,2,-1,1,1,490.2485,2+,
1,33,260.9741,0,22.3218,197,197,2,-1,1,1,490.2485,2+,
1,44,261.9151,0,23.725,2960,2960,2,-1,1,1,490.2485,2+,
1,39,263.9197,0,23.4907,293,293,2,-1,1,1,490.2485,2+,
1,75,269.9873,0,34.146,133,133,2,-1,1,1,490.2485,2+,
1,65,270.0374,0,30.1309,148,148,2,-1,1,1,490.2485,2+,
1,42,277.9315,0,23.6524,3233,3233,2,-1,1,1,490.2485,2+,
1,38,278.9411,0,23.4516,361,361,2,-1,1,1,490.2485,2+,
1,43,279.9304,0,23.7197,3241,3241,2,-1,1,1,490.2485,2+,
1,46,280.9409,0,24.0201,145,145,2,-1,1,1,490.2485,2+,
1,45,281.9341,0,23.8247,326,326,2,-1,1,1,490.2485,2+,
1,50,283.9737,0,24.2655,149,149,2,-1,1,1,490.2485,2+,
1,63,286.8593,0,29.007,251,251,2,-1,1,1,490.2485,2+,
1,60,288.0043,0,27.2344,652,652,2,-1,1,1,490.2485,2+,
1,37,295.9255,0,23.4331,227,227,2,-1,1,1,490.2485,2+,
1,48,295.959,0,24.0696,721,721,2,-1,1,1,490.2485,2+,
1,5,297.5345,0,17.0163,211,211,2,-1,1,1,490.2485,2+,
1,47,297.951,0,24.0342,1054,1054,2,-1,1,1,490.2485,2+,
1,83,298.2075,0,38.1374,159,159,2,-1,1,1,490.2485,2+,
1,72,300.1515,0,33.2087,147,147,2,-1,1,1,490.2485,2+,
1,84,300.2219,0,38.6981,282,282,2,-1,1,1,490.2485,2+,
1,62,304.876,0,28.8362,416,416,2,-1,1,1,490.2485,2+,
1,61,306.0205,0,27.6012,789,789,2,-1,1,1,490.2485,2+,
1,68,307.0756,0,31.358002,571,571,2,-1,1,1,490.2485,2+,
1,85,316.2217,0,39.0804,182,182,2,-1,1,1,490.2485,2+,
1,8,316.5163,0,17.2714,137,137,2,-1,1,1,490.2485,2+,
1,64,322.893,0,29.1275,309,309,2,-1,1,1,490.2485,2+,
1,82,323.9838,0,37.9343,148,148,2,-1,1,1,490.2485,2+,
1,13,326.0521,0,18.0951,398,398,2,-1,1,1,490.2485,2+,
1,87,328.2603,0,45.8334,167,167,2,-1,1,1,490.2485,2+,
1,78,334.0143,0,36.222,184,184,2,-1,1,1,490.2485,2+,
1,80,342.0025,0,36.6928,211,211,2,-1,1,1,490.2485,2+,
1,11,345.0283,0,17.9846,446,446,2,-1,1,1,490.2485,2+,
1,77,345.032,0,35.5712,221,221,2,-1,1,1,490.2485,2+,
1,10,346.0245,0,17.9416,155,155,2,-1,1,1,490.2485,2+,
1,86,347.3038,0,45.1735,1103,1103,2,-1,1,1,490.2485,2+,
1,88,348.3038,0,45.8578,171,171,2,-1,1,1,490.2485,2+,
1,57,351.8798,0,26.4036,991,991,2,-1,1,1,490.2485,2+,
1,79,352.0264,0,36.5379,113,113,2,-1,1,1,490.2485,2+,
1,89,369.2529,0,48.4116,167,167,2,-1,1,1,490.2485,2+,
1,58,369.8914,0,26.6764,1717,1717,2,-1,1,1,490.2485,2+,
1,81,379.9634,0,37.0805,210,210,2,-1,1,1,490.2485,2+,
1,53,380.9187,0,25.8206,139,139,2,-1,1,1,490.2485,2+,
1,91,387.2767,0,51.9159,118,118,2,-1,1,1,490.2485,2+,
1,59,387.909,0,27.1996,720,720,2,-1,1,1,490.2485,2+,
1,67,395.3012,0,30.9006,141,141,2,-1,1,1,490.2485,2+,
1,69,404.3028,0,31.7266,156,156,2,-1,1,1,490.2485,2+,
1,70,408.9106,0,32.8447,1485,1485,2,-1,1,1,490.2485,2+,
1,90,409.0929,0,49.1334,140,140,2,-1,1,1,490.2485,2+,
1,73,409.918,0,33.3442,154,154,2,-1,1,1,490.2485,2+,
1,92,415.2758,0,55.9181,583,583,2,-1,1,1,490.2485,2+,
1,71,426.927,0,33.1581,1355,1355,2,-1,1,1,490.2485,2+,
1,74,427.9345,0,33.3601,220,220,2,-1,1,1,490.2485,2+,
1,93,462.3593,0,61.8061,826,826,2,-1,1,1,490.2485,2+,
1,94,463.3622,0,62.5847,221,221,2,-1,1,1,490.2485,2+,
1,96,484.3147,0,66.0442,432,432,2,-1,1,1,490.2485,2+,
1,95,485.3117,0,65.9995,133,133,2,-1,1,1,490.2485,2+,
1,101,487.4777,0,77.4965,125,125,2,-1,1,1,490.2485,2+,
1,103,489.4162,0,81.8288,324,324,2,-1,1,1,490.2485,2+,
1,102,490.4143,0,81.3709,111,111,2,-1,1,1,490.2485,2+,
1,100,496.3653,0,71.8209,563,563,2,-1,1,1,490.2485,2+,
1,99,497.3677,0,70.052,169,169,2,-1,1,1,490.2485,2+,
1,98,502.3317,0,67.9858,588,588,2,-1,1,1,490.2485,2+,
1,97,503.3408,0,66.8373,142,142,2,-1,1,1,490.2485,2+,
1,104,575.4687,0,89.1097,417,417,2,-1,1,1,490.2485,2+,
1,106,597.429,0,89.3022,1094,1094,2,-1,1,1,490.2485,2+,
1,105,598.4421,0,89.1121,350,350,2,-1,1,1,490.2485,2+,
1,107,646.5202,0,102.6378,508,508,2,-1,1,1,490.2485,2+,
1,108,647.5268,0,103.9326,235,235,2,-1,1,1,490.2485,2+,
1,109,710.5409,0,112.3397,365,365,2,-1,1,1,490.2485,2+,
1,110,711.5551,0,117.1854,164,164,2,-1,1,1,490.2485,2+,
1,112,761.564,0,121.0644,1303,1303,2,-1,1,1,490.2485,2+,
1,113,762.5665,0,121.7383,535,535,2,-1,1,1,490.2485,2+,
1,111,763.5873,0,119.8557,188,188,2,-1,1,1,490.2485,2+,
1,114,874.674,0,151.2669,494,494,2,-1,1,1,490.2485,2+,
