func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,33,53.0192,0,23.6446,579,579,2,-1,1,1,486.23,2+,
1,26,53.0435,0,23.541,320,320,2,-1,1,1,486.23,2+,
1,37,54.0153,0,23.7564,258,258,2,-1,1,1,486.23,2+,
1,18,54.0394,0,23.392,703,703,2,-1,1,1,486.23,2+,
1,1,55.0234,0,23.119,1661,1661,2,-1,1,1,486.23,2+,
1,15,55.0601,0,23.366,4196,4196,2,-1,1,1,486.23,2+,
1,21,56.0549,0,23.4168,498,498,2,-1,1,1,486.23,2+,
1,81,56.9705,0,27.7153,116,116,2,-1,1,1,486.23,2+,
1,9,59.0549,0,23.3211,4253,4253,2,-1,1,1,486.23,2+,
1,5,67.0607,0,23.251,1365,1365,2,-1,1,1,486.23,2+,
1,85,67.975,0,28.5768,286,286,2,-1,1,1,486.23,2+,
1,44,68.0201,0,23.87,171,171,2,-1,1,1,486.23,2+,
1,19,68.0558,0,23.3936,465,465,2,-1,1,1,486.23,2+,
1,2,69.0406,0,23.1426,228,228,2,-1,1,1,486.23,2+,
1,22,69.0757,0,23.4313,15321,15321,2,-1,1,1,486.23,2+,
1,11,70.0787,0,23.3369,893,893,2,-1,1,1,486.23,2+,
1,40,72.0871,0,23.805,456,456,2,-1,1,1,486.23,2+,
1,30,74.1024,0,23.587,163,163,2,-1,1,1,486.23,2+,
1,13,77.0461,0,23.3567,495,495,2,-1,1,1,486.23,2+,
1,7,79.0605,0,23.3084,1842,1842,2,-1,1,1,486.23,2+,
1,14,80.058,0,23.3594,2784,2784,2,-1,1,1,486.23,2+,
1,16,81.0764,0,23.3818,842,842,2,-1,1,1,486.23,2+,
1,29,82.0716,0,23.5543,1033,1033,2,-1,1,1,486.23,2+,
1,34,83.055,0,23.6574,313,313,2,-1,1,1,486.23,2+,
1,47,84.0511,0,23.9958,1356,1356,2,-1,1,1,486.23,2+,
1,36,84.0867,0,23.7554,473,473,2,-1,1,1,486.23,2+,
1,23,86.0658,0,23.5046,132,132,2,-1,1,1,486.23,2+,
1,56,86.1032,0,24.6309,675,675,2,-1,1,1,486.23,2+,
1,46,89.0668,0,23.9859,535,535,2,-1,1,1,486.23,2+,
1,6,91.0609,0,23.2512,1004,1004,2,-1,1,1,486.23,2+,
1,20,93.077,0,23.4139,1020,1020,2,-1,1,1,486.23,2+,
1,24,94.0721,0,23.5124,711,711,2,-1,1,1,486.23,2+,
1,12,95.057,0,23.338,332,332,2,-1,1,1,486.23,2+,
1,42,95.0929,0,23.818,960,960,2,-1,1,1,486.23,2+,
1,54,96.0885,0,24.4408,1656,1656,2,-1,1,1,486.23,2+,
1,39,97.0728,0,23.7715,1134,1134,2,-1,1,1,486.23,2+,
1,41,98.1068,0,23.8092,154,154,2,-1,1,1,486.23,2+,
1,35,101.0667,0,23.7088,452,452,2,-1,1,1,486.23,2+,
1,45,102.0626,0,23.9071,966,966,2,-1,1,1,486.23,2+,
1,31,103.0622,0,23.6001,1213,1213,2,-1,1,1,486.23,2+,
1,32,105.0511,0,23.6354,739,739,2,-1,1,1,486.23,2+,
1,38,105.0776,0,23.7696,646,646,2,-1,1,1,486.23,2+,
1,27,106.081,0,23.5414,148,148,2,-1,1,1,486.23,2+,
1,53,107.0818,0,24.3855,150,150,2,-1,1,1,486.23,2+,
1,58,110.1044,0,24.7494,22163,22163,2,-1,1,1,486.23,2+,
1,48,111.0529,0,24.0473,718,718,2,-1,1,1,486.23,2+,
1,59,111.1076,0,24.8033,1915,1915,2,-1,1,1,486.23,2+,
1,66,112.1212,0,25.0425,516,516,2,-1,1,1,486.23,2+,
1,28,113.0654,0,23.5521,177,177,2,-1,1,1,486.23,2+,
1,63,113.1256,0,24.9635,155,155,2,-1,1,1,486.23,2+,
1,65,114.1002,0,24.9844,3289,3289,2,-1,1,1,486.23,2+,
1,43,115.0614,0,23.8623,227,227,2,-1,1,1,486.23,2+,
1,69,115.1018,0,25.2626,236,236,2,-1,1,1,486.23,2+,
1,8,117.0435,0,23.3203,232,232,2,-1,1,1,486.23,2+,
1,50,117.0783,0,24.1389,317,317,2,-1,1,1,486.23,2+,
1,67,118.1318,0,25.0546,201,201,2,-1,1,1,486.23,2+,
1,55,119.094,0,24.4565,4579,4579,2,-1,1,1,486.23,2+,
1,70,120.0918,0,25.2646,1616,1616,2,-1,1,1,486.23,2+,
1,68,122.1048,0,25.1949,26498,26498,2,-1,1,1,486.23,2+,
1,64,123.1098,0,24.9813,2751,2751,2,-1,1,1,486.23,2+,
1,62,124.085,0,24.9159,170,170,2,-1,1,1,486.23,2+,
1,171,398.2117,0,103.1384,984,984,2,-1,1,1,486.23,2+,
1,45,102.0626,0,23.9071,966,966,2,-1,1,1,486.23,2+,
1,42,95.0929,0,23.818,960,960,2,-1,1,1,486.23,2+,
1,11,70.0787,0,23.3369,893,893,2,-1,1,1,486.23,2+,
1,131,234.1525,0,57.2892,887,887,2,-1,1,1,486.23,2+,
1,146,268.1863,0,69.7446,865,865,2,-1,1,1,486.23,2+,
1,60,130.0865,0,24.8584,853,853,2,-1,1,1,486.23,2+,
1,16,81.0764,0,23.3818,842,842,2,-1,1,1,486.23,2+,
1,114,218.1265,0,45.5827,833,833,2,-1,1,1,486.23,2+,
1,106,192.103,0,36.5078,830,830,2,-1,1,1,486.23,2+,
1,74,141.0211,0,26.2195,781,781,2,-1,1,1,486.23,2+,
1,32,105.0511,0,23.6354,739,739,2,-1,1,1,486.23,2+,
1,48,111.0529,0,24.0473,718,718,2,-1,1,1,486.23,2+,
1,24,94.0721,0,23.5124,711,711,2,-1,1,1,486.23,2+,
1,18,54.0394,0,23.392,703,703,2,-1,1,1,486.23,2+,
1,79,139.1044,0,27.4264,701,701,2,-1,1,1,486.23,2+,
1,94,183.0501,0,30.1505,693,693,2,-1,1,1,486.23,2+,
1,56,86.1032,0,24.6309,675,675,2,-1,1,1,486.23,2+,
1,25,205.1014,0,23.5178,667,667,2,-1,1,1,486.23,2+,
1,38,105.0776,0,23.7696,646,646,2,-1,1,1,486.23,2+,
1,4,183.0867,0,23.2476,606,606,2,-1,1,1,486.23,2+,
1,76,143.0361,0,26.3734,604,604,2,-1,1,1,486.23,2+,
1,179,410.2154,0,109.6642,599,599,2,-1,1,1,486.23,2+,
1,33,53.0192,0,23.6446,579,579,2,-1,1,1,486.23,2+,
1,159,342.1753,0,88.287,563,563,2,-1,1,1,486.23,2+,
1,97,162.0873,0,32.4414,560,560,2,-1,1,1,486.23,2+,
1,115,217.0921,0,45.9034,537,537,2,-1,1,1,486.23,2+,
1,46,89.0668,0,23.9859,535,535,2,-1,1,1,486.23,2+,
1,87,155.0813,0,28.6748,522,522,2,-1,1,1,486.23,2+,
1,66,112.1212,0,25.0425,516,516,2,-1,1,1,486.23,2+,
1,88,177.0215,0,28.7889,509,509,2,-1,1,1,486.23,2+,
1,118,216.1373,0,46.3097,509,509,2,-1,1,1,486.23,2+,
1,21,56.0549,0,23.4168,498,498,2,-1,1,1,486.23,2+,
1,13,77.0461,0,23.3567,495,495,2,-1,1,1,486.23,2+,
1,36,84.0867,0,23.7554,473,473,2,-1,1,1,486.23,2+,
1,137,262.1163,0,63.171906,467,467,2,-1,1,1,486.23,2+,
1,19,68.0558,0,23.3936,465,465,2,-1,1,1,486.23,2+,
1,204,490.3756,0,146.7275,465,465,2,-1,1,1,486.23,2+,
1,162,401.1361,0,91.1234,463,463,2,-1,1,1,486.23,2+,
1,40,72.0871,0,23.805,456,456,2,-1,1,1,486.23,2+,
1,35,101.0667,0,23.7088,452,452,2,-1,1,1,486.23,2+,
1,93,156.1119,0,30.1449,423,423,2,-1,1,1,486.23,2+,
1,144,286.123,0,68.1779,407,407,2,-1,1,1,486.23,2+,
1,167,342.1707,0,94.6016,404,404,2,-1,1,1,486.23,2+,
1,89,159.0337,0,29.4979,399,399,2,-1,1,1,486.23,2+,
1,120,227.0772,0,47.5509,375,375,2,-1,1,1,486.23,2+,
1,80,140.1156,0,27.6187,372,372,2,-1,1,1,486.23,2+,
1,77,148.0921,0,26.8908,372,372,2,-1,1,1,486.23,2+,
1,163,357.154,0,91.383,367,367,2,-1,1,1,486.23,2+,
1,169,357.1618,0,96.6473,337,337,2,-1,1,1,486.23,2+,
1,75,133.1115,0,26.2219,335,335,2,-1,1,1,486.23,2+,
1,12,95.057,0,23.338,332,332,2,-1,1,1,486.23,2+,
1,17,161.0745,0,23.3904,328,328,2,-1,1,1,486.23,2+,
1,26,53.0435,0,23.541,320,320,2,-1,1,1,486.23,2+,
1,50,117.0783,0,24.1389,317,317,2,-1,1,1,486.23,2+,
1,34,83.055,0,23.6574,313,313,2,-1,1,1,486.23,2+,
1,187,375.6335,0,111.8512,306,306,2,-1,1,1,486.23,2+,
1,156,323.1585,0,81.0738,300,300,2,-1,1,1,486.23,2+,
1,102,172.1247,0,34.5813,297,297,2,-1,1,1,486.23,2+,
1,85,67.975,0,28.5768,286,286,2,-1,1,1,486.23,2+,
1,173,399.2172,0,105.0369,283,283,2,-1,1,1,486.23,2+,
1,142,252.1613,0,67.7501,277,277,2,-1,1,1,486.23,2+,
1,51,227.1144,0,24.2536,270,270,2,-1,1,1,486.23,2+,
1,95,157.1108,0,30.2899,267,267,2,-1,1,1,486.23,2+,
1,129,277.1128,0,56.8127,267,267,2,-1,1,1,486.23,2+,
1,72,142.0904,0,25.6661,266,266,2,-1,1,1,486.23,2+,
1,150,270.2032,0,72.5118,266,266,2,-1,1,1,486.23,2+,
1,3,139.0593,0,23.2264,264,264,2,-1,1,1,486.23,2+,
1,178,375.4575,0,109.2418,261,261,2,-1,1,1,486.23,2+,
1,90,168.1029,0,29.6479,259,259,2,-1,1,1,486.23,2+,
1,37,54.0153,0,23.7564,258,258,2,-1,1,1,486.23,2+,
1,121,233.0872,0,49.4948,256,256,2,-1,1,1,486.23,2+,
1,202,490.3742,0,139.4105,248,248,2,-1,1,1,486.23,2+,
1,52,129.0786,0,24.2817,240,240,2,-1,1,1,486.23,2+,
1,133,241.1951,0,59.0204,240,240,2,-1,1,1,486.23,2+,
1,69,115.1018,0,25.2626,236,236,2,-1,1,1,486.23,2+,
1,8,117.0435,0,23.3203,232,232,2,-1,1,1,486.23,2+,
1,2,69.0406,0,23.1426,228,228,2,-1,1,1,486.23,2+,
