func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,10,101.0939,0,16.2986,493,493,2,-1,1,1,506.7775,2+,
1,9,101.1296,0,16.2867,352,352,2,-1,1,1,506.7775,2+,
1,2,102.0773,0,16.1969,188,188,2,-1,1,1,506.7775,2+,
1,3,104.0934,0,16.221,1318,1318,2,-1,1,1,506.7775,2+,
1,7,110.0937,0,16.2803,12226,12226,2,-1,1,1,506.7775,2+,
1,5,111.0983,0,16.2266,1083,1083,2,-1,1,1,506.7775,2+,
1,21,112.1076,0,16.479,231,231,2,-1,1,1,506.7775,2+,
1,79,113.0169,0,18.083,171,171,2,-1,1,1,506.7775,2+,
1,4,113.0961,0,16.221,207,207,2,-1,1,1,506.7775,2+,
1,8,114.0801,0,16.2856,346,346,2,-1,1,1,506.7775,2+,
1,93,114.9775,0,18.5381,5680,5680,2,-1,1,1,506.7775,2+,
1,18,115.1119,0,16.4646,188,188,2,-1,1,1,506.7775,2+,
1,96,115.9815,0,18.5629,429,429,2,-1,1,1,506.7775,2+,
1,73,116.0276,0,17.9249,195,195,2,-1,1,1,506.7775,2+,
1,20,116.0956,0,16.4688,193,193,2,-1,1,1,506.7775,2+,
1,95,116.9747,0,18.5619,805,805,2,-1,1,1,506.7775,2+,
1,81,117.0124,0,18.2201,964,964,2,-1,1,1,506.7775,2+,
1,87,118.9726,0,18.405,345,345,2,-1,1,1,506.7775,2+,
1,6,119.0765,0,16.2325,529,529,2,-1,1,1,506.7775,2+,
1,24,120.1068,0,16.5298,3616,3616,2,-1,1,1,506.7775,2+,
1,29,121.1113,0,16.6527,384,384,2,-1,1,1,506.7775,2+,
1,13,122.1075,0,16.3645,3357,3357,2,-1,1,1,506.7775,2+,
1,12,123.1097,0,16.3223,197,197,2,-1,1,1,506.7775,2+,
1,15,124.0652,0,16.381,193,193,2,-1,1,1,506.7775,2+,
1,16,124.1042,0,16.4124,391,391,2,-1,1,1,506.7775,2+,
1,17,127.0779,0,16.4313,586,586,2,-1,1,1,506.7775,2+,
1,23,127.1152,0,16.5157,161,161,2,-1,1,1,506.7775,2+,
1,119,128.9958,0,19.5234,649,649,2,-1,1,1,506.7775,2+,
1,31,129.1299,0,16.6696,5014,5014,2,-1,1,1,506.7775,2+,
1,115,129.9913,0,19.2908,731,731,2,-1,1,1,506.7775,2+,
1,26,130.1142,0,16.6162,4459,4459,2,-1,1,1,506.7775,2+,
1,113,130.9926,0,19.2565,159,159,2,-1,1,1,506.7775,2+,
1,11,131.0992,0,16.3084,331,331,2,-1,1,1,506.7775,2+,
