func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,16,56.0502,0,16.2655,184,184,2,-1,1,1,761.905,2+,
1,27,69.0704,0,16.453,169,169,2,-1,1,1,761.905,2+,
1,13,70.0649,0,16.2021,6014,6014,2,-1,1,1,761.905,2+,
1,6,71.0693,0,16.114,299,299,2,-1,1,1,761.905,2+,
1,14,72.0808,0,16.2057,853,853,2,-1,1,1,761.905,2+,
1,9,84.0442,0,16.1575,769,769,2,-1,1,1,761.905,2+,
1,11,84.0807,0,16.1627,930,930,2,-1,1,1,761.905,2+,
1,41,84.9604,0,16.6421,1274,1274,2,-1,1,1,761.905,2+,
1,17,86.096,0,16.2667,2376,2376,2,-1,1,1,761.905,2+,
1,1,91.0544,0,16.0273,388,388,2,-1,1,1,761.905,2+,
1,5,98.0591,0,16.0972,302,302,2,-1,1,1,761.905,2+,
1,28,98.9867,0,16.4672,1332,1332,2,-1,1,1,761.905,2+,
1,2,101.0711,0,16.043,200,200,2,-1,1,1,761.905,2+,
1,19,102.0543,0,16.3217,264,264,2,-1,1,1,761.905,2+,
1,3,119.0495,0,16.0919,326,326,2,-1,1,1,761.905,2+,
1,8,120.0808,0,16.1369,242,242,2,-1,1,1,761.905,2+,
1,15,128.1066,0,16.2254,257,257,2,-1,1,1,761.905,2+,
1,10,129.0651,0,16.1581,215,215,2,-1,1,1,761.905,2+,
1,7,129.1028,0,16.1293,890,890,2,-1,1,1,761.905,2+,
1,12,130.0857,0,16.1844,276,276,2,-1,1,1,761.905,2+,
1,45,134.9625,0,16.76,728,728,2,-1,1,1,761.905,2+,
1,25,136.0753,0,16.3636,4658,4658,2,-1,1,1,761.905,2+,
1,36,136.9596,0,16.5833,232,232,2,-1,1,1,761.905,2+,
1,20,137.0785,0,16.3281,456,456,2,-1,1,1,761.905,2+,
