func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
2,629,635.29065,23.26023,49.3,61195,635.29065,3.4,-1,1,-1,777.8330475,2+,
2,630,673.32587,23.27006,91.4,19079,673.32587,6.3,-1,1,-1,777.8330475,2+,
2,631,355.17508,23.27053,31.099998,21664,355.17508,2.17,-1,1,-1,777.8330475,2+,
2,632,476.46945,23.27334,41.4,209972,476.46945,2.86,-1,1,-1,777.8330475,2+,
2,633,476.72205,23.27466,41.3,121795,476.72205,2.86,-1,1,-1,777.8330475,2+,
2,634,476.9721,23.27596,41.4,42859,476.9721,2.86,-1,1,-1,777.8330475,2+,
2,635,430.20828,23.27667,38.2,25858,430.20828,2.65,-1,1,-1,777.8330475,2+,
2,636,448.21014,23.2783,40.7,134246,448.21014,2.79,-1,1,-1,777.8330475,2+,
2,637,634.9584,23.28139,49.2,97562,634.9584,3.4,-1,1,-1,777.8330475,2+,
2,638,447.83548,23.28283,40.7,19828,447.83548,2.79,-1,1,-1,777.8330475,2+,
2,639,473.75354,23.28335,42.9,77571,473.75354,2.93,-1,1,-1,777.8330475,2+,
2,640,372.2396,23.2859,50.8,24453,372.2396,3.48,-1,1,-1,777.8330475,2+,
2,641,559.28186,23.28611,77.8,23120,559.28186,5.33,-1,1,-1,777.8330475,2+,
2,642,732.3476,23.28699,99.9,65574,732.3476,6.85,-1,1,-1,777.8330475,2+,
2,643,438.6935,23.28713,39.2,39894,438.6935,2.72,-1,1,-1,777.8330475,2+,
2,644,335.13162,23.28825,45.8,18230,335.13162,3.13,-1,1,-1,777.8330475,2+,
2,645,447.33292,23.28923,40.7,48043,447.33292,2.79,-1,1,-1,777.8330475,2+,
2,646,447.70905,23.28996,40.7,602616,447.70905,2.79,-1,1,-1,777.8330475,2+,
2,647,472.8806,23.29,42.8,32127,472.8806,2.93,-1,1,-1,777.8330475,2+,
2,648,447.20734,23.29118,40.7,1260769,447.20734,2.79,-1,1,-1,777.8330475,2+,
2,649,448.7108,23.29367,41,27015,448.7108,2.86,-1,1,-1,777.8330475,2+,
2,650,472.7526,23.29404,42.9,724804,472.7526,2.93,-1,1,-1,777.8330475,2+,
2,651,730.34485,23.29519,96.4,37100,730.34485,6.64,-1,1,-1,777.8330475,2+,
2,652,474.25653,23.29583,43.1,24592,474.25653,3,-1,1,-1,777.8330475,2+,
2,653,473.2532,23.29708,42.9,324646,473.2532,2.93,-1,1,-1,777.8330475,2+,
2,654,470.30518,23.29722,68.1,76858,470.30518,4.72,-1,1,-1,777.8330475,2+,
2,655,471.30804,23.29824,67.9,23760,471.30804,4.65,-1,1,-1,777.8330475,2+,
2,656,136.0753,23.2984,23.1,20313,136.0753,1.64,-1,1,-1,777.8330475,2+,
2,657,464.7402,23.29842,43.2,25047,464.7402,3,-1,1,-1,777.8330475,2+,
2,658,371.23724,23.29957,51.1,116011,371.23724,3.55,-1,1,-1,777.8330475,2+,
2,659,361.70453,23.30057,37.5,20424,361.70453,2.58,-1,1,-1,777.8330475,2+,
2,660,490.2514,23.35846,44.3,13332,490.2514,3.06,-1,1,-1,777.8330475,2+,
2,661,509.25095,23.35849,50.4,26012,509.25095,3.48,-1,1,-1,777.8330475,2+,
2,662,622.8317,23.36813,55,24247,622.8317,3.81,-1,1,-1,777.8330475,2+,
2,663,509.75443,23.36896,50.5,19832,509.75443,3.48,-1,1,-1,777.8330475,2+,
2,664,244.16295,23.3726,36.9,21090,244.16295,2.52,-1,1,-1,777.8330475,2+,
2,665,509.50204,23.37557,50.5,23114,509.50204,3.48,-1,1,-1,777.8330475,2+,
2,666,515.26,23.38304,71.8,18336,515.26,4.93,-1,1,-1,777.8330475,2+,
2,667,631.3628,23.39413,91.5,30421,631.3628,6.3,-1,1,-1,777.8330475,2+,
2,668,380.2134,23.39785,37.2,106882,380.2134,2.58,-1,1,-1,777.8330475,2+,
2,669,630.35785,23.40475,91.8,71810,630.35785,6.3,-1,1,-1,777.8330475,2+,
2,670,379.7121,23.4177,37.5,210913,379.7121,2.58,-1,1,-1,777.8330475,2+,
2,671,315.68262,23.43003,34.5,35452,315.68262,2.38,-1,1,-1,777.8330475,2+,
2,672,380.7143,23.43547,36.5,25007,380.7143,2.51,-1,1,-1,777.8330475,2+,
2,673,351.2025,23.43995,36.4,19250,351.2025,2.51,-1,1,-1,777.8330475,2+,
