func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
2,408,458.74222,21.69065,85.9,11852,458.74222,5.89,-1,1,-1,395.242403,2+,
2,409,459.00403,21.69182,42.7,65904,459.00403,2.93,-1,1,-1,395.242403,2+,
2,410,459.50043,21.69194,42.8,23670,459.50043,2.93,-1,1,-1,395.242403,2+,
2,411,459.3707,21.69724,42.8,56373,459.3707,2.93,-1,1,-1,395.242403,2+,
2,412,458.869,21.70398,42.8,119773,458.869,2.93,-1,1,-1,395.242403,2+,
2,413,489.27267,21.70437,67.7,22086,489.27267,4.65,-1,1,-1,395.242403,2+,
2,414,200.13805,21.70508,31.2,108607,200.13805,2.18,-1,1,-1,395.242403,2+,
2,415,485.70108,21.70905,41.2,31720,485.70108,2.86,-1,1,-1,395.242403,2+,
2,416,459.24484,21.71305,42.9,984036,459.24484,2.93,-1,1,-1,395.242403,2+,
2,417,474.73825,21.71316,43.4,26285,474.73825,3,-1,1,-1,395.242403,2+,
2,418,450.7302,21.71517,44.1,28070,450.7302,3.06,-1,1,-1,395.242403,2+,
2,419,689.3501,21.71589,90.8,283625,689.3501,6.23,-1,1,-1,395.242403,2+,
2,420,465.73145,21.71617,42.4,20712,465.73145,2.93,-1,1,-1,395.242403,2+,
2,421,458.73993,21.71646,70.8,20407,458.73993,4.86,-1,1,-1,395.242403,2+,
2,422,619.315,21.7165,80.4,27128,619.315,5.54,-1,1,-1,395.242403,2+,
2,423,485.19785,21.71676,41,19195,485.19785,2.86,-1,1,-1,395.242403,2+,
2,424,299.1693,21.71793,42.8,25938,299.1693,2.94,-1,1,-1,395.242403,2+,
2,425,459.7443,21.71815,42.9,315198,459.7443,2.93,-1,1,-1,395.242403,2+,
2,426,449.73587,21.71832,43.7,18931,449.73587,3,-1,1,-1,395.242403,2+,
2,427,690.3511,21.72049,90.9,83857,690.3511,6.23,-1,1,-1,395.242403,2+,
2,428,618.3149,21.72086,80.5,74955,618.3149,5.54,-1,1,-1,395.242403,2+,
2,429,458.74448,21.72402,42.9,1866925,458.74448,2.93,-1,1,-1,395.242403,2+,
2,430,812.418,21.72529,114.7,33484,812.418,7.87,-1,1,-1,395.242403,2+,
2,431,460.24475,21.72705,42.9,58071,460.24475,2.93,-1,1,-1,395.242403,2+,
2,432,401.72147,21.72755,37.6,42682,401.72147,2.58,-1,1,-1,395.242403,2+,
2,433,450.22897,21.72833,43.9,92601,450.22897,3,-1,1,-1,395.242403,2+,
2,434,691.35406,21.73343,91,21491,691.35406,6.3,-1,1,-1,395.242403,2+,
2,435,571.23865,21.80878,51,19065,571.23865,3.54,-1,1,-1,395.242403,2+,
2,436,355.06583,21.81143,43.6,92890,355.06583,3,-1,1,-1,395.242403,2+,
2,437,570.24066,21.81617,50.7,55293,570.24066,3.47,-1,1,-1,395.242403,2+,
2,438,876.42163,21.818,113.7,19647,876.42163,7.81,-1,1,-1,395.242403,2+,
2,439,514.28253,21.82176,69.9,39754,514.28253,4.79,-1,1,-1,395.242403,2+,
2,440,570.7417,21.83272,50.8,45351,570.7417,3.47,-1,1,-1,395.242403,2+,
2,441,638.2704,21.84452,81.8,32523,638.2704,5.61,-1,1,-1,395.242403,2+,
2,442,641.27026,21.84615,57.2,37012,641.27026,3.95,-1,1,-1,395.242403,2+,
2,443,639.9176,21.86061,57,28680,639.9176,3.95,-1,1,-1,395.242403,2+,
2,444,639.7682,21.87087,57,758551,639.7682,3.95,-1,1,-1,395.242403,2+,
2,445,640.2698,21.87453,57.2,469623,640.2698,3.95,-1,1,-1,395.242403,2+,
2,446,445.15387,21.88516,35.7,11358,445.15387,2.44,-1,1,-1,395.242403,2+,
2,447,640.7702,21.88539,57.1,157656,640.7702,3.95,-1,1,-1,395.242403,2+,
2,448,483.2728,21.89091,45.3,55022,483.2728,3.13,-1,1,-1,395.242403,2+,
2,449,483.77356,21.89247,45.6,29022,483.77356,3.13,-1,1,-1,395.242403,2+,
2,450,603.29083,21.89559,84,14476,603.29083,5.81,-1,1,-1,395.242403,2+,
2,451,482.77216,21.89794,45.4,94181,482.77216,3.13,-1,1,-1,395.242403,2+,
2,452,519.9133,21.97051,43.6,23375,519.9133,3,-1,1,-1,395.242403,2+,
2,453,470.31192,22.00326,69.1,25937,470.31192,4.79,-1,1,-1,395.242403,2+,
2,454,201.12108,22.00688,30.9,22666,201.12108,2.11,-1,1,-1,395.242403,2+,
2,455,448.27472,22.00869,42.5,55639,448.27472,2.93,-1,1,-1,395.242403,2+,
2,456,333.2173,22.011,36.2,211561,333.2173,2.51,-1,1,-1,395.242403,2+,
2,457,445.1159,22.01118,55.9,105380,445.1159,3.82,-1,1,-1,395.242403,2+,
2,458,447.7731,22.01141,42.6,193154,447.7731,2.93,-1,1,-1,395.242403,2+,
