func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,86.105,0.0,28.9778,15876,6.6151,1.85,-1.0,1,-1.0
1,2,147.131,0.0,34.5314,18144,6.05821,2.23,-1.0,1,-1.0
1,4,199.1337,0.0,42.4268,4567,6.32101,2.74,-1.0,1,-1.0
1,3,209.1202,0.0,42.2531,6007,6.93075,2.74,-1.0,1,-1.0
1,5,227.133,0.0,44.4873,4236,6.37356,2.87,-1.0,1,-1.0
1,6,260.2289,0.0,58.4878,15123,6.66241,3.77,-1.0,1,-1.0
1,11,294.2188,0.0,64.109,14294,7.27899,4.16,-1.0,1,-1.0
1,12,322.22,0.0,66.5126,3023,4.64418,4.27,-1.0,1,-1.0
1,19,340.2304,0.0,67.4582,10293,6.86141,4.34,-1.0,1,-1.0
1,20,381.2636,0.0,70.2974,6805,6.97043,4.53,-1.0,1,-1.0
1,23,391.2449,0.0,71.196,22498,6.76325,4.6,-1.0,1,-1.0
1,42,391.2911,0.0,77.9846,11616,6.51421,4.98,-1.0,1,-1.0
1,22,392.2544,0.0,71.1119,5372,6.45048,4.6,-1.0,1,-1.0
1,28,409.2567,0.0,73.1262,27404,7.28087,4.72,-1.0,1,-1.0
1,27,410.2686,0.0,72.8461,3567,4.27227,4.66,-1.0,1,-1.0
1,39,427.2757,0.0,76.2613,4484,5.0314,4.92,-1.0,1,-1.0
1,7,460.8048,0.0,60.7337,2522,4.89981,3.89,-1.0,1,-1.0
1,68,462.3338,0.0,85.8622,19436,7.92467,5.5,-1.0,1,-1.0
1,69,463.3436,0.0,85.8629,5483,7.8495,5.5,-1.0,1,-1.0
1,71,480.3498,0.0,86.6854,14462,7.53705,5.56,-1.0,1,-1.0
1,70,481.3556,0.0,86.3847,4127,7.63207,5.56,-1.0,1,-1.0
1,63,490.3177,0.0,84.2912,62887,8.18398,5.43,-1.0,1,-1.0
1,66,491.3351,0.0,85.0672,26433,7.97319,5.5,-1.0,1,-1.0
1,62,492.3488,0.0,83.8282,2751,4.86648,5.37,-1.0,1,-1.0
1,72,492.353,0.0,86.8021,1851,4.15197,5.56,-1.0,1,-1.0
1,10,504.3214,0.0,62.0664,15299,5.03738,4.02,-1.0,1,-1.0
1,9,504.8265,0.0,61.9835,9498,4.82327,3.95,-1.0,1,-1.0
1,8,505.3295,0.0,61.8083,3570,4.81647,3.95,-1.0,1,-1.0
1,73,508.3433,0.0,88.507,35283,8.18898,5.69,-1.0,1,-1.0
1,74,509.3544,0.0,88.7977,13616,8.3616,5.69,-1.0,1,-1.0
1,76,519.3658,0.0,95.6964,15707,7.83411,6.14,-1.0,1,-1.0
1,75,520.373,0.0,95.4715,4593,7.513,6.14,-1.0,1,-1.0
1,77,526.3594,0.0,96.1358,10539,8.53195,6.2,-1.0,1,-1.0
1,15,560.8667,0.0,67.0656,21027,5.21567,4.34,-1.0,1,-1.0
1,16,561.3742,0.0,67.1409,14817,5.14555,4.34,-1.0,1,-1.0
1,17,561.8811,0.0,67.3374,6249,4.76563,4.34,-1.0,1,-1.0
1,78,577.3797,0.0,96.5323,3024,4.91291,6.2,-1.0,1,-1.0
1,80,595.3874,0.0,98.4873,24363,8.24459,6.33,-1.0,1,-1.0
1,79,596.3978,0.0,97.0934,8758,7.98186,6.27,-1.0,1,-1.0
1,29,609.4053,0.0,73.3903,13252,5.6522,4.72,-1.0,1,-1.0
1,30,609.9099,0.0,73.4357,8080,5.65993,4.72,-1.0,1,-1.0
1,32,610.4168,0.0,73.6556,3227,5.63154,4.72,-1.0,1,-1.0
1,81,613.4006,0.0,100.6957,3306,5.23539,6.46,-1.0,1,-1.0
1,36,646.9207,0.0,75.7554,4996,6.75888,4.84,-1.0,1,-1.0
1,37,647.4225,0.0,76.0209,3072,5.04388,4.91,-1.0,1,-1.0
1,83,647.4353,0.0,107.3778,13755,8.10108,6.9,-1.0,1,-1.0
1,84,648.4428,0.0,108.2216,5064,8.3244,6.96,-1.0,1,-1.0
1,14,654.0279,0.0,66.8864,2100,4.84662,4.26,-1.0,1,-1.0
1,13,654.3607,0.0,66.693,2186,4.65865,4.26,-1.0,1,-1.0
1,43,655.9255,0.0,78.0789,12984,7.51598,5.04,-1.0,1,-1.0
