func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,31,563.4384,0.0,88.4452,2275,4.01418,5.69,-1.0,1,-1.0
1,10,607.9435,0.0,67.9969,7558,4.70571,4.34,-1.0,1,-1.0
1,9,608.4478,0.0,67.9439,6179,4.68484,4.34,-1.0,1,-1.0
1,11,608.953,0.0,68.205,2362,4.64743,4.4,-1.0,1,-1.0
1,30,620.3864,0.0,88.184,4638,4.26848,5.68,-1.0,1,-1.0
1,12,638.9375,0.0,69.3106,2667,4.9163,4.46,-1.0,1,-1.0
1,5,647.1347,0.0,65.5392,1613,3.63022,4.2,-1.0,1,-1.0
1,37,662.5214,0.0,99.3227,5352,7.11661,6.39,-1.0,1,-1.0
1,15,686.956,0.0,71.6056,3922,5.63524,4.59,-1.0,1,-1.0
1,16,687.464,0.0,71.9105,2984,6.08916,4.59,-1.0,1,-1.0
1,8,695.7797,0.0,66.6153,3248,7.64443,4.26,-1.0,1,-1.0
1,20,736.4966,0.0,74.4445,7811,5.82646,4.78,-1.0,1,-1.0
1,21,736.9992,0.0,74.9854,5817,5.89042,4.78,-1.0,1,-1.0
1,19,737.4907,0.0,74.2159,5395,5.70585,4.78,-1.0,1,-1.0
1,18,752.1295,0.0,73.9837,22593,4.93586,4.71,-1.0,1,-1.0
1,6,752.1431,0.0,65.6228,7467,4.40033,4.2,-1.0,1,-1.0
1,4,752.4405,0.0,64.0713,7066,3.86566,4.14,-1.0,1,-1.0
1,7,752.4653,0.0,66.4802,3601,2.79732,4.26,-1.0,1,-1.0
1,23,752.4654,0.0,76.0273,16073,5.27032,4.91,-1.0,1,-1.0
1,3,752.7491,0.0,63.4852,10645,3.7182,4.07,-1.0,1,-1.0
1,14,752.7634,0.0,70.5349,16479,6.79502,4.52,-1.0,1,-1.0
1,24,752.8054,0.0,76.5513,13466,5.06382,4.91,-1.0,1,-1.0
1,1,753.0839,0.0,62.8384,11112,4.30007,4.01,-1.0,1,-1.0
1,13,753.0996,0.0,70.3808,6068,4.7365,4.52,-1.0,1,-1.0
1,22,753.1445,0.0,75.9629,10415,5.09894,4.84,-1.0,1,-1.0
1,2,753.4336,0.0,63.282898,1991,3.54257,4.07,-1.0,1,-1.0
1,17,753.5691,0.0,73.604,2589,3.3041,4.71,-1.0,1,-1.0
1,40,761.6001,0.0,107.8374,2598,4.5172,6.9,-1.0,1,-1.0
1,38,783.4688,0.0,105.4974,13814,7.54836,6.77,-1.0,1,-1.0
1,39,784.4718,0.0,106.4058,5006,7.60877,6.83,-1.0,1,-1.0
1,27,818.0409,0.0,81.1134,3472,5.8669,5.23,-1.0,1,-1.0
1,26,818.545,0.0,80.9755,3032,5.73302,5.16,-1.0,1,-1.0
1,25,819.0443,0.0,80.9695,2500,5.68502,5.16,-1.0,1,-1.0
1,41,832.6462,0.0,115.6762,6199,7.47668,7.41,-1.0,1,-1.0
1,29,843.5974,0.0,87.9682,6254,5.10803,5.61,-1.0,1,-1.0
1,28,844.1019,0.0,87.8085,4692,5.16393,5.61,-1.0,1,-1.0
1,42,882.556,0.0,119.2453,4692,7.64804,7.67,-1.0,1,-1.0
1,33,901.1217,0.0,90.9675,4328,5.05051,5.81,-1.0,1,-1.0
1,32,901.6241,0.0,90.8766,3630,4.88824,5.81,-1.0,1,-1.0
1,34,965.1609,0.0,93.2039,2390,5.27184,6.0,-1.0,1,-1.0
1,35,1014.7015,0.0,96.741,3350,5.44585,6.19,-1.0,1,-1.0
1,36,1015.1986,0.0,97.0312,3343,5.3834,6.26,-1.0,1,-1.0
1,43,1039.5918,0.0,124.857,2980,5.59645,7.98,-1.0,1,-1.0
