func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,207.1609,0.0,50.0034,1305,3.4331,3.26,-1.0,1,-1.0
1,2,235.1648,0.0,53.6104,3510,5.53269,3.45,-1.0,1,-1.0
1,3,306.2171,0.0,65.9589,3345,5.89826,4.22,-1.0,1,-1.0
1,6,362.2852,0.0,67.9864,3943,5.5491,4.34,-1.0,1,-1.0
1,8,435.2841,0.0,75.6567,4487,5.98877,4.85,-1.0,1,-1.0
1,5,517.8886,0.0,66.7822,3269,4.41467,4.27,-1.0,1,-1.0
1,4,518.3927,0.0,66.7041,2397,4.57386,4.27,-1.0,1,-1.0
1,13,548.4026,0.0,88.0493,6727,6.38942,5.69,-1.0,1,-1.0
1,7,574.4469,0.0,71.9244,1608,4.54993,4.6,-1.0,1,-1.0
1,9,674.5077,0.0,77.4811,3085,4.34612,4.97,-1.0,1,-1.0
1,10,675.0099,0.0,77.5854,2845,4.44709,4.97,-1.0,1,-1.0
1,18,685.4862,0.0,101.0378,11760,7.10812,6.51,-1.0,1,-1.0
1,17,686.4949,0.0,100.9893,5589,7.02477,6.45,-1.0,1,-1.0
1,11,710.0337,0.0,82.2669,2973,5.30887,5.29,-1.0,1,-1.0
1,12,710.5383,0.0,82.3167,2814,4.76488,5.29,-1.0,1,-1.0
1,19,784.5835,0.0,109.6697,4962,6.99301,7.03,-1.0,1,-1.0
1,16,791.5768,0.0,88.5464,9244,5.07402,5.68,-1.0,1,-1.0
1,14,792.0741,0.0,88.2368,10041,5.38985,5.68,-1.0,1,-1.0
1,15,792.5842,0.0,88.5194,5965,5.35963,5.68,-1.0,1,-1.0
1,20,798.5885,0.0,113.1013,4306,7.67525,7.28,-1.0,1,-1.0
1,21,897.6882,0.0,119.4502,8353,8.05377,7.67,-1.0,1,-1.0
1,22,898.6944,0.0,119.853,4969,7.92985,7.67,-1.0,1,-1.0
1,23,1034.7766,0.0,130.4411,8288,8.14505,8.37,-1.0,1,-1.0
1,24,1035.7793,0.0,130.8228,5624,8.10884,8.37,-1.0,1,-1.0
