func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,7,70.0736,0.0,16.6173,263,263.0
1,9,72.0905,0.0,16.6485,1099,1099.0
1,1,73.0379,0.0,16.1042,171,171.0
1,3,84.0904,0.0,16.4023,635,635.0
1,11,86.1073,0.0,16.8392,2421,2421.0
1,2,87.057,0.0,16.2601,257,257.0
1,10,87.1116,0.0,16.7323,162,162.0
1,8,89.0701,0.0,16.6428,804,804.0
1,5,104.0829,0.0,16.4357,472,472.0
1,4,110.0848,0.0,16.4198,902,902.0
1,16,120.0959,0.0,17.358,883,883.0
1,6,121.0811,0.0,16.4866,268,268.0
1,13,122.0961,0.0,16.9008,4463,4463.0
1,14,123.0994,0.0,16.9016,254,254.0
1,18,129.1176,0.0,17.5465,2238,2238.0
1,15,130.1046,0.0,17.0869,352,352.0
1,12,133.1025,0.0,16.893,707,707.0
1,21,136.092,0.0,18.1769,6145,6145.0
1,20,137.0959,0.0,17.9456,553,553.0
1,30,143.1357,0.0,20.1976,2469,2469.0
1,17,144.0832,0.0,17.5164,232,232.0
1,33,144.1403,0.0,20.3389,254,254.0
1,19,146.0792,0.0,17.5927,158,158.0
1,22,147.1323,0.0,18.3794,704,704.0
1,28,155.1354,0.0,20.0447,144,144.0
1,37,157.1533,0.0,21.1058,166,166.0
1,23,158.1141,0.0,18.7843,199,199.0
1,36,159.0396,0.0,21.0708,237,237.0
1,27,159.1095,0.0,19.889,414,414.0
1,44,160.0466,0.0,22.9253,116,116.0
1,35,160.1165,0.0,20.6753,150,150.0
1,24,165.1118,0.0,18.7979,201,201.0
1,32,169.1193,0.0,20.3314,349,349.0
1,39,169.1554,0.0,21.5406,148,148.0
1,31,171.135,0.0,20.2369,567,567.0
1,34,173.1467,0.0,20.3535,128,128.0
1,29,175.1401,0.0,20.0809,1523,1523.0
1,25,177.1314,0.0,18.9046,196,196.0
1,26,178.0732,0.0,19.3504,343,343.0
1,45,180.0565,0.0,23.8079,228,228.0
1,42,183.1344,0.0,22.3703,192,192.0
1,41,185.1505,0.0,22.0382,135,135.0
1,43,191.1413,0.0,22.4069,178,178.0
1,54,197.1893,0.0,26.5515,164,164.0
1,46,201.1516,0.0,24.0454,228,228.0
1,47,209.1334,0.0,24.3413,306,306.0
1,40,210.0519,0.0,21.9358,133,133.0
1,66,213.0057,0.0,29.5791,177,177.0
1,50,214.9442,0.0,25.7118,197,197.0
1,51,219.139,0.0,25.8065,150,150.0
1,57,228.1603,0.0,28.0782,181,181.0
1,55,229.1496,0.0,26.9728,203,203.0
1,67,231.0199,0.0,29.6042,305,305.0
1,49,231.1258,0.0,25.6232,120,120.0
1,52,232.9593,0.0,25.8725,167,167.0
1,60,233.1224,0.0,29.0744,131,131.0
1,56,239.1448,0.0,27.945,270,270.0
1,62,240.1633,0.0,29.2791,1092,1092.0
1,61,241.1687,0.0,29.1385,162,162.0
1,73,242.1802,0.0,31.1251,317,317.0
1,94,242.2175,0.0,34.3305,241,241.0
1,63,244.1229,0.0,29.3729,155,155.0
1,118,247.2364,0.0,39.1074,465,465.0
1,59,249.0331,0.0,29.0551,126,126.0
1,58,250.0162,0.0,28.2444,390,390.0
1,77,251.1328,0.0,31.4234,5652,5652.0
1,79,252.1367,0.0,31.6917,1031,1031.0
1,76,253.142,0.0,31.375801,133,133.0
1,69,255.1375,0.0,30.2573,173,173.0
1,38,256.6622,0.0,21.5148,125,125.0
1,96,258.1767,0.0,34.6932,263,263.0
1,81,262.1697,0.0,31.904999,298,298.0
1,75,263.1779,0.0,31.2164,162,162.0
1,70,264.0154,0.0,30.2607,113,113.0
1,107,271.2127,0.0,36.6658,175,175.0
1,98,272.1935,0.0,35.0039,157,157.0
1,82,273.0463,0.0,32.9814,414,414.0
1,95,274.0547,0.0,34.6034,826,826.0
1,110,274.223,0.0,37.4537,242,242.0
1,102,275.2432,0.0,35.5941,547,547.0
1,103,276.2469,0.0,35.6271,116,116.0
1,89,279.1328,0.0,33.9628,1050,1050.0
1,86,280.1342,0.0,33.4214,188,188.0
1,93,281.1357,0.0,34.1116,306,306.0
1,105,283.1805,0.0,36.5646,691,691.0
1,106,284.1819,0.0,36.5958,157,157.0
1,104,285.1904,0.0,36.0707,160,160.0
1,100,286.1793,0.0,35.3992,118,118.0
1,53,286.9731,0.0,26.4953,110,110.0
1,64,287.9781,0.0,29.4273,244,244.0
1,90,290.022,0.0,34.0079,188,188.0
1,74,291.084,0.0,31.1572,155,155.0
1,153,291.2681,0.0,45.1571,597,597.0
1,88,292.0706,0.0,33.9169,205,205.0
1,48,292.201,0.0,25.5576,224,224.0
1,168,296.237,0.0,47.0837,188,188.0
1,80,297.1132,0.0,31.889801,151,151.0
1,117,297.1969,0.0,38.9966,128,128.0
1,122,299.2105,0.0,39.4285,434,434.0
1,92,300.9504,0.0,34.1077,252,252.0
1,65,305.9871,0.0,29.5427,440,440.0
1,85,307.0462,0.0,33.2686,1624,1624.0
1,84,308.0468,0.0,33.1905,291,291.0
1,83,309.0448,0.0,33.1878,231,231.0
1,119,310.2131,0.0,39.1566,973,973.0
1,124,311.1786,0.0,39.6883,406,406.0
1,204,311.3392,0.0,55.246,116,116.0
1,121,312.19,0.0,39.4199,202,202.0
1,97,318.9665,0.0,34.9202,191,191.0
1,149,322.2284,0.0,44.0111,144,144.0
1,78,323.0225,0.0,31.4431,184,184.0
1,143,327.175,0.0,43.3152,122,122.0
1,131,332.0131,0.0,40.9183,134,134.0
1,148,334.1851,0.0,43.9802,117,117.0
1,114,335.0623,0.0,38.8411,597,597.0
1,113,337.0647,0.0,38.3966,115,115.0
1,111,342.9847,0.0,38.283,190,190.0
1,146,343.1993,0.0,43.8528,197,197.0
1,188,343.278,0.0,51.6959,248,248.0
1,160,344.2295,0.0,46.4473,126,126.0
1,109,344.9965,0.0,37.1702,206,206.0
1,112,345.9997,0.0,38.3195,151,151.0
1,136,347.996,0.0,41.8168,158,158.0
1,87,348.7525,0.0,33.902,258,258.0
1,123,353.0765,0.0,39.6225,262,262.0
1,171,353.262,0.0,48.6108,142,142.0
1,145,357.2242,0.0,43.8396,117,117.0
1,138,358.0205,0.0,42.1672,365,365.0
1,120,361.0011,0.0,39.3823,115,115.0
1,125,364.0039,0.0,39.8216,220,220.0
1,128,365.0127,0.0,40.1584,111,111.0
1,150,366.0,0.0,44.0795,335,335.0
1,185,370.2922,0.0,51.3723,455,455.0
1,140,371.0428,0.0,42.6132,152,152.0
1,184,371.2754,0.0,51.3511,412,412.0
1,180,372.2847,0.0,50.8017,102,102.0
1,177,375.2831,0.0,50.2549,526,526.0
1,142,376.0337,0.0,43.0212,310,310.0
1,189,382.2236,0.0,51.8075,191,191.0
1,99,384.2733,0.0,35.22,383,383.0
1,101,384.7714,0.0,35.4106,145,145.0
1,152,384.9706,0.0,44.9692,119,119.0
1,135,386.9601,0.0,41.7904,169,169.0
1,161,387.0453,0.0,46.5896,361,361.0
1,151,388.0324,0.0,44.1946,116,116.0
1,206,388.3391,0.0,55.6932,396,396.0
1,194,393.276,0.0,52.7597,190,190.0
1,179,397.1903,0.0,50.354,110,110.0
1,198,398.2975,0.0,53.4453,114,114.0
1,213,401.3347,0.0,57.9861,160,160.0
1,158,401.9804,0.0,46.0833,153,153.0
1,205,402.2969,0.0,55.4789,245,245.0
1,156,405.0605,0.0,45.8181,170,170.0
1,195,408.2453,0.0,52.9247,171,171.0
1,130,409.0628,0.0,40.8316,535,535.0
1,163,410.9861,0.0,46.8371,162,162.0
