func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,7,61.0509,0.0,16.6227,325,325.0
1,459,714.5031,0.0,62.2295,6811,6811.0
1,63,223.1916,0.0,30.166,6466,6466.0
1,105,251.1918,0.0,34.4592,6132,6132.0
1,6,110.0896,0.0,16.5446,5983,5983.0
1,29,195.0286,0.0,24.3203,3471,3471.0
1,461,715.008,0.0,62.2925,3298,3298.0
1,502,1176.8325,0.0,153.9036,2835,2835.0
1,338,361.2593,0.0,49.5184,2490,2490.0
1,353,379.2723,0.0,50.8133,2325,2325.0
1,503,1177.838,0.0,154.8563,2111,2111.0
1,382,594.9188,0.0,53.3152,2091,2091.0
1,494,935.6554,0.0,125.4416,1834,1834.0
1,423,695.428,0.0,56.6496,1776,1776.0
1,488,822.5462,0.0,108.2318,1703,1703.0
1,404,609.927,0.0,55.1669,1589,1589.0
1,446,698.4702,0.0,60.3072,1502,1502.0
1,15,175.1482,0.0,20.0217,1440,1440.0
1,497,1048.7563,0.0,141.6637,1426,1426.0
1,415,666.9289,0.0,55.8158,1375,1375.0
1,383,595.4207,0.0,53.3549,1323,1323.0
1,471,492.3789,0.0,72.1918,1301,1301.0
1,10,86.1113,0.0,16.888,1288,1288.0
1,458,715.5133,0.0,62.2178,1260,1260.0
1,341,719.4756,0.0,49.6152,1241,1241.0
1,108,252.1967,0.0,34.6111,1221,1221.0
1,27,197.0266,0.0,24.1149,1212,1212.0
1,434,697.4266,0.0,57.5479,1111,1111.0
1,403,610.4283,0.0,55.0617,1100,1100.0
1,449,698.9719,0.0,60.7141,1079,1079.0
1,302,565.3282,0.0,46.748,1057,1057.0
1,424,695.9336,0.0,56.6726,1055,1055.0
1,451,705.498,0.0,60.887,1035,1035.0
1,417,694.3825,0.0,55.9477,979,979.0
1,495,936.6511,0.0,125.4658,937,937.0
1,490,823.5519,0.0,109.2353,920,920.0
1,64,224.1962,0.0,30.263,919,919.0
1,25,205.0611,0.0,23.5573,902,902.0
1,9,122.1025,0.0,16.877,893,893.0
1,316,611.331,0.0,47.8164,889,889.0
1,498,1049.7548,0.0,142.197,883,883.0
1,440,717.4551,0.0,58.5347,882,882.0
1,55,255.0705,0.0,29.5035,858,858.0
1,268,680.7738,0.0,44.6155,835,835.0
1,340,474.9303,0.0,49.6061,788,788.0
1,176,497.7578,0.0,37.9526,757,757.0
1,473,530.3921,0.0,73.1751,756,756.0
1,250,574.8092,0.0,43.6571,752,752.0
1,507,1289.9395,0.0,179.0998,739,739.0
1,335,362.2587,0.0,49.3118,738,738.0
1,505,1178.8368,0.0,155.4863,734,734.0
1,443,717.9466,0.0,58.6803,726,726.0
1,263,680.4358,0.0,44.4127,702,702.0
1,481,659.4596,0.0,84.5052,697,697.0
1,337,546.3505,0.0,49.3504,695,695.0
1,453,705.0005,0.0,60.9839,681,681.0
1,1,110.0469,0.0,16.2296,652,652.0
1,82,242.1913,0.0,31.778297,652,652.0
1,18,159.047,0.0,21.0186,635,635.0
1,411,686.4211,0.0,55.4066,622,622.0
1,436,697.927,0.0,57.9391,616,616.0
1,407,694.8846,0.0,55.2584,613,613.0
1,260,432.9009,0.0,44.3258,608,608.0
1,295,565.8233,0.0,45.9719,606,606.0
1,454,705.997,0.0,61.0936,593,593.0
1,289,584.3048,0.0,45.4345,581,581.0
1,506,1290.9417,0.0,176.263,567,567.0
1,426,696.4509,0.0,56.8179,562,562.0
1,416,675.4093,0.0,55.8701,552,552.0
1,271,588.3202,0.0,44.7842,546,546.0
1,188,460.2719,0.0,38.7929,540,540.0
1,350,380.2746,0.0,50.5535,531,531.0
1,168,575.0096,0.0,37.5727,520,520.0
1,418,669.8498,0.0,55.9855,519,519.0
1,362,355.2943,0.0,51.9602,517,517.0
1,233,565.7876,0.0,42.4192,516,516.0
1,98,307.063,0.0,33.4664,514,514.0
1,318,611.8326,0.0,48.156,497,497.0
1,331,627.3279,0.0,49.0993,497,497.0
1,253,575.3186,0.0,43.7659,489,489.0
1,385,595.9235,0.0,53.4087,470,470.0
1,73,274.9962,0.0,31.113098,469,469.0
1,167,574.6789,0.0,37.5439,469,469.0
1,147,473.2508,0.0,36.5819,464,464.0
1,272,681.1067,0.0,44.7842,463,463.0
1,333,546.85,0.0,49.1551,460,460.0
1,315,677.109,0.0,47.7968,460,460.0
1,391,417.29,0.0,53.5944,456,456.0
1,3,111.0925,0.0,16.4501,443,443.0
1,13,136.0992,0.0,18.3481,438,438.0
1,134,600.9831,0.0,35.8497,433,433.0
1,452,699.4743,0.0,60.956,431,431.0
1,171,498.2597,0.0,37.6668,426,426.0
1,207,513.8103,0.0,40.932,421,421.0
1,140,587.3271,0.0,36.1639,417,417.0
1,137,601.308,0.0,36.09,416,416.0
1,50,403.7049,0.0,29.1735,415,415.0
1,152,487.7676,0.0,36.725,415,415.0
1,192,506.288,0.0,39.4805,412,412.0
1,178,303.2268,0.0,37.9986,410,410.0
1,470,493.3786,0.0,71.8412,409,409.0
1,23,178.1654,0.0,22.5017,407,407.0
1,307,616.3056,0.0,47.1191,405,405.0
1,482,605.4783,0.0,85.1905,403,403.0
1,400,610.9315,0.0,54.8937,401,401.0
1,53,257.0672,0.0,29.2971,399,399.0
1,365,647.3684,0.0,52.1061,398,398.0
1,412,686.9254,0.0,55.4926,395,395.0
1,297,566.3276,0.0,46.314,389,389.0
1,8,72.0943,0.0,16.6491,381,381.0
1,16,145.0163,0.0,20.6501,379,379.0
1,421,675.9101,0.0,56.2202,379,379.0
1,246,516.8419,0.0,43.1178,378,378.0
1,346,592.35,0.0,50.0449,376,376.0
1,292,552.848,0.0,45.8068,371,371.0
1,330,627.8236,0.0,48.8768,368,368.0
1,158,454.7537,0.0,36.8005,366,366.0
1,148,587.6646,0.0,36.5859,365,365.0
1,327,676.7754,0.0,48.6714,364,364.0
1,445,718.9431,0.0,59.4723,363,363.0
1,221,528.3081,0.0,41.8082,361,361.0
1,45,286.9803,0.0,27.675,359,359.0
1,77,529.9573,0.0,31.2905,359,359.0
1,370,400.2614,0.0,52.3734,357,357.0
1,466,464.3736,0.0,67.5553,349,349.0
1,500,1159.8116,0.0,149.0048,346,346.0
1,220,566.2853,0.0,41.8023,344,344.0
1,225,538.269,0.0,42.0972,342,342.0
1,314,677.4383,0.0,47.7822,342,342.0
1,12,129.1247,0.0,17.5248,340,340.0
1,160,473.7513,0.0,36.8719,339,339.0
1,93,273.0615,0.0,32.667,337,337.0
1,266,588.8143,0.0,44.5941,332,332.0
1,457,716.0088,0.0,62.1766,332,332.0
1,106,485.2341,0.0,34.5078,330,330.0
1,429,688.4138,0.0,57.1177,330,330.0
1,493,937.6554,0.0,124.6247,330,330.0
1,7,61.0509,0.0,16.6227,325,325.0
1,287,584.8034,0.0,45.3983,324,324.0
1,39,214.1946,0.0,26.7661,321,321.0
1,460,716.4948,0.0,62.2665,316,316.0
1,345,592.8496,0.0,49.8765,315,315.0
1,249,578.3473,0.0,43.3251,313,313.0
1,419,670.3565,0.0,56.1173,313,313.0
1,2,70.0774,0.0,16.4129,309,309.0
1,492,869.6021,0.0,124.3371,303,303.0
1,14,143.1411,0.0,18.8375,302,302.0
1,373,634.4121,0.0,52.6091,302,302.0
1,191,506.7969,0.0,39.4243,301,301.0
1,398,685.9093,0.0,54.5811,299,299.0
1,441,676.4547,0.0,58.6428,298,298.0
1,463,473.2262,0.0,62.6365,297,297.0
1,431,718.4661,0.0,57.261,290,290.0
1,185,460.7659,0.0,38.603,289,289.0
1,501,1160.8236,0.0,149.6646,289,289.0
1,186,454.2767,0.0,38.6089,287,287.0
1,227,546.8093,0.0,42.1217,285,285.0
1,212,569.8194,0.0,41.1282,285,285.0
1,354,631.3799,0.0,50.8954,283,283.0
1,280,552.3303,0.0,45.1628,281,281.0
1,194,532.7864,0.0,39.7596,280,280.0
1,364,647.8717,0.0,52.0005,276,276.0
1,496,1050.7662,0.0,139.4854,274,274.0
1,90,560.9648,0.0,32.4879,273,273.0
1,439,696.9748,0.0,58.2894,271,271.0
1,254,573.7856,0.0,43.7671,267,267.0
1,153,619.9893,0.0,36.7325,265,265.0
1,142,496.2706,0.0,36.2321,264,264.0
1,301,616.8069,0.0,46.7194,264,264.0
1,450,706.4956,0.0,60.7455,263,263.0
1,75,530.2891,0.0,31.154701,260,260.0
1,30,201.1575,0.0,24.4585,259,259.0
1,104,432.7388,0.0,34.3045,257,257.0
1,61,515.3085,0.0,30.0029,256,256.0
1,57,519.9329,0.0,29.7683,254,254.0
1,122,601.6392,0.0,35.3193,253,253.0
1,181,477.798,0.0,38.1564,251,251.0
1,62,519.6061,0.0,30.144,251,251.0
1,319,612.337,0.0,48.201,251,251.0
1,32,213.043,0.0,24.5333,249,249.0
1,136,588.0012,0.0,36.0626,249,249.0
1,174,325.0098,0.0,37.9252,247,247.0
1,468,475.2346,0.0,68.8977,246,246.0
1,348,638.3315,0.0,50.1269,246,246.0
1,361,634.9209,0.0,51.866,245,245.0
1,438,716.8167,0.0,58.1108,244,244.0
1,472,564.3618,0.0,72.8559,242,242.0
1,275,607.799,0.0,44.8975,242,242.0
1,413,667.4063,0.0,55.5359,242,242.0
1,58,255.1507,0.0,29.8957,241,241.0
1,262,555.8407,0.0,44.3511,241,241.0
1,11,133.1073,0.0,17.0678,240,240.0
1,273,607.305,0.0,44.798,239,239.0
