func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,2,51.0309,0.0,15.753799,2054,1011.0
1,98,51.9492,0.0,15.993,2608,1299.0
1,11,53.0466,0.0,15.846901,3110,1534.0
1,3,55.0264,0.0,15.7866,2939,1404.0
1,8,55.0628,0.0,15.8363,15863,8058.0
1,4,55.9442,0.0,15.794899,20228,9911.0
1,15,56.0574,0.0,15.8622,5751,2767.0
1,155,56.9515,0.0,16.0784,9206,4582.0
1,192,56.9739,0.0,16.1389,18206,9147.0
1,78,57.0783,0.0,15.968201,4147,1973.0
1,169,57.9449,0.0,16.1,5202,2569.0
1,6,58.0375,0.0,15.808701,14264,7036.0
1,224,58.9697,0.0,16.2167,2950,1454.0
1,10,59.0456,0.0,15.8391,41793,20394.0
1,149,59.9407,0.0,16.0719,2452,1191.0
1,62,60.9957,0.0,15.9433,4579,2208.0
1,35,61.048,0.0,15.896999,17506,8650.0
1,172,62.9401,0.0,16.1058,5390,2607.0
1,153,64.938,0.0,16.0765,2635,1227.0
1,5,65.0466,0.0,15.8069,11091,5244.0
1,9,67.0634,0.0,15.836399,16757,7960.0
1,194,67.9452,0.0,16.1513,3957,1946.0
1,230,68.9917,0.0,16.228,3605,1771.0
1,7,69.044,0.0,15.828499,7409,3504.0
1,28,69.0777,0.0,15.8869,9899,4627.0
1,44,70.0741,0.0,15.910801,18964,9217.0
1,108,70.9522,0.0,16.0081,2613,1191.0
1,65,70.9686,0.0,15.9463005,2726,1263.0
1,12,71.0582,0.0,15.850399,2301,1059.0
1,61,72.0897,0.0,15.9433,17179,8461.0
1,86,72.9471,0.0,15.9765,36051,17255.0
1,16,73.0371,0.0,15.8633,2693,1074.0
1,47,73.0562,0.0,15.917599,18545,8676.0
1,49,74.0689,0.0,15.9209,3027,1361.0
1,46,74.1062,0.0,15.916401,2193,1039.0
1,14,74.963,0.0,15.852501,2549,1185.0
1,48,75.0354,0.0,15.9198,2947,1361.0
1,13,77.0482,0.0,15.8515,30657,14590.0
1,24,78.0525,0.0,15.8806,2635,1196.0
1,39,79.0065,0.0,15.9051,6160,2859.0
1,18,79.0634,0.0,15.8678,15784,7530.0
1,19,80.0604,0.0,15.873501,12353,5663.0
1,102,80.9556,0.0,15.996799,3025,1395.0
1,42,80.9831,0.0,15.9077,12863,6256.0
1,30,81.0797,0.0,15.8894005,21692,10200.0
1,125,82.0238,0.0,16.04,3193,1455.0
1,17,82.0755,0.0,15.8668,4952,2274.0
1,225,83.0314,0.0,16.217,23398,11017.0
1,33,83.0588,0.0,15.894699,6390,2953.0
1,82,83.0953,0.0,15.974499,3094,1428.0
1,22,84.0547,0.0,15.879501,6632,3050.0
1,45,84.0902,0.0,15.9154,13723,6603.0
1,168,84.9701,0.0,16.0949,29663,14384.0
1,58,85.9548,0.0,15.9394,8354,3904.0
1,60,86.0703,0.0,15.9431,3452,1576.0
1,139,86.1058,0.0,16.0545,21849,10290.0
1,193,87.0033,0.0,16.1421,4372,2089.0
1,43,87.054,0.0,15.907799,4506,2018.0
1,77,88.0873,0.0,15.9666,5131,2385.0
1,81,88.963,0.0,15.9732,6239,2883.0
1,96,89.0699,0.0,15.9911995,4335,1992.0
1,97,89.9508,0.0,15.991699,14592,6845.0
1,93,90.9591,0.0,15.987499,57882,28208.0
1,27,91.0641,0.0,15.8852005,39878,19183.0
1,36,92.0691,0.0,15.898201,4588,2071.0
1,73,92.9607,0.0,15.9648,5740,2610.0
1,54,93.0436,0.0,15.9314995,3713,1683.0
1,52,93.0801,0.0,15.924801,15503,7479.0
1,25,94.0767,0.0,15.8815,4091,1840.0
1,56,94.955,0.0,15.936501,2464,1148.0
1,51,95.0598,0.0,15.9235,22148,10410.0
1,69,95.096,0.0,15.963501,19147,9062.0
1,94,96.0966,0.0,15.99,2318,1034.0
1,107,96.948,0.0,16.003,4465,2051.0
1,32,96.9725,0.0,15.8913,3433,1547.0
1,72,97.0754,0.0,15.9646,8064,3727.0
1,38,97.9799,0.0,15.904701,6475,2978.0
1,31,98.0713,0.0,15.889999,6715,3115.0
1,89,98.9952,0.0,15.980999,100645,48569.0
1,146,99.9486,0.0,16.0662,3366,1526.0
1,40,100.1825,0.0,15.906101,17786,8713.0
1,20,100.2955,0.0,15.873901,2903,1378.0
1,23,100.3275,0.0,15.880299,15118,7439.0
1,21,100.3594,0.0,15.8741,17977,8399.0
1,59,100.5136,0.0,15.939899,2464,1096.0
1,26,100.7307,0.0,15.8846,3143,1434.0
1,191,100.9557,0.0,16.1388,21569,10372.0
1,84,101.0907,0.0,15.975201,32408,15144.0
1,37,101.2207,0.0,15.9041,2430,1103.0
1,79,102.0662,0.0,15.9722,3284,1493.0
1,122,102.14,0.0,16.0361,2833,1323.0
1,83,102.9586,0.0,15.974899,5466,2505.0
1,55,103.0673,0.0,15.936501,6543,3009.0
1,34,103.9691,0.0,15.896599,4825,2227.0
1,92,105.056,0.0,15.986401,20118,9306.0
1,76,105.0813,0.0,15.9657,14781,7035.0
1,50,106.0791,0.0,15.9219,4911,2211.0
1,57,107.0609,0.0,15.937599,5270,2437.0
1,111,107.0975,0.0,16.0159,14210,6751.0
1,53,107.9637,0.0,15.929401,4290,1975.0
1,75,108.0568,0.0,15.965401,9654,4470.0
1,91,108.0965,0.0,15.9834,2560,1160.0
1,124,108.9728,0.0,16.0389,3379,1539.0
1,74,109.0766,0.0,15.964901,10406,4753.0
1,121,109.1128,0.0,16.0328,14705,7128.0
1,67,110.0817,0.0,15.957199,9709,4402.0
1,71,111.0565,0.0,15.964401,4886,2243.0
1,66,111.0915,0.0,15.954399,5845,2653.0
1,80,113.9772,0.0,15.972599,14743,6979.0
1,117,114.104,0.0,16.0278,11107,5158.0
1,110,114.9629,0.0,16.0117,7146,3170.0
1,64,115.0657,0.0,15.9447,3892,1786.0
1,161,115.0989,0.0,16.0859,2765,1225.0
1,85,115.9789,0.0,15.976299,5042,2267.0
1,145,116.0823,0.0,16.0631,5472,2498.0
1,208,116.9451,0.0,16.17,2408,1092.0
1,63,116.9833,0.0,15.944,7790,3517.0
1,88,117.0832,0.0,15.9809,8861,4082.0
1,116,117.948,0.0,16.0275,6639,3035.0
1,103,118.0808,0.0,15.999599,3525,1580.0
1,129,118.9556,0.0,16.0461,15915,7539.0
1,99,119.0617,0.0,15.995701,7293,3364.0
1,120,119.0975,0.0,16.0327,12735,5921.0
1,70,119.964,0.0,15.963501,2263,1035.0
1,188,120.0924,0.0,16.1358,23963,11207.0
1,68,121.0421,0.0,15.957199,26995,12496.0
1,137,121.1136,0.0,16.0518,7709,3411.0
1,29,121.9805,0.0,15.8892,4721,2173.0
1,90,122.0453,0.0,15.982601,2630,1177.0
1,238,122.0942,0.0,16.2609,4326,1969.0
1,123,123.0929,0.0,16.0363,6070,2791.0
1,165,123.1298,0.0,16.0917,6419,2978.0
1,41,123.9786,0.0,15.907,2521,1150.0
1,130,124.981,0.0,16.0471,2507,1104.0
1,150,125.0734,0.0,16.0719,3302,1496.0
1,158,125.1103,0.0,16.0803,4091,1884.0
1,95,126.9841,0.0,15.990601,4244,1872.0
1,246,127.0212,0.0,16.2803,2398,1110.0
1,136,127.0883,0.0,16.0518,3010,1362.0
1,106,128.0751,0.0,16.0024,3201,1423.0
1,167,128.9528,0.0,16.094,3366,1546.0
1,128,129.0809,0.0,16.0432,7457,3306.0
1,178,129.1145,0.0,16.1168,6491,2962.0
1,115,130.0773,0.0,16.0266,7391,3271.0
1,133,131.0988,0.0,16.0485,9706,4482.0
1,157,132.0944,0.0,16.0801,4423,1984.0
1,131,132.9786,0.0,16.0478,6135,2712.0
1,101,133.0277,0.0,15.9965,3385,1501.0
1,127,133.0766,0.0,16.0431,7041,3162.0
1,154,133.1152,0.0,16.0774,10635,4867.0
1,232,134.956,0.0,16.2339,15517,7533.0
1,109,135.0565,0.0,16.0112,7380,3394.0
1,132,135.0952,0.0,16.0478,4883,2224.0
1,163,135.1295,0.0,16.0902,7097,3301.0
1,105,135.9594,0.0,16.0012,5460,2525.0
1,112,136.0347,0.0,16.0226,26071,12471.0
1,190,136.0878,0.0,16.138,18711,8928.0
1,143,137.0387,0.0,16.0594,3490,1592.0
1,174,137.1463,0.0,16.1119,2389,1086.0
1,147,139.0897,0.0,16.0676,3172,1411.0
1,177,139.1262,0.0,16.1137,3466,1563.0
1,1,140.9351,0.0,15.728699,2572,1204.0
1,152,141.0145,0.0,16.0762,3479,1527.0
1,114,141.0809,0.0,16.0257,2390,1053.0
1,215,141.1123,0.0,16.1921,2784,1229.0
1,87,141.95,0.0,15.9767,3459,1615.0
1,296,143.0672,0.0,16.4811,8783,4212.0
1,148,143.0959,0.0,16.0683,5628,2468.0
1,213,143.1309,0.0,16.1867,2828,1279.0
1,164,144.0959,0.0,16.0917,3155,1368.0
1,135,145.0796,0.0,16.0507,4226,1910.0
1,175,145.1131,0.0,16.112,7042,3227.0
1,126,145.9456,0.0,16.0401,3534,1645.0
1,166,146.0776,0.0,16.0923,3591,1610.0
1,104,147.0594,0.0,16.001,5857,2635.0
1,176,147.0952,0.0,16.1131,6480,2918.0
1,181,147.131,0.0,16.1182,7880,3643.0
1,138,149.038,0.0,16.0525,99030,46513.0
1,180,149.1096,0.0,16.1179,2397,1109.0
1,170,149.1494,0.0,16.1016,6109,2837.0
1,141,150.0441,0.0,16.057,15604,7007.0
1,171,150.9318,0.0,16.1043,4903,2149.0
1,160,151.0396,0.0,16.0849,10208,4594.0
1,209,151.1275,0.0,16.1707,3838,1768.0
1,100,151.9375,0.0,15.9958,3089,1393.0
1,173,152.0375,0.0,16.1069,2734,1195.0
1,260,152.9676,0.0,16.3306,7285,3434.0
1,156,153.0829,0.0,16.0791,3598,1554.0
1,210,153.1425,0.0,16.1719,2987,1360.0
1,185,156.0251,0.0,16.129,3662,1642.0
1,142,156.9914,0.0,16.0587,3018,1327.0
1,184,157.1147,0.0,16.1285,4998,2161.0
1,205,158.0428,0.0,16.1671,2364,1074.0
1,183,158.1069,0.0,16.1276,6576,2963.0
1,235,158.1692,0.0,16.2478,3716,1752.0
1,256,158.9794,0.0,16.3158,7175,3400.0
1,196,159.0993,0.0,16.1519,8715,3932.0
1,140,159.9625,0.0,16.056,3022,1360.0
1,187,160.057,0.0,16.1356,3326,1539.0
1,316,161.005,0.0,16.7136,4213,2118.0
1,159,161.0736,0.0,16.081,4453,1999.0
1,199,161.1108,0.0,16.1552,13613,6328.0
1,211,161.1487,0.0,16.1786,4223,1917.0
1,198,162.1136,0.0,16.1543,2744,1243.0
1,151,163.0536,0.0,16.072,6587,2962.0
1,201,163.0914,0.0,16.1589,4498,2016.0
1,197,163.1269,0.0,16.1531,3300,1471.0
1,228,163.1633,0.0,16.2216,3121,1436.0
1,119,163.956,0.0,16.032,3168,1441.0
1,206,164.9863,0.0,16.1672,3445,1583.0
1,203,165.1047,0.0,16.1646,3157,1385.0
1,237,166.884,0.0,16.2595,2737,1299.0
1,216,167.1207,0.0,16.1927,3327,1469.0
1,186,167.933,0.0,16.1352,7573,3482.0
1,182,168.9399,0.0,16.124,13596,6329.0
1,144,169.9491,0.0,16.0623,4638,2117.0
1,179,170.0728,0.0,16.1176,3558,1578.0
1,231,170.1129,0.0,16.2293,6899,3165.0
1,134,170.9403,0.0,16.0501,2558,1117.0
1,258,171.1556,0.0,16.3213,8206,3780.0
1,214,172.0221,0.0,16.1921,3120,1415.0
1,212,173.0979,0.0,16.1799,7119,3137.0
1,223,173.1465,0.0,16.2142,5437,2495.0
1,217,174.0727,0.0,16.1955,2261,1028.0
1,229,175.0079,0.0,16.2271,5222,2379.0
1,233,175.1307,0.0,16.2417,15397,7141.0
1,222,176.1335,0.0,16.2131,2454,1092.0
1,207,177.0099,0.0,16.1675,2517,1091.0
1,219,177.0699,0.0,16.1993,2511,1117.0
1,251,177.1798,0.0,16.3022,3984,1838.0
1,220,178.0695,0.0,16.2052,7901,3682.0
1,200,178.9285,0.0,16.1563,4766,2155.0
1,322,179.0164,0.0,16.7995,2956,1457.0
1,242,179.1213,0.0,16.2652,4606,2065.0
1,234,181.1369,0.0,16.2471,4047,1787.0
1,285,182.2039,0.0,16.4292,5945,2862.0
1,239,182.9978,0.0,16.2623,2321,1044.0
1,243,183.1238,0.0,16.2661,4662,2054.0
1,162,183.9298,0.0,16.0901,2939,1341.0
1,270,184.0432,0.0,16.3622,5564,2652.0
1,293,185.1781,0.0,16.4717,3338,1596.0
1,113,185.9571,0.0,16.025,73484,35101.0
1,226,186.1285,0.0,16.2172,3621,1587.0
1,118,186.9606,0.0,16.0306,4785,2161.0
1,248,187.1634,0.0,16.2835,3218,1476.0
1,247,189.1054,0.0,16.2823,2914,1276.0
1,261,189.1451,0.0,16.3327,3529,1624.0
1,424,337.0957,0.0,19.7895,4117,2733.0
1,420,295.2133,0.0,19.6448,4098,2935.0
1,437,625.6448,0.0,20.6348,4093,2920.0
1,25,94.0767,0.0,15.8815,4091,1840.0
1,158,125.1103,0.0,16.0803,4091,1884.0
1,254,197.1437,0.0,16.3089,4068,1813.0
1,234,181.1369,0.0,16.2471,4047,1787.0
1,365,273.1918,0.0,17.6763,4043,2251.0
1,251,177.1798,0.0,16.3022,3984,1838.0
1,699,841.417,0.0,80.1483,3983,11219.0
1,387,420.2599,0.0,18.6199,3978,2441.0
1,436,625.9812,0.0,20.6301,3972,2833.0
1,194,67.9452,0.0,16.1513,3957,1946.0
1,532,383.1325,0.0,29.6662,3953,3451.0
1,323,284.0678,0.0,16.8113,3943,1915.0
1,467,369.1465,0.0,23.0937,3916,3766.0
1,64,115.0657,0.0,15.9447,3892,1786.0
1,577,722.3579,0.0,35.1813,3881,6173.0
1,294,268.0185,0.0,16.4726,3864,1860.0
1,209,151.1275,0.0,16.1707,3838,1768.0
1,271,207.1172,0.0,16.3671,3801,1714.0
1,392,528.26,0.0,18.8606,3780,2519.0
1,280,200.1571,0.0,16.4013,3767,1769.0
1,600,536.1912,0.0,40.2145,3758,3736.0
1,547,679.8989,0.0,32.934,3758,3462.0
1,378,307.169,0.0,18.1104,3727,2216.0
1,235,158.1692,0.0,16.2478,3716,1752.0
1,54,93.0436,0.0,15.9314995,3713,1683.0
1,651,523.1351,0.0,53.1629,3710,4174.0
1,394,527.7608,0.0,18.958,3708,2575.0
1,403,361.0502,0.0,19.1608,3689,2473.0
1,521,639.7784,0.0,27.5277,3686,2974.0
1,366,344.9996,0.0,17.713,3683,2044.0
1,452,527.298,0.0,22.021,3674,2951.0
1,549,486.1371,0.0,33.0544,3669,3128.0
1,332,258.1591,0.0,16.9927,3664,1760.0
1,185,156.0251,0.0,16.129,3662,1642.0
1,226,186.1285,0.0,16.2172,3621,1587.0
1,505,432.1112,0.0,26.1035,3608,2954.0
1,230,68.9917,0.0,16.228,3605,1771.0
1,156,153.0829,0.0,16.0791,3598,1554.0
1,166,146.0776,0.0,16.0923,3591,1610.0
1,433,335.1283,0.0,20.3877,3572,2748.0
1,615,514.3024,0.0,42.8862,3566,5095.0
1,441,527.7895,0.0,21.0211,3561,3580.0
1,179,170.0728,0.0,16.1176,3558,1578.0
1,628,610.211,0.0,47.1899,3549,3829.0
1,126,145.9456,0.0,16.0401,3534,1645.0
1,261,189.1451,0.0,16.3327,3529,1624.0
1,103,118.0808,0.0,15.999599,3525,1580.0
1,664,651.3431,0.0,57.7468,3508,7214.0
1,358,460.2394,0.0,17.3951,3492,2035.0
1,143,137.0387,0.0,16.0594,3490,1592.0
1,362,459.7492,0.0,17.5418,3480,1964.0
1,152,141.0145,0.0,16.0762,3479,1527.0
1,177,139.1262,0.0,16.1137,3466,1563.0
1,87,141.95,0.0,15.9767,3459,1615.0
1,565,488.2588,0.0,34.3119,3456,4359.0
1,60,86.0703,0.0,15.9431,3452,1576.0
1,206,164.9863,0.0,16.1672,3445,1583.0
1,373,458.7506,0.0,17.8929,3443,1932.0
1,526,447.1417,0.0,28.0461,3442,3071.0
1,493,594.8474,0.0,25.3498,3437,2958.0
1,32,96.9725,0.0,15.8913,3433,1547.0
1,281,264.0168,0.0,16.4179,3411,1630.0
1,292,224.0826,0.0,16.47,3406,1580.0
1,393,353.0067,0.0,18.9299,3395,2171.0
1,101,133.0277,0.0,15.9965,3385,1501.0
1,614,563.2556,0.0,42.875,3383,4676.0
1,124,108.9728,0.0,16.0389,3379,1539.0
1,268,219.0665,0.0,16.3605,3373,1544.0
1,146,99.9486,0.0,16.0662,3366,1526.0
1,167,128.9528,0.0,16.094,3366,1546.0
1,391,311.1846,0.0,18.8035,3360,2300.0
1,497,389.2317,0.0,25.7952,3342,3185.0
1,293,185.1781,0.0,16.4717,3338,1596.0
1,216,167.1207,0.0,16.1927,3327,1469.0
1,187,160.057,0.0,16.1356,3326,1539.0
1,306,217.2127,0.0,16.58,3315,1569.0
1,421,519.2837,0.0,19.7015,3305,2383.0
1,150,125.0734,0.0,16.0719,3302,1496.0
1,197,163.1269,0.0,16.1531,3300,1471.0
1,412,358.0905,0.0,19.3995,3294,2115.0
1,663,631.3377,0.0,57.0077,3294,7914.0
1,314,286.0297,0.0,16.6591,3285,1604.0
1,79,102.0662,0.0,15.9722,3284,1493.0
1,515,640.2893,0.0,27.1567,3247,2469.0
1,679,722.3856,0.0,65.1631,3245,6005.0
