func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,2,70.0332,0.0,16.2998,699,699.0
1,1,70.07,0.0,16.2753,261,261.0
1,9,72.0849,0.0,16.5868,538,538.0
1,3,84.0503,0.0,16.3008,361,361.0
1,6,84.0852,0.0,16.3615,423,423.0
1,10,86.1019,0.0,16.7563,2185,2185.0
1,5,87.0599,0.0,16.3289,1310,1310.0
1,11,87.1057,0.0,16.9757,205,205.0
1,4,88.0442,0.0,16.3016,203,203.0
1,8,108.995,0.0,16.4675,412,412.0
1,7,110.0758,0.0,16.3958,152,152.0
1,13,120.0881,0.0,17.39,1072,1072.0
1,15,129.0725,0.0,17.7315,205,205.0
1,14,129.1096,0.0,17.4427,553,553.0
1,18,136.0836,0.0,18.2808,809,809.0
1,16,141.1095,0.0,17.8238,173,173.0
1,17,147.1236,0.0,18.1401,182,182.0
1,12,151.021,0.0,17.0413,580,580.0
1,19,159.101,0.0,19.7306,231,231.0
1,24,169.1067,0.0,20.3064,264,264.0
1,20,175.1283,0.0,19.9534,1783,1783.0
1,21,176.1304,0.0,19.9743,127,127.0
1,27,186.1339,0.0,22.2373,1978,1978.0
1,28,187.1374,0.0,22.3812,178,178.0
1,31,199.1932,0.0,27.4739,189,189.0
1,25,206.9593,0.0,20.6933,249,249.0
1,22,208.9541,0.0,20.1037,181,181.0
1,23,210.9552,0.0,20.1126,119,119.0
1,29,214.1305,0.0,24.8438,549,549.0
1,30,217.1109,0.0,26.3903,143,143.0
1,41,227.1854,0.0,31.5456,133,133.0
1,33,235.1203,0.0,28.4145,6796,6796.0
1,32,236.123,0.0,28.2995,1061,1061.0
1,35,237.1294,0.0,29.2782,133,133.0
1,37,240.1114,0.0,30.4439,429,429.0
1,46,242.1637,0.0,32.0338,125,125.0
1,36,243.1514,0.0,29.72,415,415.0
1,44,244.18,0.0,31.9407,801,801.0
1,38,245.106,0.0,30.6445,214,214.0
1,42,245.1826,0.0,31.588501,260,260.0
1,34,247.1221,0.0,28.8462,206,206.0
1,49,249.1736,0.0,32.8613,515,515.0
1,43,258.1224,0.0,31.7486,312,312.0
1,48,258.1783,0.0,32.5165,203,203.0
1,52,262.1323,0.0,35.3158,375,375.0
1,40,263.1169,0.0,30.8681,2318,2318.0
1,39,264.1234,0.0,30.86,356,356.0
1,47,265.128,0.0,32.3099,104,104.0
1,51,271.1561,0.0,33.9834,218,218.0
1,53,277.1712,0.0,35.477,297,297.0
1,50,278.1293,0.0,33.1384,128,128.0
1,54,290.159,0.0,36.0363,659,659.0
1,66,310.2335,0.0,46.5659,169,169.0
1,61,314.2248,0.0,44.071,122,122.0
1,55,316.1319,0.0,38.2274,194,194.0
1,60,328.1869,0.0,42.8252,160,160.0
1,57,331.2194,0.0,40.8534,678,678.0
1,56,332.2156,0.0,40.7428,157,157.0
1,76,338.2276,0.0,48.1333,498,498.0
1,72,339.2284,0.0,47.5681,189,189.0
1,63,344.1848,0.0,45.7404,125,125.0
1,26,346.9897,0.0,21.1528,142,142.0
1,65,349.1732,0.0,46.2754,202,202.0
1,73,353.198,0.0,47.6821,139,139.0
1,70,359.1539,0.0,47.0534,468,468.0
1,62,360.1573,0.0,44.6611,125,125.0
1,64,369.1632,0.0,45.7605,107,107.0
1,82,371.2105,0.0,49.4742,318,318.0
1,86,372.2199,0.0,50.6901,124,124.0
1,77,377.1655,0.0,48.3168,6020,6020.0
1,78,378.1678,0.0,48.3717,1473,1473.0
1,71,379.1698,0.0,47.3904,237,237.0
1,45,383.1964,0.0,31.9981,139,139.0
1,88,389.1859,0.0,50.7913,219,219.0
1,84,391.216,0.0,50.0791,185,185.0
1,100,403.253,0.0,55.3771,1462,1462.0
1,102,404.2549,0.0,55.9274,316,316.0
1,105,429.1978,0.0,56.2313,132,132.0
1,110,431.22,0.0,57.1709,359,359.0
1,115,432.2256,0.0,58.6495,126,126.0
1,113,440.2404,0.0,58.2249,237,237.0
1,114,446.2311,0.0,58.3453,239,239.0
1,120,448.244,0.0,62.1765,657,657.0
1,117,449.2525,0.0,60.2897,218,218.0
1,122,463.2522,0.0,62.3109,119,119.0
1,118,467.2714,0.0,60.378,479,479.0
1,116,468.2757,0.0,60.0969,278,278.0
1,121,476.2427,0.0,62.2331,839,839.0
1,119,477.2458,0.0,61.8445,263,263.0
1,125,478.2781,0.0,62.9694,132,132.0
1,128,479.2888,0.0,64.7227,116,116.0
1,123,484.3018,0.0,62.3869,136,136.0
1,124,486.2333,0.0,62.7089,118,118.0
1,127,488.2411,0.0,64.4394,183,183.0
1,129,495.2099,0.0,65.2366,123,123.0
1,59,496.7658,0.0,41.3222,211,211.0
1,58,497.2705,0.0,41.0409,135,135.0
1,150,502.3296,0.0,71.8971,724,724.0
1,148,503.3309,0.0,71.3918,192,192.0
1,139,516.2463,0.0,67.9326,198,198.0
1,141,533.272,0.0,68.3531,219,219.0
1,67,540.8023,0.0,46.7154,172,172.0
1,79,541.3056,0.0,48.4939,122,122.0
1,69,549.3112,0.0,47.0385,102,102.0
1,68,564.3119,0.0,47.0222,130,130.0
1,151,573.269,0.0,73.1439,224,224.0
1,156,573.3683,0.0,79.9578,1202,1202.0
1,75,573.833,0.0,48.0912,350,350.0
1,74,574.3382,0.0,48.0085,230,230.0
1,155,574.3661,0.0,79.1795,366,366.0
1,152,590.2953,0.0,75.0577,256,256.0
1,153,595.3417,0.0,76.2462,197,197.0
1,90,595.8585,0.0,51.5625,166,166.0
1,154,596.3452,0.0,76.9004,138,138.0
1,92,605.3419,0.0,52.1665,256,256.0
1,96,605.8385,0.0,53.0507,246,246.0
1,94,606.3399,0.0,52.5431,111,111.0
1,95,620.3481,0.0,52.5552,226,226.0
1,91,620.842,0.0,52.0318,148,148.0
1,104,662.88,0.0,56.153,803,803.0
1,106,663.3746,0.0,56.2484,488,488.0
1,109,663.88,0.0,56.6101,217,217.0
1,112,671.8636,0.0,57.6027,241,241.0
1,111,672.3626,0.0,57.4494,175,175.0
1,103,677.8876,0.0,56.1217,688,688.0
1,108,678.3811,0.0,56.5856,542,542.0
1,107,678.8816,0.0,56.2801,240,240.0
1,162,682.3925,0.0,94.3273,167,167.0
1,165,683.4048,0.0,95.3043,190,190.0
1,159,684.4092,0.0,92.6962,264,264.0
1,157,689.4037,0.0,91.9596,163,163.0
1,161,701.4335,0.0,93.8946,1847,1847.0
1,164,702.4336,0.0,94.6225,682,682.0
1,97,703.3944,0.0,53.1046,255,255.0
1,163,703.4331,0.0,94.3799,190,190.0
1,98,703.7342,0.0,53.178,299,299.0
1,99,704.0597,0.0,54.0537,261,261.0
1,89,707.4046,0.0,51.1957,109,109.0
1,87,707.7255,0.0,50.7616,201,201.0
1,93,708.0633,0.0,52.1832,146,146.0
1,158,708.3461,0.0,92.2155,137,137.0
1,81,713.3991,0.0,49.4124,297,297.0
1,83,713.737,0.0,49.635,385,385.0
1,80,714.0597,0.0,48.9098,214,214.0
1,85,714.4097,0.0,50.4642,127,127.0
1,130,728.4167,0.0,65.485,116,116.0
1,126,731.9032,0.0,63.5978,138,138.0
1,170,735.4357,0.0,101.1724,109,109.0
1,166,736.3455,0.0,95.3569,252,252.0
1,167,753.3691,0.0,99.2784,219,219.0
1,132,762.9501,0.0,66.1108,122,122.0
1,135,766.4091,0.0,66.8523,113,113.0
1,131,766.9171,0.0,65.8862,137,137.0
1,172,769.4296,0.0,108.6856,227,227.0
1,174,770.4396,0.0,110.3337,263,263.0
1,134,774.9293,0.0,66.7804,121,121.0
1,136,775.4204,0.0,66.9,487,487.0
1,133,775.9142,0.0,66.7532,571,571.0
1,137,776.432,0.0,67.0857,313,313.0
1,101,783.0713,0.0,55.6786,164,164.0
1,144,783.4308,0.0,68.9409,243,243.0
1,143,783.9274,0.0,68.8378,251,251.0
1,142,784.4263,0.0,68.5058,160,160.0
1,146,784.956,0.0,71.2793,1803,1803.0
1,149,785.4589,0.0,71.711,1660,1660.0
1,145,785.9574,0.0,71.2288,797,797.0
1,147,786.454,0.0,71.2806,203,203.0
1,140,786.9234,0.0,67.9982,253,253.0
1,138,787.4218,0.0,67.2407,246,246.0
1,171,787.4917,0.0,108.6046,184,184.0
1,169,799.4528,0.0,101.0661,135,135.0
1,177,814.525,0.0,112.5016,1352,1352.0
1,176,815.5255,0.0,111.5911,638,638.0
1,175,816.5304,0.0,111.0112,162,162.0
1,168,818.4087,0.0,101.0149,140,140.0
1,179,856.479,0.0,121.5052,403,403.0
1,178,857.4677,0.0,119.2721,489,489.0
1,180,858.4726,0.0,122.0805,289,289.0
1,173,865.4614,0.0,109.3443,202,202.0
1,188,969.5611,0.0,144.3554,220,220.0
1,191,970.573,0.0,147.0669,270,270.0
1,186,971.5576,0.0,142.9787,188,188.0
1,184,977.5963,0.0,135.2474,565,565.0
1,185,978.5939,0.0,137.2192,430,430.0
1,182,993.5654,0.0,127.121,169,169.0
1,181,1018.5188,0.0,127.03909,169,169.0
1,183,1019.5377,0.0,129.8519,122,122.0
1,189,1034.6196,0.0,145.732,1088,1088.0
1,187,1035.6294,0.0,144.2563,602,602.0
1,190,1036.6208,0.0,146.2931,246,246.0
1,160,1069.6045,0.0,92.7791,150,150.0
1,194,1091.6407,0.0,150.647,5001,5001.0
1,193,1092.6431,0.0,149.5559,3154,3154.0
1,192,1093.649,0.0,149.2922,1092,1092.0
1,196,1190.7244,0.0,158.7826,705,705.0
1,195,1191.7147,0.0,155.8259,559,559.0
