func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,86.1042,0.0,16.7468,799,799.0
1,1,108.9977,0.0,16.3618,1648,1648.0
1,2,110.9951,0.0,16.4948,155,155.0
1,9,131.1319,0.0,17.9093,187,187.0
1,5,140.9722,0.0,16.9903,216,216.0
1,8,144.074,0.0,17.6192,121,121.0
1,4,149.0096,0.0,16.8961,217,217.0
1,6,151.0245,0.0,17.2765,1517,1517.0
1,7,153.0171,0.0,17.284,164,164.0
1,20,159.1048,0.0,20.2563,259,259.0
1,10,171.0367,0.0,18.4679,119,119.0
1,17,175.1353,0.0,20.1243,356,356.0
1,13,178.067,0.0,19.1094,311,311.0
1,12,182.9975,0.0,18.838,166,166.0
1,19,206.9641,0.0,20.2352,729,729.0
1,18,208.9635,0.0,20.1486,771,771.0
1,16,210.9608,0.0,19.8285,360,360.0
1,11,212.9525,0.0,18.5753,324,324.0
1,15,214.9571,0.0,19.6657,264,264.0
1,25,238.9388,0.0,23.1371,184,184.0
1,36,240.1567,0.0,32.7737,140,140.0
1,24,240.9398,0.0,22.6128,179,179.0
1,14,244.9252,0.0,19.5992,169,169.0
1,32,246.1491,0.0,29.7013,276,276.0
1,39,257.1168,0.0,33.7451,126,126.0
1,41,272.1995,0.0,36.0128,209,209.0
1,27,272.9153,0.0,24.1315,271,271.0
1,38,274.1473,0.0,33.7295,503,503.0
1,26,274.9092,0.0,24.0479,178,178.0
1,40,275.1047,0.0,34.6796,226,226.0
1,30,278.909,0.0,27.159,250,250.0
1,29,280.9098,0.0,27.0574,202,202.0
1,28,282.9039,0.0,26.6529,122,122.0
1,31,286.0065,0.0,28.6159,148,148.0
1,35,291.0688,0.0,31.0298,291,291.0
1,42,300.2021,0.0,37.7057,229,229.0
1,37,307.0409,0.0,33.6842,161,161.0
1,43,331.1691,0.0,42.7792,184,184.0
1,22,345.0065,0.0,21.6886,131,131.0
1,21,346.0073,0.0,21.6449,144,144.0
1,23,347.0087,0.0,21.9279,144,144.0
1,44,388.2028,0.0,51.5751,298,298.0
1,45,415.2214,0.0,53.9949,111,111.0
1,34,422.0197,0.0,29.9953,111,111.0
1,33,423.0119,0.0,29.7027,107,107.0
1,46,433.2036,0.0,54.8806,200,200.0
1,47,461.1995,0.0,55.9229,243,243.0
1,48,474.3251,0.0,67.5393,304,304.0
1,52,546.2972,0.0,71.4231,276,276.0
1,53,574.298,0.0,72.5,172,172.0
1,57,589.3598,0.0,81.2207,188,188.0
1,59,704.4008,0.0,94.6462,179,179.0
1,60,775.4326,0.0,102.421,241,241.0
1,51,876.9329,0.0,71.3893,315,315.0
1,50,877.4464,0.0,70.5107,217,217.0
1,49,877.9304,0.0,70.0026,176,176.0
1,61,904.4883,0.0,119.7327,268,268.0
1,58,927.0705,0.0,82.4812,166,166.0
1,55,933.4754,0.0,74.1692,267,267.0
1,56,933.9634,0.0,76.0154,239,239.0
1,54,934.4848,0.0,73.9367,222,222.0
1,66,935.6005,0.0,134.0497,359,359.0
1,63,935.6042,0.0,127.7281,389,389.0
1,62,936.5834,0.0,126.625,186,186.0
1,65,1033.5399,0.0,131.746,323,323.0
1,67,1033.5435,0.0,137.7039,237,237.0
1,64,1034.5521,0.0,131.3431,222,222.0
1,71,1164.5936,0.0,156.8733,367,367.0
1,68,1164.602,0.0,151.807,394,394.0
1,69,1165.575,0.0,154.7582,274,274.0
1,70,1293.6683,0.0,156.1368,231,231.0
