func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,55.0585,0.0,16.0233,1613,1613.0
1,1,56.0535,0.0,15.9772,806,806.0
1,2,57.0613,0.0,15.996899,580,580.0
1,5,70.033,0.0,16.0607,562,562.0
1,10,70.0685,0.0,16.1148,9417,9417.0
1,17,71.0724,0.0,16.1525,477,477.0
1,14,72.0845,0.0,16.1472,7021,7021.0
1,4,73.089,0.0,16.0486,344,344.0
1,13,84.048,0.0,16.1292,4060,4060.0
1,18,84.0844,0.0,16.1527,2261,2261.0
1,12,85.0878,0.0,16.1292,177,177.0
1,22,86.1008,0.0,16.1905,1378,1378.0
1,25,87.1028,0.0,16.216,171,171.0
1,9,88.0433,0.0,16.1118,1723,1723.0
1,7,98.0285,0.0,16.1094,355,355.0
1,20,98.0994,0.0,16.1758,306,306.0
1,26,101.0769,0.0,16.22,425,425.0
1,24,101.1127,0.0,16.208,159,159.0
1,8,102.0596,0.0,16.1095,1985,1985.0
1,6,103.0616,0.0,16.0827,207,207.0
1,15,110.0763,0.0,16.1501,1007,1007.0
1,11,115.0913,0.0,16.119,164,164.0
1,19,116.0761,0.0,16.1645,227,227.0
1,29,120.0857,0.0,16.3027,2465,2465.0
1,32,121.0901,0.0,16.3551,319,319.0
1,23,124.0822,0.0,16.1986,836,836.0
1,21,129.0713,0.0,16.1796,318,318.0
1,31,129.1073,0.0,16.3294,1016,1016.0
1,30,130.0579,0.0,16.3276,565,565.0
1,28,130.0921,0.0,16.2902,1338,1338.0
1,39,133.0655,0.0,16.4093,947,947.0
1,16,136.046,0.0,16.151,257,257.0
1,41,136.0819,0.0,16.4384,371,371.0
1,36,139.0551,0.0,16.3694,443,443.0
1,37,141.1079,0.0,16.3824,2695,2695.0
1,33,142.092,0.0,16.3632,684,684.0
1,38,143.123,0.0,16.3975,489,489.0
1,34,145.0682,0.0,16.3658,153,153.0
1,40,147.119,0.0,16.4337,1382,1382.0
1,27,154.0564,0.0,16.2783,350,350.0
1,43,155.0881,0.0,16.5507,264,264.0
1,42,157.0689,0.0,16.4599,400,400.0
1,35,158.1,0.0,16.3694,183,183.0
1,47,159.0988,0.0,16.6761,278,278.0
1,52,169.1039,0.0,16.9718,5350,5350.0
1,50,170.1075,0.0,16.8719,575,575.0
1,48,172.0695,0.0,16.7756,422,422.0
1,46,173.0641,0.0,16.6658,229,229.0
1,51,175.128,0.0,16.896,442,442.0
1,45,181.0695,0.0,16.6411,1529,1529.0
1,55,181.1075,0.0,17.3202,264,264.0
1,44,182.0553,0.0,16.6406,207,207.0
1,56,183.1228,0.0,17.3338,215,215.0
1,49,184.0797,0.0,16.8397,155,155.0
1,53,185.0621,0.0,17.0005,571,571.0
1,57,187.1161,0.0,17.3343,1713,1713.0
1,54,199.0798,0.0,17.1747,1452,1452.0
1,61,208.1163,0.0,17.8726,219,219.0
1,58,209.0625,0.0,17.4497,524,524.0
1,60,209.1015,0.0,17.7121,323,323.0
1,62,209.1405,0.0,18.2007,328,328.0
1,59,210.0518,0.0,17.6375,139,139.0
1,65,215.1113,0.0,18.5082,1034,1034.0
1,64,216.108,0.0,18.5002,301,301.0
1,66,217.0908,0.0,18.5296,2847,2847.0
1,69,217.1426,0.0,19.3375,2615,2615.0
1,63,218.0962,0.0,18.4687,293,293.0
1,67,218.1446,0.0,19.1292,379,379.0
1,72,226.093,0.0,20.3321,275,275.0
1,81,226.1634,0.0,22.1287,1404,1404.0
1,68,227.0759,0.0,19.1629,1072,1072.0
1,78,227.1604,0.0,21.1144,240,240.0
1,75,232.1497,0.0,21.0473,298,298.0
1,76,233.1576,0.0,21.0813,152,152.0
1,74,235.1262,0.0,20.9359,198,198.0
1,94,240.1818,0.0,27.4336,635,635.0
1,77,244.1039,0.0,21.0833,858,858.0
1,85,244.1736,0.0,23.5977,9062,9062.0
1,71,245.0876,0.0,20.1413,1747,1747.0
1,79,245.1387,0.0,21.5083,1467,1467.0
1,86,245.1822,0.0,23.6476,1178,1178.0
1,70,246.0892,0.0,20.0657,201,201.0
1,80,246.1432,0.0,21.5089,317,317.0
1,82,252.1087,0.0,22.8254,120,120.0
1,83,255.1574,0.0,23.1502,127,127.0
1,88,262.1179,0.0,24.0644,201,201.0
1,100,268.1783,0.0,30.1437,975,975.0
1,99,269.1795,0.0,29.9446,177,177.0
1,87,270.1233,0.0,24.0627,139,139.0
1,84,282.0846,0.0,23.3539,156,156.0
1,93,288.1307,0.0,26.9075,130,130.0
1,92,298.1601,0.0,26.9016,333,333.0
1,91,300.0951,0.0,26.0135,112,112.0
1,89,310.1194,0.0,24.277,262,262.0
1,106,312.1685,0.0,31.905998,127,127.0
1,111,316.1804,0.0,33.9446,522,522.0
1,107,317.1782,0.0,31.9907,134,134.0
1,96,324.1171,0.0,29.1462,135,135.0
1,105,326.1528,0.0,31.853203,202,202.0
1,102,327.1469,0.0,30.2504,132,132.0
1,97,337.131,0.0,29.2092,216,216.0
1,98,338.1178,0.0,29.6223,144,144.0
1,109,341.1575,0.0,33.0797,182,182.0
1,104,342.1068,0.0,31.73,596,596.0
1,115,342.1944,0.0,34.9827,506,506.0
1,119,343.2499,0.0,36.7927,1239,1239.0
1,113,344.16,0.0,34.3467,563,563.0
1,120,344.2545,0.0,36.8414,202,202.0
1,112,345.1679,0.0,34.2559,125,125.0
1,114,347.1795,0.0,34.3651,122,122.0
1,108,355.1406,0.0,32.7117,566,566.0
1,118,356.1675,0.0,35.96,223,223.0
1,110,359.1358,0.0,33.6573,328,328.0
1,126,359.2286,0.0,38.5775,127,127.0
1,117,360.122,0.0,35.8615,1629,1629.0
1,116,361.1291,0.0,35.7114,248,248.0
1,122,361.2175,0.0,37.0892,161,161.0
1,73,362.2028,0.0,20.6628,145,145.0
1,128,365.233,0.0,39.0676,312,312.0
1,124,369.1939,0.0,38.0978,169,169.0
1,125,373.1506,0.0,38.2192,287,287.0
1,129,373.2046,0.0,39.2308,336,336.0
1,123,377.1476,0.0,37.7241,695,695.0
1,121,378.1553,0.0,37.0875,150,150.0
1,101,378.2413,0.0,30.1541,127,127.0
1,127,383.214,0.0,39.0668,183,183.0
1,131,385.2378,0.0,44.3146,492,492.0
1,133,387.264,0.0,45.9687,465,465.0
1,132,388.2572,0.0,44.4589,115,115.0
1,90,390.7112,0.0,24.9031,148,148.0
1,130,407.1731,0.0,40.7594,187,187.0
1,140,413.236,0.0,47.0003,3466,3466.0
1,138,414.241,0.0,46.8379,814,814.0
1,136,415.2508,0.0,46.5274,513,513.0
1,141,416.2634,0.0,47.0703,134,134.0
1,137,425.2447,0.0,46.7587,166,166.0
1,103,433.2652,0.0,30.8344,129,129.0
1,135,441.1908,0.0,46.1581,424,424.0
1,142,443.2081,0.0,47.8812,116,116.0
1,139,452.1614,0.0,46.9159,130,130.0
1,134,453.1521,0.0,46.1358,132,132.0
1,146,453.2352,0.0,49.5249,428,428.0
1,149,454.234,0.0,50.0236,139,139.0
1,145,458.2065,0.0,49.1946,199,199.0
1,143,459.1952,0.0,48.377,1133,1133.0
1,144,460.1938,0.0,48.8425,386,386.0
1,151,470.1776,0.0,51.2356,297,297.0
1,147,471.2167,0.0,49.7812,156,156.0
1,95,472.2465,0.0,28.9965,128,128.0
1,150,476.2213,0.0,50.6145,587,587.0
1,148,477.2309,0.0,49.9422,146,146.0
1,156,484.3138,0.0,58.1798,1334,1334.0
1,157,485.3163,0.0,58.3396,338,338.0
1,152,488.1864,0.0,52.5157,551,551.0
1,153,489.1823,0.0,53.3101,103,103.0
1,155,489.2722,0.0,57.7815,166,166.0
1,154,496.2818,0.0,56.5704,188,188.0
1,167,511.3476,0.0,67.6254,2962,2962.0
1,158,512.3103,0.0,59.1126,2019,2019.0
1,165,512.3451,0.0,67.2798,736,736.0
1,160,513.3116,0.0,59.524,606,606.0
1,162,523.2935,0.0,61.6563,165,165.0
1,161,524.2792,0.0,59.5278,514,514.0
1,159,525.2699,0.0,59.1978,154,154.0
1,163,556.2487,0.0,61.8714,126,126.0
1,164,585.2611,0.0,65.5642,151,151.0
1,166,587.2601,0.0,67.4821,288,288.0
1,170,609.3558,0.0,75.2177,110,110.0
1,169,621.2947,0.0,74.624,137,137.0
1,168,622.3733,0.0,73.015,173,173.0
1,172,658.4242,0.0,89.9336,370,370.0
1,171,671.5472,0.0,88.7434,117,117.0
1,173,672.4323,0.0,91.5316,234,234.0
1,175,672.4391,0.0,94.5291,233,233.0
1,178,755.4812,0.0,110.2758,875,875.0
1,177,756.4875,0.0,108.8451,354,354.0
1,176,780.4242,0.0,96.8469,313,313.0
1,174,780.4301,0.0,92.0427,291,291.0
