func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,5,100.0458,0.0,16.0579,331,331.0
1,8,101.0573,0.0,16.0861,837,837.0
1,44,105.0666,0.0,16.4327,173,173.0
1,16,107.0449,0.0,16.1614,153,153.0
1,6,110.0681,0.0,16.0625,2945,2945.0
1,9,111.0405,0.0,16.0911,2481,2481.0
1,3,112.0451,0.0,16.007,154,154.0
1,2,113.0561,0.0,15.9655,478,478.0
1,10,114.0869,0.0,16.0983,9444,9444.0
1,19,115.0904,0.0,16.1826,560,560.0
1,13,119.082,0.0,16.1132,450,450.0
1,7,120.0789,0.0,16.0772,300,300.0
1,22,127.0712,0.0,16.1948,544,544.0
1,17,128.0683,0.0,16.175,148,148.0
1,34,129.0522,0.0,16.2888,222,222.0
1,32,129.099,0.0,16.2683,171,171.0
1,1,131.0829,0.0,15.955799,187,187.0
1,28,133.0827,0.0,16.2205,163,163.0
1,25,136.0726,0.0,16.2079,887,887.0
1,11,137.0555,0.0,16.111,207,207.0
1,20,137.1299,0.0,16.1871,242,242.0
1,12,138.086,0.0,16.1114,286,286.0
1,15,147.0753,0.0,16.1355,1199,1199.0
1,14,148.0792,0.0,16.1187,196,196.0
1,23,150.087,0.0,16.197,150,150.0
1,24,155.0636,0.0,16.2026,8372,8372.0
1,33,156.0711,0.0,16.2796,630,630.0
1,21,157.0972,0.0,16.1947,196,196.0
1,35,158.0886,0.0,16.291,240,240.0
1,30,159.1091,0.0,16.2546,181,181.0
1,4,162.0849,0.0,16.0566,264,264.0
1,26,164.1025,0.0,16.2088,313,313.0
1,72,166.9979,0.0,17.0922,149,149.0
1,31,173.0715,0.0,16.2559,9483,9483.0
1,37,174.0799,0.0,16.3051,940,940.0
1,43,175.0461,0.0,16.3809,302,302.0
1,29,175.1132,0.0,16.2529,759,759.0
1,38,181.092,0.0,16.3079,615,615.0
1,18,183.0699,0.0,16.1809,151,151.0
1,70,185.0051,0.0,17.0274,272,272.0
1,27,186.0801,0.0,16.2113,348,348.0
1,40,187.0912,0.0,16.3598,1011,1011.0
1,36,188.1029,0.0,16.2929,203,203.0
1,47,189.0382,0.0,16.4938,256,256.0
1,59,190.1171,0.0,16.8345,229,229.0
1,42,192.0999,0.0,16.3795,192,192.0
1,45,193.0913,0.0,16.4753,424,424.0
1,46,195.1061,0.0,16.4807,272,272.0
1,49,199.0984,0.0,16.5725,970,970.0
1,41,201.0415,0.0,16.3711,481,481.0
1,48,203.0566,0.0,16.5516,633,633.0
1,67,207.1082,0.0,16.9868,199,199.0
1,55,213.104,0.0,16.7443,837,837.0
1,50,217.0995,0.0,16.6358,3008,3008.0
1,54,218.1049,0.0,16.7399,321,321.0
1,65,219.0587,0.0,16.9394,3726,3726.0
1,83,219.1679,0.0,18.0517,390,390.0
1,58,220.0638,0.0,16.7952,612,612.0
1,60,226.1066,0.0,16.8747,169,169.0
1,62,227.0973,0.0,16.8782,470,470.0
1,94,227.1939,0.0,22.7441,253,253.0
1,71,228.1178,0.0,17.0816,167,167.0
1,74,229.031,0.0,17.3192,1048,1048.0
1,61,231.1194,0.0,16.8772,489,489.0
1,69,232.1261,0.0,16.994,132,132.0
1,68,233.0625,0.0,16.9923,502,502.0
1,57,234.0891,0.0,16.7872,874,874.0
1,79,235.1119,0.0,17.7514,1176,1176.0
1,75,236.1121,0.0,17.344,246,246.0
1,77,237.0771,0.0,17.5928,442,442.0
1,85,237.1574,0.0,18.6531,173,173.0
1,84,243.0475,0.0,18.1286,226,226.0
1,64,245.0619,0.0,16.9109,190,190.0
1,76,247.0421,0.0,17.3945,264,264.0
1,108,255.2248,0.0,27.951,664,664.0
1,107,256.2285,0.0,27.7697,140,140.0
1,81,257.0671,0.0,17.9296,438,438.0
1,80,259.0793,0.0,17.8968,391,391.0
1,73,261.1458,0.0,17.2726,209,209.0
1,89,263.0932,0.0,20.3148,584,584.0
1,87,265.1098,0.0,19.7398,360,360.0
1,92,271.1676,0.0,21.4167,238,238.0
1,56,272.1143,0.0,16.7828,240,240.0
1,52,274.1561,0.0,16.6696,146,146.0
1,78,277.0817,0.0,17.7271,326,326.0
1,51,278.0799,0.0,16.6687,294,294.0
1,53,279.1249,0.0,16.6946,179,179.0
1,95,281.105,0.0,23.785,500,500.0
1,66,283.165,0.0,16.9789,159,159.0
1,126,283.2529,0.0,33.4554,279,279.0
1,39,285.0898,0.0,16.3503,159,159.0
1,82,286.1256,0.0,18.025,114,114.0
1,97,288.1929,0.0,24.288,115,115.0
1,88,291.0705,0.0,20.1456,302,302.0
1,90,301.1811,0.0,20.9401,125,125.0
1,91,303.0675,0.0,21.4018,623,623.0
1,93,304.0793,0.0,21.6458,193,193.0
1,86,305.1487,0.0,18.8666,272,272.0
1,128,309.2688,0.0,35.004,1474,1474.0
1,129,310.2746,0.0,35.5715,311,311.0
1,96,327.1296,0.0,23.9102,256,256.0
1,101,328.1291,0.0,25.2265,142,142.0
1,104,335.1126,0.0,26.2808,1692,1692.0
1,103,336.1149,0.0,26.0734,329,329.0
1,111,340.1331,0.0,28.9015,162,162.0
1,99,345.143,0.0,25.1882,3134,3134.0
1,100,346.1435,0.0,25.1926,1150,1150.0
1,105,347.139,0.0,26.8275,162,162.0
1,124,349.0459,0.0,32.3985,196,196.0
1,102,357.0738,0.0,25.8257,920,920.0
1,98,358.0818,0.0,25.1406,110,110.0
1,106,359.1626,0.0,27.5642,300,300.0
1,121,366.1451,0.0,31.313698,260,260.0
1,109,368.1556,0.0,27.9687,345,345.0
1,118,369.2261,0.0,31.014,951,951.0
1,122,370.2244,0.0,31.6039,263,263.0
1,110,371.0888,0.0,27.9765,223,223.0
1,63,371.1161,0.0,16.8867,165,165.0
1,112,383.0911,0.0,29.0009,232,232.0
1,131,384.246,0.0,37.7057,153,153.0
1,125,385.1752,0.0,32.4573,149,149.0
1,120,389.1688,0.0,31.271599,265,265.0
1,115,390.1577,0.0,30.559,487,487.0
1,117,391.1584,0.0,30.8745,172,172.0
1,116,397.1041,0.0,30.7681,243,243.0
1,114,401.1011,0.0,29.1857,1059,1059.0
1,113,402.1071,0.0,29.1251,201,201.0
1,127,403.1819,0.0,33.5765,151,151.0
1,123,415.1162,0.0,31.8121,518,518.0
1,130,451.1081,0.0,37.3242,141,141.0
1,133,461.1824,0.0,41.0852,252,252.0
1,132,462.1966,0.0,40.257,119,119.0
1,136,479.2362,0.0,47.6875,132,132.0
1,137,505.3489,0.0,55.6255,872,872.0
1,139,506.3536,0.0,56.5355,439,439.0
1,134,529.1395,0.0,43.3276,131,131.0
1,135,531.2201,0.0,47.2862,182,182.0
1,138,560.2511,0.0,55.9979,128,128.0
1,143,587.3622,0.0,65.374,258,258.0
1,144,641.346,0.0,66.3115,105,105.0
1,146,641.4718,0.0,83.2706,168,168.0
1,141,643.3055,0.0,60.0072,14578,14578.0
