func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,196,371.09674,19.99984,47.4,77272,371.09674,3.27,-1,1,-1,
2,197,513.23773,20.02852,45.6,25267,513.23773,3.13,-1,1,-1,
2,198,536.2464,20.11278,43.1,22867,536.2464,2.99,-1,1,-1,
2,199,460.21854,20.22779,39.3,21179,460.21854,2.72,-1,1,-1,
2,200,459.7147,20.23719,39.3,36339,459.7147,2.72,-1,1,-1,
2,201,373.22412,20.24352,59.2,12411,373.22412,4.1,-1,1,-1,
2,202,364.71738,20.25005,34.9,21416,364.71738,2.37,-1,1,-1,
2,203,549.309,20.25556,79,40817,549.309,5.47,-1,1,-1,
2,204,561.31805,20.25654,79.1,165333,561.31805,5.47,-1,1,-1,
2,205,373.3381,20.25656,35,27100,373.3381,2.44,-1,1,-1,
2,206,562.3221,20.25661,79.2,39348,562.3221,5.47,-1,1,-1,
2,207,745.43805,20.2573,111.2,36957,745.43805,7.68,-1,1,-1,
2,208,373.72488,20.25859,35.4,237984,373.72488,2.44,-1,1,-1,
2,209,632.35626,20.25933,87.7,180717,632.35626,6.02,-1,1,-1,
2,210,633.3596,20.25965,87.6,54804,633.3596,6.02,-1,1,-1,
2,211,374.22617,20.25967,35.4,59325,374.22617,2.44,-1,1,-1,
2,212,364.21927,20.2701,35.1,54025,364.21927,2.44,-1,1,-1,
2,213,373.22446,20.27047,35.3,523928,373.22446,2.44,-1,1,-1,
2,214,402.24213,20.27222,57.9,153994,402.24213,3.96,-1,1,-1,
2,215,403.24374,20.27293,58.1,26785,403.24374,4.03,-1,1,-1,
2,216,394.71674,20.36029,39.1,208840,394.71674,2.72,-1,1,-1,
2,217,395.71667,20.36142,39.3,25751,395.71667,2.72,-1,1,-1,
2,218,544.30273,20.36324,75.5,59008,544.30273,5.19,-1,1,-1,
2,219,395.21826,20.3654,39.2,84773,395.21826,2.72,-1,1,-1,
2,220,657.3868,20.37587,95.4,18878,657.3868,6.57,-1,1,-1,
2,221,402.69955,20.3832,37.5,29591,402.69955,2.58,-1,1,-1,
2,222,217.13576,20.38361,32.8,31876,217.13576,2.25,-1,1,-1,
2,223,355.0668,20.42627,43.6,93713,355.0668,3,-1,1,-1,
2,224,483.27405,20.50758,44.1,20554,483.27405,3.06,-1,1,-1,
2,225,426.2301,20.50844,38.4,43165,426.2301,2.65,-1,1,-1,
2,226,482.772,20.51287,43.9,33683,482.772,3,-1,1,-1,
2,227,508.2718,20.5156,51.3,21875,508.2718,3.55,-1,1,-1,
2,228,507.77258,20.52956,50.9,44099,507.77258,3.48,-1,1,-1,
2,229,467.23,20.58142,41,96202,467.23,2.86,-1,1,-1,
2,230,361.19846,20.60111,35.3,26264,361.19846,2.44,-1,1,-1,
2,231,466.72708,20.61746,41.1,244952,466.72708,2.86,-1,1,-1,
2,232,467.7305,20.61858,41.1,27514,467.7305,2.86,-1,1,-1,
2,233,411.8432,20.61972,39.9,32611,411.8432,2.72,-1,1,-1,
2,234,608.30884,20.62404,82.9,342557,608.30884,5.68,-1,1,-1,
2,235,537.2738,20.63288,75.2,37997,537.2738,5.19,-1,1,-1,
2,236,187.14201,20.64696,29.1,116973,187.14201,2.04,-1,1,-1,
2,237,411.7241,20.64701,40,706821,411.7241,2.79,-1,1,-1,
2,238,409.2153,20.64712,56.6,21541,409.2153,3.89,-1,1,-1,
2,239,721.3942,20.64822,101.3,19926,721.3942,6.99,-1,1,-1,
2,240,609.3118,20.64841,82.8,102326,609.3118,5.68,-1,1,-1,
2,241,411.7253,20.64937,70.7,10100,411.7253,4.86,-1,1,-1,
2,242,412.22482,20.65258,40,362752,412.22482,2.79,-1,1,-1,
2,243,412.7264,20.6586,39.8,75541,412.7264,2.72,-1,1,-1,
2,244,403.21518,20.65968,40,16319,403.21518,2.79,-1,1,-1,
2,245,474.73734,20.66311,43.2,274013,474.73734,3,-1,1,-1,
2,246,482.73312,20.66339,42.3,23346,482.73312,2.93,-1,1,-1,
2,247,475.23694,20.66378,43.1,98101,475.23694,3,-1,1,-1,
2,248,482.23236,20.66434,42.5,41992,482.23236,2.93,-1,1,-1,
2,249,328.1581,20.66665,44,25311,328.1581,3.06,-1,1,-1,
2,250,474.2355,20.66723,43.2,603511,474.2355,3,-1,1,-1,
2,251,398.71915,20.67255,37.3,20117,398.71915,2.58,-1,1,-1,
2,252,398.217,20.6868,37.4,38694,398.217,2.58,-1,1,-1,
2,253,402.7214,20.68757,40,12819,402.7214,2.79,-1,1,-1,
2,254,475.73434,20.70206,43,31572,475.73434,3,-1,1,-1,
2,255,466.2232,20.70345,42.2,29631,466.2232,2.93,-1,1,-1,
2,256,465.72256,20.70351,42.4,53695,465.72256,2.93,-1,1,-1,
2,257,620.31366,20.70365,86.5,34138,620.31366,5.95,-1,1,-1,
2,258,474.36526,20.70367,43.1,21708,474.36526,3,-1,1,-1,
2,259,558.58966,20.75317,42.7,24108,558.58966,2.92,-1,1,-1,
2,260,355.06628,20.75944,43.7,96588,355.06628,3,-1,1,-1,
2,261,512.5948,20.81812,46.1,36648,512.5948,3.2,-1,1,-1,
2,262,512.9294,20.81877,46.1,20286,512.9294,3.2,-1,1,-1,
2,263,511.92703,20.81913,46.1,166744,511.92703,3.2,-1,1,-1,
2,264,512.26166,20.81969,46.1,113696,512.26166,3.2,-1,1,-1,
2,265,511.59402,20.82169,46,241341,511.59402,3.2,-1,1,-1,
2,266,384.19696,20.82218,34.9,149208,384.19696,2.37,-1,1,-1,
2,267,384.4469,20.82577,34.9,73865,384.4469,2.37,-1,1,-1,
2,268,416.21094,20.82805,36.2,32806,416.21094,2.51,-1,1,-1,
2,269,421.25217,20.83,44.3,21182,421.25217,3.06,-1,1,-1,
2,270,473.89966,20.83226,43.1,44522,473.89966,3,-1,1,-1,
2,271,420.2488,20.83251,44.3,159038,420.2488,3.06,-1,1,-1,
2,272,420.74954,20.83372,44.2,80106,420.74954,3.06,-1,1,-1,
2,273,383.94785,20.83393,34.7,144093,383.94785,2.37,-1,1,-1,
2,274,508.7546,20.83525,45.3,28548,508.7546,3.13,-1,1,-1,
2,275,415.54105,20.8367,35.9,164673,415.54105,2.44,-1,1,-1,
2,276,573.7769,20.83735,51.5,26940,573.7769,3.54,-1,1,-1,
2,277,622.80994,20.83812,56.2,38775,622.80994,3.88,-1,1,-1,
2,278,573.2753,20.83949,51.4,53904,573.2753,3.54,-1,1,-1,
2,279,623.3102,20.84036,56.3,17944,623.3102,3.88,-1,1,-1,
2,280,415.87393,20.84222,35.9,97799,415.87393,2.44,-1,1,-1,
2,281,384.6965,20.84462,34.7,28865,384.6965,2.37,-1,1,-1,
2,282,467.22107,20.85531,64.7,25096,467.22107,4.44,-1,1,-1,
2,283,412.20993,20.90859,37.8,22899,412.20993,2.58,-1,1,-1,
2,284,341.20105,20.948,32.7,32347,341.20105,2.24,-1,1,-1,
2,285,412.54846,20.95658,37.5,28897,412.54846,2.58,-1,1,-1,
2,286,741.3789,20.95871,102.2,18180,741.3789,7.06,-1,1,-1,
2,287,494.29135,20.96101,73.9,30598,494.29135,5.07,-1,1,-1,
2,288,582.32556,20.966,84.1,23311,582.32556,5.81,-1,1,-1,
2,289,340.69965,20.99043,32.4,91502,340.69965,2.24,-1,1,-1,
2,290,581.3235,20.99248,84.1,87947,581.3235,5.81,-1,1,-1,
2,291,425.8648,20.9931,38,20809,425.8648,2.65,-1,1,-1,
2,292,446.91336,20.99365,44.6,47934,446.91336,3.06,-1,1,-1,
2,293,500.52304,21.00659,39.2,19016,500.52304,2.72,-1,1,-1,
2,294,607.245,21.00665,51,59193,607.245,3.54,-1,1,-1,
2,295,607.74493,21.0068,50.8,31731,607.74493,3.47,-1,1,-1,
