func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,332,505.23605,21.1595,45.7,20568,505.23605,3.13,-1,1,-1,
2,333,604.3445,21.16031,88.4,15847,604.3445,6.09,-1,1,-1,
2,334,504.23544,21.16264,45.7,126490,504.23544,3.13,-1,1,-1,
2,335,705.38776,21.18955,101.9,31326,705.38776,6.99,-1,1,-1,
2,336,173.12668,21.19489,26.5,39096,173.12668,1.83,-1,1,-1,
2,337,353.19876,21.195,33.3,206372,353.19876,2.31,-1,1,-1,
2,338,505.27567,21.19524,72.3,218100,505.27567,5,-1,1,-1,
2,339,353.69925,21.19634,33.4,65250,353.69925,2.31,-1,1,-1,
2,340,506.2765,21.19643,72.3,64847,506.2765,5,-1,1,-1,
2,341,405.57123,21.20104,39.2,63853,405.57123,2.72,-1,1,-1,
2,342,405.90485,21.20242,39.3,23936,405.90485,2.72,-1,1,-1,
2,343,405.23523,21.20321,39.2,95537,405.23523,2.72,-1,1,-1,
2,344,354.19876,21.2051,33.3,21979,354.19876,2.31,-1,1,-1,
2,345,739.76025,21.2317,62.5,159840,739.76025,4.3,-1,1,-1,
2,346,740.7626,21.23391,62.5,83452,740.7626,4.3,-1,1,-1,
2,347,741.2618,21.24554,62.5,40999,741.2618,4.3,-1,1,-1,
2,348,740.26154,21.24667,62.4,127969,740.26154,4.3,-1,1,-1,
2,349,527.2082,21.26347,46,31487,527.2082,3.2,-1,1,-1,
2,350,526.707,21.27497,46,65140,526.707,3.2,-1,1,-1,
2,351,526.20526,21.29407,46,102727,526.20526,3.2,-1,1,-1,
2,352,710.7554,21.33197,61.1,23827,710.7554,4.23,-1,1,-1,
2,353,435.2065,21.34927,40.2,20944,435.2065,2.79,-1,1,-1,
2,354,443.70706,21.35053,40.3,248135,443.70706,2.79,-1,1,-1,
2,355,517.69257,21.35114,44.5,16818,517.69257,3.06,-1,1,-1,
2,356,444.7096,21.35761,40.2,40793,444.7096,2.79,-1,1,-1,
2,357,656.3535,21.36023,92.5,33487,656.3535,6.37,-1,1,-1,
2,358,444.20963,21.36854,40.6,114659,444.20963,2.79,-1,1,-1,
2,359,569.32336,21.37205,84.6,32598,569.32336,5.81,-1,1,-1,
2,360,434.70383,21.37715,40.9,46182,434.70383,2.79,-1,1,-1,
2,361,355.0664,21.37855,43.8,99598,355.0664,3,-1,1,-1,
2,362,488.23007,21.39659,44.3,73354,488.23007,3.06,-1,1,-1,
2,363,302.1593,21.41667,30.2,44885,302.1593,2.11,-1,1,-1,
2,364,487.72757,21.4207,44.3,181080,487.72757,3.06,-1,1,-1,
2,365,450.68088,21.43337,38,22640,450.68088,2.65,-1,1,-1,
2,366,423.2215,21.43413,38.3,29432,423.2215,2.65,-1,1,-1,
2,367,723.3043,21.4537,64,15229,723.3043,4.43,-1,1,-1,
2,368,374.17578,21.45514,34.9,20047,374.17578,2.37,-1,1,-1,
2,369,434.21185,21.45642,37.9,44174,434.21185,2.58,-1,1,-1,
2,370,373.67297,21.46488,34.9,49425,373.67297,2.37,-1,1,-1,
2,371,488.73126,21.46867,44.2,19653,488.73126,3.06,-1,1,-1,
2,372,603.31104,21.46954,86.1,136240,603.31104,5.95,-1,1,-1,
2,373,422.7201,21.47275,38.1,50418,422.7201,2.65,-1,1,-1,
2,374,844.4329,21.47697,114.7,66720,844.4329,7.87,-1,1,-1,
2,375,602.3089,21.47727,86,464401,602.3089,5.95,-1,1,-1,
2,376,449.1774,21.4788,40.2,75564,449.1774,2.79,-1,1,-1,
2,377,433.71176,21.47928,37.7,97727,433.71176,2.58,-1,1,-1,
2,378,450.1785,21.48062,38.3,22018,450.1785,2.65,-1,1,-1,
2,379,449.6787,21.482,38.4,73012,449.6787,2.65,-1,1,-1,
2,380,301.65854,21.48245,30.2,122680,301.65854,2.11,-1,1,-1,
2,381,358.19965,21.48583,34.6,48944,358.19965,2.37,-1,1,-1,
2,382,604.332,21.48908,84.2,34044,604.332,5.81,-1,1,-1,
2,383,845.43787,21.49106,115.7,25935,845.43787,7.94,-1,1,-1,
2,384,491.25583,21.53513,68.3,84900,491.25583,4.72,-1,1,-1,
2,385,542.2265,21.53756,45.9,54691,542.2265,3.12,-1,1,-1,
2,386,541.72565,21.54061,45.8,70726,541.72565,3.12,-1,1,-1,
2,387,492.26083,21.54539,68.2,22698,492.26083,4.72,-1,1,-1,
2,388,581.80505,21.56662,54.8,21055,581.80505,3.74,-1,1,-1,
2,389,387.32108,21.56824,36.4,26163,387.32108,2.51,-1,1,-1,
2,390,581.3072,21.56824,54.9,55400,581.3072,3.74,-1,1,-1,
2,391,495.75558,21.56838,46.2,27079,495.75558,3.2,-1,1,-1,
2,392,388.20746,21.56847,36.7,22995,388.20746,2.51,-1,1,-1,
2,393,524.7651,21.57042,48.4,82341,524.7651,3.34,-1,1,-1,
2,394,524.2647,21.57053,48.6,258504,524.2647,3.34,-1,1,-1,
2,395,722.8121,21.57054,63.800003,14017,722.8121,4.37,-1,1,-1,
2,396,580.30414,21.57077,54.9,248143,580.30414,3.74,-1,1,-1,
2,397,387.87302,21.57094,36.6,103719,387.87302,2.51,-1,1,-1,
2,398,387.2064,21.57132,36.5,532005,387.2064,2.51,-1,1,-1,
2,399,580.806,21.57266,54.9,192240,580.806,3.74,-1,1,-1,
