func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1105,659.85925,25.6636,61.8,25087,659.85925,4.23,-1,1,-1,
2,1106,547.98096,25.69193,44.4,133907,547.98096,3.05,-1,1,-1,
2,1107,659.35675,25.70457,61.9,29041,659.35675,4.23,-1,1,-1,
2,1108,450.7552,25.70609,44.5,43809,450.7552,3.06,-1,1,-1,
2,1109,645.3079,25.70661,48.7,13865,645.3079,3.33,-1,1,-1,
2,1110,518.7328,25.70928,44.6,11756,518.7328,3.06,-1,1,-1,
2,1111,820.966,25.71508,74.2,25514,820.966,5.11,-1,1,-1,
2,1112,630.9659,25.71852,48.8,23232,630.9659,3.33,-1,1,-1,
2,1113,602.33093,25.71957,53.4,92415,602.33093,3.68,-1,1,-1,
2,1114,575.8394,25.7196,53,23246,575.8394,3.68,-1,1,-1,
2,1115,601.8306,25.721,53.4,165933,601.8306,3.68,-1,1,-1,
2,1116,445.11584,25.72338,55.9,97883,445.11584,3.82,-1,1,-1,
2,1117,601.3298,25.72377,53.5,281319,601.3298,3.68,-1,1,-1,
2,1118,541.64386,25.72426,45.2,41996,541.64386,3.12,-1,1,-1,
2,1119,528.23535,25.72551,45.1,15330,528.23535,3.13,-1,1,-1,
2,1120,644.64246,25.72642,49.4,23395,644.64246,3.4,-1,1,-1,
2,1121,820.46436,25.72686,74,30375,820.46436,5.11,-1,1,-1,
2,1122,548.3144,25.72768,44.4,48780,548.3144,3.05,-1,1,-1,
2,1123,589.3258,25.72771,83.5,21721,589.3258,5.75,-1,1,-1,
2,1124,602.8366,25.72786,53.4,27727,602.8366,3.68,-1,1,-1,
2,1125,547.31476,25.72794,44.1,332589,547.31476,3.05,-1,1,-1,
2,1126,547.6474,25.72885,44.2,339635,547.6474,3.05,-1,1,-1,
2,1127,644.97723,25.72976,48.9,18340,644.97723,3.33,-1,1,-1,
2,1128,541.9776,25.73099,45.2,20982,541.9776,3.12,-1,1,-1,
2,1129,541.3087,25.73108,45.3,45179,541.3087,3.12,-1,1,-1,
2,1130,451.25797,25.73112,44.2,22716,451.25797,3.06,-1,1,-1,
2,1131,694.0271,25.74678,62.5,23083,694.0271,4.3,-1,1,-1,
2,1132,695.3713,25.74892,62.4,80439,695.3713,4.3,-1,1,-1,
2,1133,632.96704,25.76268,52.1,20116,632.96704,3.61,-1,1,-1,
2,1134,694.37146,25.76378,62.6,492141,694.37146,4.3,-1,1,-1,
2,1135,693.86957,25.76868,62.5,733204,693.86957,4.3,-1,1,-1,
2,1136,694.87213,25.7752,62.6,234120,694.87213,4.3,-1,1,-1,
