func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,2,567.3505,0,128.9581,3212,5.11917,8.26,-1,1,-1,624.3186505,2+,
1,1,588.852,0,95.841,2893,6.41259,6.14,-1,1,-1,624.3186505,2+,
1,3,605.3093,0,92.8951,4403,3.64619,5.95,-1,1,-1,605.266812,2+,
1,2,605.8156,0,92.5215,5830,6.44545,5.95,-1,1,-1,605.266812,2+,
1,1,606.3547,0,87.7685,2587,5.81811,5.62,-1,1,-1,605.266812,2+,
1,1,526.3222,0,123.0497,3142,5.62296,7.94,-1,1,-1,673.3753455,2+,
1,2,608.363,0,125.0613,5098,9.11999,8.07,-1,1,-1,673.3753455,2+,
1,3,639.4144,0,138.3097,1193,1.17606,8.89,-1,1,-1,673.3753455,2+,
1,1,526.325,0,122.5993,6536,8.90996,7.87,-1,1,-1,673.3753455,2+,
1,2,608.3674,0,126.7022,4189,5.24133,8.13,-1,1,-1,673.3753455,2+,
1,4,639.4147,0,139.9489,3831,5.1391,8.96,-1,1,-1,673.3753455,2+,
1,3,639.4158,0,137.3841,4956,5.9636,8.83,-1,1,-1,673.3753455,2+,
1,1,684.3447,0,85.254,1577,3.36408,5.49,-1,1,-1,791.3672535,2+,
1,2,782.4162,0,92.5998,4122,6.54294,5.94,-1,1,-1,791.3672535,2+,
1,3,782.9115,0,92.9968,2825,4.4093,5.94,-1,1,-1,791.3672535,2+,
1,7,790.9668,0,97.0704,6011,5.80133,6.26,-1,1,-1,791.3672535,2+,
1,5,791.4009,0,93.3321,31468,6.5477,6,-1,1,-1,791.3672535,2+,
1,4,791.9001,0,93.0788,28146,6.57596,6,-1,1,-1,791.3672535,2+,
1,6,792.4122,0,93.9216,18291,6.76355,6,-1,1,-1,791.3672535,2+,
1,8,951.4857,0,139.4743,4628,8.30727,8.96,-1,1,-1,791.3672535,2+,
1,10,1052.5461,0,148.1913,2916,5.52542,9.52,-1,1,-1,791.3672535,2+,
1,9,1052.5516,0,145.5052,1802,4.64818,9.33,-1,1,-1,791.3672535,2+,
1,1,791.4171,0,92.8345,5004,6.7345,5.94,-1,1,-1,791.3672535,2+,
1,2,791.9196,0,93.1925,5267,6.58752,6,-1,1,-1,791.3672535,2+,
1,3,951.4917,0,139.9791,4464,6.67255,8.96,-1,1,-1,791.3672535,2+,
1,4,1052.5494,0,147.4499,4677,6.56412,9.46,-1,1,-1,791.3672535,2+,
1,1,205.0451,0,56.1113,11133,8.52469,2.56,-1,1,-1,324.200341,2+,
1,2,385.2923,0,105.9624,4991,7.18411,4.77,-1,1,-1,324.200341,2+,
1,3,385.2942,0,110.6303,1507,4.61449,4.99,-1,1,-1,324.200341,2+,
1,4,548.3727,0,145.144,2974,6.24113,6.58,-1,1,-1,324.200341,2+,
1,1,205.0441,0,56.861,9905,8.15982,2.56,-1,1,-1,324.200341,2+,
1,2,324.2252,0,70.9962,6992,7.46261,3.18,-1,1,-1,324.200341,2+,
1,3,385.2945,0,106.1203,2015,5.32554,4.81,-1,1,-1,324.200341,2+,
1,2,761.4306,0,82.4078,2982,4.58782,5.29,-1,1,-1,761.9052875,2+,
1,4,761.4328,0,93.7462,2279,4.53759,6,-1,1,-1,761.9052875,2+,
1,1,761.7619,0,82.3283,2568,4.69727,5.29,-1,1,-1,761.9052875,2+,
1,6,761.9219,0,96.2413,13823,6.19194,6.19,-1,1,-1,761.9052875,2+,
1,3,762.4227,0,92.9727,12698,6.37192,5.94,-1,1,-1,761.9052875,2+,
1,8,762.4248,0,96.7034,12698,6.37192,6.19,-1,1,-1,761.9052875,2+,
1,7,762.9373,0,96.4552,5341,4.01039,6.19,-1,1,-1,761.9052875,2+,
1,5,763.4542,0,95.0923,4704,6.2209,6.13,-1,1,-1,761.9052875,2+,
