func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,72.0883,0.0,26.4459,20194,6.49432,1.72,-1.0,1,-1.0
1,2,86.1071,0.0,27.7436,5593,5.93898,1.79,-1.0,1,-1.0
1,3,117.1185,0.0,29.8773,2286,5.25092,1.91,-1.0,1,-1.0
1,4,129.1198,0.0,30.3446,9587,5.34911,1.97,-1.0,1,-1.0
1,6,136.094,0.0,32.8058,8789,5.42785,2.1,-1.0,1,-1.0
1,5,141.122,0.0,31.4222,2800,5.87691,2.04,-1.0,1,-1.0
1,7,143.1353,0.0,33.9932,27757,5.89426,2.16,-1.0,1,-1.0
1,10,169.1208,0.0,36.8533,6489,5.63329,2.36,-1.0,1,-1.0
1,8,171.1352,0.0,34.6822,19907,5.5105,2.23,-1.0,1,-1.0
1,9,175.1444,0.0,35.8945,3247,4.98354,2.29,-1.0,1,-1.0
1,11,183.176,0.0,40.8227,1901,4.92625,2.61,-1.0,1,-1.0
1,13,225.193,0.0,46.6103,5023,5.49698,3.0,-1.0,1,-1.0
1,12,228.1656,0.0,44.9047,17457,7.19534,2.87,-1.0,1,-1.0
1,14,235.1783,0.0,46.8489,3735,5.86152,3.0,-1.0,1,-1.0
1,19,242.2192,0.0,51.1155,9527,5.65571,3.32,-1.0,1,-1.0
1,15,244.126,0.0,46.8761,13583,6.20599,3.0,-1.0,1,-1.0
1,17,262.1894,0.0,49.6672,2771,5.5984,3.19,-1.0,1,-1.0
1,18,270.2171,0.0,50.6394,18505,5.76959,3.26,-1.0,1,-1.0
1,25,282.2185,0.0,58.7074,19944,6.31975,3.77,-1.0,1,-1.0
1,20,284.1632,0.0,51.5079,14925,5.85951,3.32,-1.0,1,-1.0
1,22,287.2504,0.0,54.4171,4936,5.7805,3.51,-1.0,1,-1.0
1,23,326.182,0.0,56.1828,4717,6.36821,3.63,-1.0,1,-1.0
1,29,343.2034,0.0,60.4027,28292,6.1027,3.89,-1.0,1,-1.0
1,30,363.2493,0.0,61.554,6199,5.63196,3.95,-1.0,1,-1.0
1,16,392.2351,0.0,48.8987,11202,4.10551,3.12,-1.0,1,-1.0
1,36,395.2136,0.0,65.6202,7526,6.29283,4.21,-1.0,1,-1.0
