func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,2,70.072,0.0,27.7603,20272,7.35655,1.79,-1.0,1,-1.0
1,1,88.05,0.0,27.1882,3551,6.73231,1.79,-1.0,1,-1.0
1,4,127.1032,0.0,36.9467,3552,7.25521,2.36,-1.0,1,-1.0
1,3,145.0801,0.0,34.9556,6163,7.18595,2.23,-1.0,1,-1.0
1,6,173.0777,0.0,41.223,2833,4.29826,2.68,-1.0,1,-1.0
1,5,173.079,0.0,39.3621,2265,3.67381,2.55,-1.0,1,-1.0
1,7,175.1413,0.0,42.5976,5337,6.8402,2.74,-1.0,1,-1.0
1,8,183.1722,0.0,48.4211,16420,7.93024,3.13,-1.0,1,-1.0
1,15,211.17,0.0,57.3647,10578,7.72457,3.71,-1.0,1,-1.0
1,10,224.1306,0.0,50.1461,17407,7.46176,3.26,-1.0,1,-1.0
1,17,244.1979,0.0,59.5093,6665,7.60345,3.84,-1.0,1,-1.0
1,12,252.1294,0.0,55.281,12694,7.29345,3.58,-1.0,1,-1.0
1,32,268.2,0.0,66.1366,4606,7.9393,4.28,-1.0,1,-1.0
1,13,270.1376,0.0,55.9553,37613,7.75252,3.58,-1.0,1,-1.0
1,14,271.1484,0.0,56.9946,4021,4.87429,3.64,-1.0,1,-1.0
1,44,294.2197,0.0,77.9065,2314,5.04088,4.99,-1.0,1,-1.0
1,9,310.9385,0.0,50.0605,3919,6.86765,3.26,-1.0,1,-1.0
1,42,312.2345,0.0,72.1277,6043,8.07364,4.67,-1.0,1,-1.0
1,11,324.965,0.0,53.1409,3847,6.89271,3.44,-1.0,1,-1.0
1,46,337.2294,0.0,79.8622,9183,9.36028,5.11,-1.0,1,-1.0
1,43,338.2266,0.0,74.8733,7506,8.50487,4.79,-1.0,1,-1.0
1,48,355.2395,0.0,81.9908,26735,8.88911,5.24,-1.0,1,-1.0
1,47,356.2476,0.0,80.4145,6563,8.75783,5.17,-1.0,1,-1.0
1,45,365.2287,0.0,78.2083,7513,8.18172,5.05,-1.0,1,-1.0
1,49,383.2412,0.0,81.9966,11846,8.5288,5.24,-1.0,1,-1.0
1,18,395.2565,0.0,60.8218,23844,6.15195,3.89,-1.0,1,-1.0
1,19,395.761,0.0,60.865,13944,6.14624,3.89,-1.0,1,-1.0
1,20,396.2703,0.0,60.9832,3878,5.79996,3.89,-1.0,1,-1.0
1,21,404.2474,0.0,61.164,49914,5.95196,3.95,-1.0,1,-1.0
1,16,404.4765,0.0,59.4376,1133,2.12795,3.83,-1.0,1,-1.0
1,26,404.4768,0.0,62.7287,2468,3.76384,4.02,-1.0,1,-1.0
1,24,404.7553,0.0,61.7952,37716,5.84597,3.95,-1.0,1,-1.0
1,25,404.9776,0.0,61.8833,2252,4.65344,3.95,-1.0,1,-1.0
1,23,405.1233,0.0,61.4426,1895,4.59899,3.95,-1.0,1,-1.0
1,22,405.2823,0.0,61.1814,15434,5.90881,3.95,-1.0,1,-1.0
1,30,423.7782,0.0,64.8251,10520,7.2829,4.15,-1.0,1,-1.0
1,31,424.2804,0.0,65.242,5938,7.88862,4.21,-1.0,1,-1.0
1,27,432.7812,0.0,64.4689,16124,5.96185,4.15,-1.0,1,-1.0
1,29,433.2843,0.0,64.7786,9194,5.72355,4.15,-1.0,1,-1.0
