func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,7,594.0962,0.0,72.6637,1738,4.29888,4.66,-1.0,1,-1.0
1,1,646.8552,0.0,61.4445,2586,4.07331,3.94,-1.0,1,-1.0
1,9,646.8659,0.0,74.0296,14494,4.85031,4.78,-1.0,1,-1.0
1,12,647.1306,0.0,76.1476,5044,2.75021,4.91,-1.0,1,-1.0
1,6,647.1311,0.0,72.4798,7418,3.52832,4.65,-1.0,1,-1.0
1,5,647.3883,0.0,72.2843,4934,3.58458,4.65,-1.0,1,-1.0
1,13,647.3894,0.0,76.5676,3470,3.05125,4.91,-1.0,1,-1.0
1,11,647.6458,0.0,75.9631,1262,2.54292,4.84,-1.0,1,-1.0
1,4,647.6482,0.0,72.1928,1928,3.46862,4.65,-1.0,1,-1.0
1,8,647.8329,0.0,73.9355,1860,3.92125,4.71,-1.0,1,-1.0
1,2,648.0938,0.0,62.0353,1304,2.97569,4.01,-1.0,1,-1.0
1,10,648.0943,0.0,74.2749,2607,3.51452,4.78,-1.0,1,-1.0
1,19,745.4256,0.0,80.4036,2420,5.62888,5.16,-1.0,1,-1.0
1,17,748.7635,0.0,79.2809,2432,5.51854,5.1,-1.0,1,-1.0
1,18,749.1004,0.0,79.5837,2942,5.69641,5.1,-1.0,1,-1.0
1,3,791.4416,0.0,64.9995,1464,4.35301,4.14,-1.0,1,-1.0
1,15,791.4523,0.0,77.4975,5555,6.06748,4.97,-1.0,1,-1.0
1,14,791.7837,0.0,77.4419,7068,6.21517,4.97,-1.0,1,-1.0
1,16,792.1178,0.0,77.851,4378,6.02853,4.97,-1.0,1,-1.0
