func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,72.0868,0.0,29.7646,44275,7.48699,1.92,-1.0,1,-1.0
1,5,72.0886,0.0,47.4165,3316,3.83099,3.07,-1.0,1,-1.0
1,2,86.105,0.0,30.9881,27920,7.25902,1.98,-1.0,1,-1.0
1,7,86.1055,0.0,48.1646,4014,6.69557,3.14,-1.0,1,-1.0
1,3,147.132,0.0,36.5994,10401,6.53032,2.36,-1.0,1,-1.0
1,6,185.1758,0.0,48.1373,101648,8.50394,3.13,-1.0,1,-1.0
1,4,185.3278,0.0,46.2028,3309,2.87918,3.0,-1.0,1,-1.0
1,10,185.3283,0.0,48.6517,5998,4.7171,3.13,-1.0,1,-1.0
1,11,185.5226,0.0,48.6813,12235,5.03771,3.13,-1.0,1,-1.0
1,8,185.5656,0.0,48.208,9412,4.19131,3.13,-1.0,1,-1.0
1,9,186.1902,0.0,48.2451,30568,7.24288,3.13,-1.0,1,-1.0
1,15,213.1728,0.0,51.2617,105454,8.46793,3.32,-1.0,1,-1.0
1,12,213.3357,0.0,49.1824,2828,2.65222,3.19,-1.0,1,-1.0
1,22,213.3367,0.0,54.2377,5584,4.58089,3.51,-1.0,1,-1.0
1,16,213.5455,0.0,52.3117,8181,4.3882,3.39,-1.0,1,-1.0
1,13,213.5917,0.0,51.172,13526,4.28885,3.32,-1.0,1,-1.0
1,14,214.1951,0.0,51.187,31030,7.51672,3.32,-1.0,1,-1.0
1,18,229.1513,0.0,53.7878,4993,7.74611,3.45,-1.0,1,-1.0
1,23,260.232,0.0,61.6257,4784,7.18586,3.96,-1.0,1,-1.0
1,30,300.1974,0.0,65.4073,5015,8.62795,4.22,-1.0,1,-1.0
1,44,328.2236,0.0,73.1017,56368,8.54458,4.72,-1.0,1,-1.0
1,48,329.238,0.0,73.7547,15685,8.08831,4.72,-1.0,1,-1.0
1,47,347.2772,0.0,73.7375,18849,8.10443,4.72,-1.0,1,-1.0
1,52,371.2836,0.0,79.1866,3834,4.90776,5.11,-1.0,1,-1.0
1,17,381.2526,0.0,53.7323,7314,4.9278,3.44,-1.0,1,-1.0
1,19,381.7553,0.0,53.84,3401,4.70006,3.44,-1.0,1,-1.0
1,53,399.2715,0.0,83.8717,35219,8.57185,5.37,-1.0,1,-1.0
1,54,400.285,0.0,84.2155,5769,5.31046,5.43,-1.0,1,-1.0
1,26,437.7882,0.0,64.8846,33966,6.02881,4.15,-1.0,1,-1.0
1,27,438.2954,0.0,64.9325,21552,5.62267,4.15,-1.0,1,-1.0
1,28,438.8061,0.0,64.9988,6886,5.85972,4.15,-1.0,1,-1.0
