func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,2,84.0901,0.0,25.3013,3120,6.10014,1.66,-1.0,1,-1.0
1,4,86.1073,0.0,28.8213,4291,6.15649,1.85,-1.0,1,-1.0
1,3,110.0847,0.0,26.0259,10970,5.58139,1.72,-1.0,1,-1.0
1,6,115.1022,0.0,30.0939,3292,5.91167,1.97,-1.0,1,-1.0
1,1,119.0649,0.0,25.2709,3342,5.63556,1.65,-1.0,1,-1.0
1,7,129.1197,0.0,30.9585,5237,5.54948,1.97,-1.0,1,-1.0
1,9,130.1045,0.0,31.131302,2705,5.64121,2.04,-1.0,1,-1.0
1,15,136.0824,0.0,33.8283,89836,7.02194,2.16,-1.0,1,-1.0
1,24,136.0934,0.0,44.5891,405,3.09075,2.87,-1.0,1,-1.0
1,10,136.2125,0.0,33.3565,10494,5.27955,2.16,-1.0,1,-1.0
1,12,136.3796,0.0,33.5085,9660,4.27322,2.16,-1.0,1,-1.0
1,11,136.4171,0.0,33.4277,6721,3.50556,2.16,-1.0,1,-1.0
1,14,137.0971,0.0,33.7139,21806,5.98788,2.16,-1.0,1,-1.0
1,8,143.101,0.0,30.9699,2762,5.63923,1.97,-1.0,1,-1.0
1,5,147.0643,0.0,29.7228,9383,5.45916,1.91,-1.0,1,-1.0
1,13,147.1345,0.0,33.7113,6846,5.63383,2.16,-1.0,1,-1.0
1,16,159.1138,0.0,36.3472,2064,3.43194,2.36,-1.0,1,-1.0
1,17,173.1163,0.0,36.9861,4452,5.77113,2.36,-1.0,1,-1.0
1,18,201.1154,0.0,38.9791,7805,6.25089,2.49,-1.0,1,-1.0
1,20,207.1279,0.0,43.6584,75797,7.21477,2.81,-1.0,1,-1.0
1,19,207.2872,0.0,43.0099,5376,5.27365,2.81,-1.0,1,-1.0
1,21,207.4934,0.0,43.7173,5062,3.65202,2.81,-1.0,1,-1.0
1,22,207.5403,0.0,43.8104,3066,3.52153,2.81,-1.0,1,-1.0
1,23,208.1465,0.0,43.8668,20577,6.33855,2.81,-1.0,1,-1.0
1,30,223.1863,0.0,47.9093,3306,6.36642,3.06,-1.0,1,-1.0
1,31,230.1837,0.0,48.2253,3299,5.89692,3.13,-1.0,1,-1.0
