func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,70.047,0.0,15.939701,2387,2.69858,1.02,-1.0,1,-1.0
1,2,86.0878,0.0,15.9981,7823,2.81451,1.02,-1.0,1,-1.0
1,3,129.1177,0.0,16.02,1046,2.41871,1.07,-1.0,1,-1.0
1,4,130.1017,0.0,16.022,1322,2.53085,1.07,-1.0,1,-1.0
1,5,147.1331,0.0,16.1101,4002,2.4674,1.07,-1.0,1,-1.0
1,6,159.1376,0.0,16.2033,4798,2.43091,1.07,-1.0,1,-1.0
1,9,173.1581,0.0,16.4878,3860,2.76626,1.07,-1.0,1,-1.0
1,7,181.1269,0.0,16.4213,6823,2.61293,1.07,-1.0,1,-1.0
1,12,183.1446,0.0,16.5785,3508,2.70039,1.07,-1.0,1,-1.0
1,13,183.182,0.0,16.6529,4055,2.85021,1.07,-1.0,1,-1.0
1,8,187.1418,0.0,16.4318,2340,2.54863,1.07,-1.0,1,-1.0
1,11,199.1416,0.0,16.565,9618,2.79205,1.07,-1.0,1,-1.0
1,10,200.1509,0.0,16.508,1259,2.47245,1.07,-1.0,1,-1.0
1,16,201.1596,0.0,16.8632,4511,2.88672,1.07,-1.0,1,-1.0
1,15,209.1276,0.0,16.7604,11888,2.98773,1.07,-1.0,1,-1.0
1,14,210.1363,0.0,16.7032,1796,2.77037,1.07,-1.0,1,-1.0
1,18,211.1836,0.0,18.2673,2644,3.7444,1.2,-1.0,1,-1.0
1,17,227.1438,0.0,17.0279,6961,3.13671,1.14,-1.0,1,-1.0
1,22,260.2446,0.0,24.1183,9543,5.33032,1.59,-1.0,1,-1.0
1,20,274.1919,0.0,21.3207,3175,4.70603,1.39,-1.0,1,-1.0
1,21,282.234,0.0,23.8694,2848,5.52116,1.52,-1.0,1,-1.0
1,29,294.233,0.0,28.691,14437,6.34221,1.84,-1.0,1,-1.0
1,24,298.2306,0.0,26.1776,4112,5.98132,1.71,-1.0,1,-1.0
1,30,322.2359,0.0,29.392,7127,7.21613,1.9,-1.0,1,-1.0
1,31,340.247,0.0,31.095001,5591,5.96966,2.03,-1.0,1,-1.0
1,28,344.2181,0.0,28.6698,4424,6.85375,1.83,-1.0,1,-1.0
1,37,373.2553,0.0,36.2803,2753,6.48486,2.35,-1.0,1,-1.0
1,34,381.2796,0.0,34.5259,11511,6.24464,2.22,-1.0,1,-1.0
1,35,391.2526,0.0,35.1472,46180,6.7674,2.28,-1.0,1,-1.0
1,48,391.302,0.0,42.1939,7648,4.06419,2.73,-1.0,1,-1.0
1,36,392.2706,0.0,35.2336,15931,6.19995,2.28,-1.0,1,-1.0
1,38,409.2706,0.0,36.4605,36566,7.22349,2.35,-1.0,1,-1.0
1,39,410.2848,0.0,36.7246,10772,6.99995,2.35,-1.0,1,-1.0
1,19,411.2825,0.0,20.7695,1484,3.69875,1.32,-1.0,1,-1.0
1,46,427.2918,0.0,39.6523,9449,6.89847,2.54,-1.0,1,-1.0
1,47,431.2613,0.0,39.7734,12748,7.66517,2.54,-1.0,1,-1.0
1,23,460.8238,0.0,25.9766,2486,4.61495,1.64,-1.0,1,-1.0
1,55,462.3468,0.0,48.0807,19075,7.48924,3.12,-1.0,1,-1.0
1,58,463.3538,0.0,48.5023,6437,7.16642,3.12,-1.0,1,-1.0
1,54,475.2808,0.0,47.0689,3958,7.40776,3.05,-1.0,1,-1.0
1,60,480.3649,0.0,50.5185,9389,7.2626,3.25,-1.0,1,-1.0
1,59,486.3133,0.0,48.7405,2284,4.20508,3.12,-1.0,1,-1.0
1,57,490.3433,0.0,48.4546,28924,7.35874,3.12,-1.0,1,-1.0
1,56,491.353,0.0,48.1451,10848,7.09386,3.12,-1.0,1,-1.0
1,27,495.3391,0.0,26.9214,2568,5.07406,1.7,-1.0,1,-1.0
1,62,502.3566,0.0,55.8497,6741,7.71331,3.57,-1.0,1,-1.0
1,26,504.3471,0.0,26.8193,2660,4.7585,1.7,-1.0,1,-1.0
1,25,504.848,0.0,26.7686,1637,4.20697,1.7,-1.0,1,-1.0
1,66,508.3636,0.0,59.5217,323,3.03804,3.83,-1.0,1,-1.0
1,61,508.3656,0.0,51.8394,9770,8.47458,3.31,-1.0,1,-1.0
1,68,519.3832,0.0,59.8693,16306,7.85725,3.83,-1.0,1,-1.0
1,65,520.3882,0.0,59.0889,5129,7.96243,3.83,-1.0,1,-1.0
1,32,560.9001,0.0,31.9613,2933,4.50107,2.03,-1.0,1,-1.0
1,33,561.4008,0.0,31.985802,2169,4.46817,2.03,-1.0,1,-1.0
1,63,562.3242,0.0,56.8047,13403,8.158,3.63,-1.0,1,-1.0
1,64,563.329,0.0,57.328,4291,8.32534,3.7,-1.0,1,-1.0
