func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
1,1,72.0657,0.0,15.8524,1041,2.73786,1.02,-1.0,1,-1.0
1,2,104.0583,0.0,15.9953,2196,2.42716,1.02,-1.0,1,-1.0
1,3,129.1188,0.0,16.0371,774,2.64057,1.07,-1.0,1,-1.0
1,5,136.0969,0.0,16.1027,2280,2.4773,1.07,-1.0,1,-1.0
1,4,147.1381,0.0,16.0933,1151,2.46736,1.07,-1.0,1,-1.0
1,6,158.1281,0.0,16.1813,3798,2.43465,1.07,-1.0,1,-1.0
1,10,203.1555,0.0,17.0334,20403,3.2898,1.14,-1.0,1,-1.0
1,7,203.3065,0.0,16.8713,962,2.11646,1.07,-1.0,1,-1.0
1,8,204.1688,0.0,16.9563,3622,3.03388,1.07,-1.0,1,-1.0
1,9,205.1635,0.0,17.0026,1420,2.88575,1.14,-1.0,1,-1.0
1,13,231.1624,0.0,18.0348,8123,3.63136,1.2,-1.0,1,-1.0
1,14,262.1934,0.0,19.8144,5560,4.24055,1.27,-1.0,1,-1.0
1,11,326.6922,0.0,17.0669,998,2.77891,1.13,-1.0,1,-1.0
1,12,370.2172,0.0,18.0256,1736,3.49048,1.19,-1.0,1,-1.0
1,39,373.2458,0.0,32.6933,3568,6.03089,2.09,-1.0,1,-1.0
1,43,390.2753,0.0,36.6736,4333,5.88715,2.35,-1.0,1,-1.0
1,40,424.2392,0.0,34.9571,4964,6.43291,2.22,-1.0,1,-1.0
1,15,435.7611,0.0,20.8751,4565,4.3,1.32,-1.0,1,-1.0
1,16,436.2651,0.0,21.0016,3503,4.3406,1.38,-1.0,1,-1.0
1,47,477.319,0.0,46.3151,17654,6.88162,2.99,-1.0,1,-1.0
1,48,478.324,0.0,46.3916,2609,4.24636,2.99,-1.0,1,-1.0
1,19,487.3067,0.0,25.6445,1952,4.88621,1.64,-1.0,1,-1.0
1,21,487.8058,0.0,25.9179,2697,5.30269,1.64,-1.0,1,-1.0
1,17,492.7956,0.0,24.8525,2815,5.43127,1.58,-1.0,1,-1.0
1,18,493.2933,0.0,25.3167,3105,4.95139,1.64,-1.0,1,-1.0
1,20,500.7968,0.0,25.6994,4671,5.43124,1.64,-1.0,1,-1.0
1,25,501.3034,0.0,26.3585,9885,4.85527,1.7,-1.0,1,-1.0
1,24,501.8007,0.0,26.2909,12019,4.7977,1.7,-1.0,1,-1.0
1,23,502.3025,0.0,26.2086,6610,4.82036,1.7,-1.0,1,-1.0
1,22,502.8055,0.0,26.0842,2554,4.79556,1.7,-1.0,1,-1.0
1,46,511.2897,0.0,45.0467,4086,7.61287,2.93,-1.0,1,-1.0
1,30,528.3379,0.0,29.982,2173,5.50221,1.9,-1.0,1,-1.0
1,31,528.8367,0.0,29.9829,2797,5.78385,1.9,-1.0,1,-1.0
1,38,536.8496,0.0,31.208702,4541,4.69941,2.03,-1.0,1,-1.0
1,36,537.3484,0.0,31.116402,7143,5.29215,2.03,-1.0,1,-1.0
1,33,537.8493,0.0,30.8788,4367,5.28673,1.96,-1.0,1,-1.0
1,32,550.3434,0.0,30.3308,2780,5.3183,1.96,-1.0,1,-1.0
1,35,550.8485,0.0,31.058502,4636,5.28656,2.03,-1.0,1,-1.0
1,34,551.3495,0.0,30.8947,5258,5.08086,1.96,-1.0,1,-1.0
1,37,551.8517,0.0,31.202301,2780,5.21591,2.03,-1.0,1,-1.0
1,79,592.3688,0.0,61.0926,18971,7.99159,3.95,-1.0,1,-1.0
1,76,593.3773,0.0,60.645,5950,7.78026,3.89,-1.0,1,-1.0
1,42,615.3819,0.0,35.1236,2326,5.07962,2.28,-1.0,1,-1.0
1,41,615.8814,0.0,35.0408,2797,5.04042,2.28,-1.0,1,-1.0
