func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,70.0775,0.0,16.3626,932,932.0
1,7,72.0942,0.0,16.5805,755,755.0
1,2,84.0601,0.0,16.2946,159,159.0
1,6,84.097,0.0,16.5288,329,329.0
1,11,86.1114,0.0,16.8719,1625,1625.0
1,1,110.0465,0.0,16.274,223,223.0
1,5,110.0914,0.0,16.5145,1934,1934.0
1,4,111.0944,0.0,16.3766,204,204.0
1,13,120.1022,0.0,17.4747,312,312.0
1,9,122.1041,0.0,16.7882,944,944.0
1,12,129.1256,0.0,17.4297,340,340.0
1,10,130.0893,0.0,16.8016,898,898.0
1,8,133.1089,0.0,16.7544,161,161.0
1,15,136.1002,0.0,18.2484,984,984.0
1,14,137.1047,0.0,18.1751,124,124.0
1,20,143.1438,0.0,18.9893,145,145.0
1,18,147.144,0.0,18.6579,135,135.0
1,16,158.1241,0.0,18.4096,190,190.0
1,23,159.1211,0.0,20.2787,1501,1501.0
1,24,160.1255,0.0,20.3165,225,225.0
1,21,166.0911,0.0,19.2795,171,171.0
1,17,167.1223,0.0,18.419,130,130.0
1,25,169.1652,0.0,20.5279,347,347.0
1,19,170.0913,0.0,18.8374,471,471.0
1,22,175.1511,0.0,19.9625,1668,1668.0
1,26,184.1508,0.0,21.8589,135,135.0
1,29,185.1981,0.0,24.5795,646,646.0
1,30,195.0323,0.0,24.7908,250,250.0
1,28,197.0315,0.0,24.493,127,127.0
1,31,197.1603,0.0,25.322,111,111.0
1,35,199.2164,0.0,27.9425,314,314.0
1,32,204.1724,0.0,25.7208,194,194.0
1,27,205.0603,0.0,23.4636,173,173.0
1,34,213.1978,0.0,27.1649,378,378.0
1,33,214.9582,0.0,25.9158,135,135.0
1,38,223.1949,0.0,30.1833,627,627.0
1,36,224.1574,0.0,28.3178,269,269.0
1,44,227.2136,0.0,31.7612,154,154.0
1,39,237.1762,0.0,30.7129,377,377.0
1,37,239.1627,0.0,28.8305,484,484.0
1,56,251.1957,0.0,34.7458,701,701.0
1,53,252.1957,0.0,33.73,132,132.0
1,41,255.1908,0.0,31.134201,998,998.0
1,45,256.192,0.0,31.8679,802,802.0
1,43,257.1935,0.0,31.6039,158,158.0
1,54,265.1751,0.0,34.0678,258,258.0
1,60,272.2198,0.0,36.3727,998,998.0
1,48,273.0603,0.0,32.4227,110,110.0
1,61,273.2271,0.0,36.5582,119,119.0
1,47,284.1887,0.0,32.3743,604,604.0
1,46,285.1943,0.0,31.874298,157,157.0
1,52,290.0403,0.0,33.5055,103,103.0
1,96,296.2481,0.0,45.0536,108,108.0
1,50,307.0662,0.0,33.1835,551,551.0
1,84,314.2657,0.0,44.2175,157,157.0
1,74,315.2285,0.0,40.957,113,113.0
1,73,327.1909,0.0,40.9235,135,135.0
1,90,334.2489,0.0,44.5842,839,839.0
1,94,335.2508,0.0,44.9728,171,171.0
1,108,338.2482,0.0,47.9642,255,255.0
1,107,350.2819,0.0,46.9688,202,202.0
