func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,2,70.0757,0.0,16.303,655,655.0
1,8,72.0913,0.0,16.6904,233,233.0
1,1,73.0406,0.0,16.211,126,126.0
1,4,77.0293,0.0,16.3389,173,173.0
1,10,86.1092,0.0,16.8251,548,548.0
1,7,89.0718,0.0,16.6224,647,647.0
1,3,93.0257,0.0,16.3285,452,452.0
1,11,108.0592,0.0,16.8426,134,134.0
1,5,109.0053,0.0,16.4778,1239,1239.0
1,15,120.0977,0.0,17.4364,251,251.0
1,6,122.101,0.0,16.578,177,177.0
1,16,129.1213,0.0,17.9327,170,170.0
1,12,133.1055,0.0,16.964,644,644.0
1,18,136.0966,0.0,18.0088,226,226.0
1,13,140.9804,0.0,16.9911,395,395.0
1,19,141.1213,0.0,18.4538,213,213.0
1,17,147.1357,0.0,17.9599,159,159.0
1,14,151.0322,0.0,17.3787,892,892.0
1,22,175.1444,0.0,20.1811,231,231.0
1,20,177.1389,0.0,18.5222,173,173.0
1,21,178.0807,0.0,19.0941,471,471.0
1,38,751.4884,0.0,102.0127,214,214.0
1,19,141.1213,0.0,18.4538,213,213.0
1,35,690.4587,0.0,88.0794,207,207.0
1,34,618.4088,0.0,78.0331,204,204.0
1,6,122.101,0.0,16.578,177,177.0
1,4,77.0293,0.0,16.3389,173,173.0
1,20,177.1389,0.0,18.5222,173,173.0
1,16,129.1213,0.0,17.9327,170,170.0
1,33,427.2664,0.0,54.8155,169,169.0
1,17,147.1357,0.0,17.9599,159,159.0
1,27,416.2657,0.0,33.3855,144,144.0
1,31,527.316,0.0,43.6856,137,137.0
1,11,108.0592,0.0,16.8426,134,134.0
1,32,576.848,0.0,49.9236,129,129.0
1,26,415.762,0.0,33.109,127,127.0
1,1,73.0406,0.0,16.211,126,126.0
1,24,214.1452,0.0,24.3507,116,116.0
