func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,5,55.0578,0.0,16.0142,158,158.0
1,1,56.054,0.0,15.8773,304,304.0
1,3,70.032,0.0,15.9746,274,274.0
1,9,70.0685,0.0,16.0824,1538,1538.0
1,4,72.0848,0.0,15.998299,373,373.0
1,2,84.0482,0.0,15.9625,1533,1533.0
1,8,84.0847,0.0,16.0723,617,617.0
1,13,86.0996,0.0,16.1306,2980,2980.0
1,20,87.059,0.0,16.1893,321,321.0
1,11,87.1038,0.0,16.1051,172,172.0
1,7,91.058,0.0,16.0593,247,247.0
1,16,102.0591,0.0,16.1451,660,660.0
1,10,110.0754,0.0,16.1038,1715,1715.0
1,14,116.0743,0.0,16.1373,285,285.0
1,15,119.0514,0.0,16.138,268,268.0
1,21,120.085,0.0,16.1916,1091,1091.0
1,18,129.0694,0.0,16.1643,274,274.0
1,29,129.1066,0.0,16.3167,255,255.0
1,19,130.0696,0.0,16.1758,792,792.0
1,22,132.0868,0.0,16.2439,452,452.0
1,26,136.0804,0.0,16.2833,1986,1986.0
1,6,137.0834,0.0,16.051,193,193.0
1,24,141.0713,0.0,16.2486,201,201.0
1,23,144.0796,0.0,16.2442,202,202.0
1,17,146.0672,0.0,16.1548,208,208.0
1,12,147.1177,0.0,16.1052,158,158.0
1,32,152.1106,0.0,16.4066,173,173.0
1,27,155.0923,0.0,16.2877,217,217.0
1,25,158.0977,0.0,16.2771,425,425.0
1,30,159.0977,0.0,16.3524,1622,1622.0
1,31,160.0977,0.0,16.3536,278,278.0
1,28,170.0652,0.0,16.2924,713,713.0
1,37,170.1225,0.0,16.6412,546,546.0
1,34,173.137,0.0,16.4593,241,241.0
1,33,175.1249,0.0,16.4562,1392,1392.0
1,36,183.1196,0.0,16.5989,192,192.0
1,35,187.0918,0.0,16.5466,202,202.0
1,43,197.1337,0.0,17.3895,1017,1017.0
1,40,198.1365,0.0,17.2711,218,218.0
1,44,200.1489,0.0,17.4266,303,303.0
1,42,207.1319,0.0,17.3606,255,255.0
1,48,215.1454,0.0,17.7818,3370,3370.0
1,41,216.0732,0.0,17.3565,147,147.0
1,46,216.1472,0.0,17.6166,272,272.0
1,49,218.1588,0.0,18.1,195,195.0
1,52,225.1289,0.0,18.2932,261,261.0
1,51,235.1276,0.0,18.2401,560,560.0
1,56,243.1483,0.0,20.2307,142,142.0
1,57,250.126,0.0,20.2571,408,408.0
1,61,255.1596,0.0,21.7314,236,236.0
1,55,261.0929,0.0,20.1147,313,313.0
1,60,266.1269,0.0,21.1879,175,175.0
1,64,272.1844,0.0,23.2482,309,309.0
1,62,274.1435,0.0,22.5617,290,290.0
1,66,292.1521,0.0,24.1492,357,357.0
1,69,294.152,0.0,24.669,133,133.0
1,63,309.179,0.0,23.2211,199,199.0
1,38,313.67,0.0,16.8145,868,868.0
1,39,314.1701,0.0,16.9396,251,251.0
1,77,335.1499,0.0,28.7512,144,144.0
1,79,339.1811,0.0,30.1019,699,699.0
1,78,340.1811,0.0,29.9812,151,151.0
1,85,357.1968,0.0,33.7895,221,221.0
1,80,361.2104,0.0,31.4281,1008,1008.0
1,45,362.1989,0.0,17.565,871,871.0
1,81,362.215,0.0,31.922302,187,187.0
1,47,362.699,0.0,17.6763,377,377.0
1,82,363.1914,0.0,32.1734,224,224.0
1,53,373.1895,0.0,19.0953,234,234.0
1,50,382.2037,0.0,18.2382,129,129.0
1,58,390.7095,0.0,20.3635,865,865.0
1,59,391.2096,0.0,20.4244,401,401.0
1,54,395.7022,0.0,19.7371,262,262.0
1,89,420.2172,0.0,38.8821,308,308.0
1,91,454.2332,0.0,43.6049,189,189.0
1,90,455.229,0.0,43.5625,165,165.0
1,70,472.2438,0.0,24.74,710,710.0
1,92,472.2528,0.0,47.9191,347,347.0
1,68,472.7472,0.0,24.5141,347,347.0
1,65,477.236,0.0,24.0586,312,312.0
1,67,477.7329,0.0,24.3958,118,118.0
1,93,479.2872,0.0,49.1498,148,148.0
1,94,489.2785,0.0,52.1217,1015,1015.0
1,95,490.2864,0.0,52.4157,303,303.0
1,71,512.24,0.0,26.3023,326,326.0
1,72,512.7432,0.0,26.5239,240,240.0
1,73,520.7629,0.0,27.2037,183,183.0
1,74,521.2528,0.0,27.4956,129,129.0
1,75,529.2645,0.0,28.1437,308,308.0
1,76,529.7718,0.0,28.2248,227,227.0
1,83,585.8133,0.0,33.6738,145,145.0
1,84,591.2909,0.0,33.7555,138,138.0
1,96,609.3183,0.0,65.4133,183,183.0
1,97,626.343,0.0,68.2627,633,633.0
1,98,627.3398,0.0,69.837,229,229.0
1,86,632.8179,0.0,36.4422,115,115.0
1,87,641.3314,0.0,37.1334,114,114.0
1,88,641.829,0.0,37.5965,127,127.0
1,99,723.3998,0.0,79.9843,1002,1002.0
1,100,724.3976,0.0,80.3095,443,443.0
1,103,763.4012,0.0,87.051,191,191.0
1,102,780.4205,0.0,82.6638,1879,1879.0
1,101,781.4218,0.0,82.1729,761,761.0
1,105,943.4869,0.0,110.1375,556,556.0
1,104,944.4815,0.0,107.8077,303,303.0
1,106,1057.5315,0.0,121.6486,618,618.0
1,108,1057.5402,0.0,127.0614,443,443.0
1,107,1058.5314,0.0,125.5676,345,345.0
