func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,3,101.0599,0.0,16.0725,1849,1849.0
1,5,111.0433,0.0,16.0741,3669,3669.0
1,1,112.0479,0.0,15.9832,184,184.0
1,4,113.0622,0.0,16.074,305,305.0
1,12,114.0919,0.0,16.1852,353,353.0
1,6,120.0775,0.0,16.102,214,214.0
1,2,127.0752,0.0,16.0509,315,315.0
1,13,129.0554,0.0,16.1941,576,576.0
1,14,133.0875,0.0,16.2037,549,549.0
1,7,136.0745,0.0,16.1117,519,519.0
1,9,137.0571,0.0,16.1392,234,234.0
1,19,141.0918,0.0,16.2961,157,157.0
1,8,147.0811,0.0,16.1229,357,357.0
1,16,155.0682,0.0,16.2382,7696,7696.0
1,10,156.075,0.0,16.1633,525,525.0
1,20,169.0854,0.0,16.3239,807,807.0
1,17,173.0777,0.0,16.2903,16541,16541.0
1,11,173.2077,0.0,16.1693,179,179.0
1,15,174.0859,0.0,16.2269,1473,1473.0
1,21,177.1132,0.0,16.3451,315,315.0
1,18,187.095,0.0,16.2952,3558,3558.0
1,22,188.1017,0.0,16.3919,313,313.0
1,23,199.0951,0.0,16.4065,379,379.0
1,29,203.0588,0.0,16.8063,156,156.0
1,26,213.1108,0.0,16.7158,3670,3670.0
1,28,214.1145,0.0,16.7563,296,296.0
1,24,217.1067,0.0,16.6191,2456,2456.0
1,27,218.1073,0.0,16.7394,192,192.0
1,25,219.0589,0.0,16.6442,413,413.0
1,30,231.1207,0.0,17.032,520,520.0
1,33,233.092,0.0,17.3936,214,214.0
1,31,243.1201,0.0,17.0641,127,127.0
1,37,262.1373,0.0,19.0347,224,224.0
1,34,265.1087,0.0,18.1551,203,203.0
1,39,278.1094,0.0,21.3709,228,228.0
1,32,279.1281,0.0,17.0886,174,174.0
1,53,281.2444,0.0,29.4116,124,124.0
1,38,283.1147,0.0,19.6671,135,135.0
1,35,283.1742,0.0,18.7958,185,185.0
1,61,283.2628,0.0,33.055,276,276.0
1,36,287.1544,0.0,18.9495,135,135.0
1,57,307.2633,0.0,32.0908,172,172.0
1,63,309.2757,0.0,34.9724,5720,5720.0
1,64,310.2828,0.0,35.0397,1486,1486.0
1,65,311.2887,0.0,35.7672,250,250.0
1,40,327.144,0.0,23.6142,1434,1434.0
1,42,328.149,0.0,24.2681,213,213.0
1,41,331.1783,0.0,23.6872,144,144.0
1,50,335.1315,0.0,28.8216,384,384.0
1,46,341.163,0.0,25.8934,143,143.0
1,45,345.1507,0.0,25.1789,17285,17285.0
1,44,346.1573,0.0,25.1358,2530,2530.0
1,51,349.1397,0.0,29.0703,144,144.0
1,48,359.1649,0.0,27.6264,7905,7905.0
1,47,360.1729,0.0,27.5289,1137,1137.0
1,43,365.1652,0.0,25.0245,276,276.0
1,49,375.199,0.0,28.4565,133,133.0
1,58,385.1847,0.0,32.3495,2122,2122.0
1,59,386.1859,0.0,32.5728,395,395.0
1,55,389.18,0.0,30.7112,737,737.0
1,54,390.1663,0.0,30.1802,133,133.0
1,56,391.1787,0.0,31.785103,124,124.0
1,52,401.1119,0.0,29.0972,111,111.0
1,60,403.1957,0.0,32.708,379,379.0
1,69,406.1994,0.0,38.9463,178,178.0
1,77,410.2858,0.0,42.1657,103,103.0
1,78,411.2873,0.0,43.6125,139,139.0
1,62,419.2302,0.0,34.7476,178,178.0
1,72,434.2036,0.0,39.7052,126,126.0
1,71,439.2452,0.0,39.6093,212,212.0
1,67,451.2014,0.0,36.1127,193,193.0
1,70,455.1927,0.0,39.1044,499,499.0
1,76,462.2124,0.0,41.8788,182,182.0
1,74,463.249,0.0,40.7106,151,151.0
1,75,473.2022,0.0,40.9769,531,531.0
1,73,474.1951,0.0,39.9285,131,131.0
1,88,488.2428,0.0,48.1242,234,234.0
1,79,499.2144,0.0,43.9002,609,609.0
1,80,500.2178,0.0,44.0489,129,129.0
1,85,513.2301,0.0,46.8245,143,143.0
1,82,517.225,0.0,45.7181,7455,7455.0
1,83,518.232,0.0,46.0178,1564,1564.0
1,87,531.2391,0.0,47.5341,5263,5263.0
1,86,532.2471,0.0,47.5263,1058,1058.0
1,81,537.2351,0.0,45.1413,116,116.0
1,152,546.4194,0.0,69.4286,139,139.0
1,151,547.4203,0.0,68.9616,305,305.0
1,101,557.2579,0.0,54.2887,875,875.0
1,104,558.2684,0.0,54.634,204,204.0
1,98,561.2524,0.0,52.0196,237,237.0
1,103,575.2583,0.0,54.5753,147,147.0
1,108,627.2739,0.0,59.3348,576,576.0
1,110,628.2696,0.0,59.9358,169,169.0
1,112,645.2721,0.0,61.4531,435,435.0
1,68,657.7576,0.0,36.4903,121,121.0
1,66,658.2575,0.0,35.841,122,122.0
1,156,665.5253,0.0,81.0154,131,131.0
1,143,671.2854,0.0,65.3126,225,225.0
1,149,689.2975,0.0,67.5323,3512,3512.0
1,150,690.3038,0.0,67.6281,973,973.0
1,153,703.3133,0.0,69.8922,385,385.0
1,154,729.3371,0.0,75.709,277,277.0
1,155,747.3396,0.0,75.7724,190,190.0
1,157,799.3338,0.0,82.966,333,333.0
1,161,817.3516,0.0,84.6808,717,717.0
1,160,818.3484,0.0,84.1647,235,235.0
1,84,845.1741,0.0,46.3564,124,124.0
1,122,853.1282,0.0,63.7611,103,103.0
1,115,853.5103,0.0,62.4843,121,121.0
1,118,853.719,0.0,63.277496,145,145.0
1,121,853.9145,0.0,63.3553,126,126.0
1,109,855.5197,0.0,59.7428,159,159.0
1,107,855.7582,0.0,58.8158,155,155.0
1,116,856.9223,0.0,62.9666,149,149.0
1,123,857.1196,0.0,63.884705,143,143.0
1,117,857.3262,0.0,63.072495,134,134.0
1,119,857.5299,0.0,63.3463,140,140.0
1,92,865.8375,0.0,49.1141,168,168.0
1,89,866.3309,0.0,48.2174,189,189.0
1,90,866.8235,0.0,48.3496,124,124.0
1,124,869.0274,0.0,63.915,126,126.0
1,139,870.1353,0.0,64.9997,170,170.0
1,144,870.3325,0.0,65.3276,362,362.0
1,140,870.5259,0.0,65.0238,527,527.0
1,147,870.7248,0.0,65.8197,392,392.0
1,145,870.9219,0.0,65.6122,340,340.0
1,146,871.1443,0.0,65.6746,243,243.0
1,132,871.3482,0.0,64.6217,227,227.0
1,148,871.5256,0.0,65.8768,183,183.0
1,131,871.7196,0.0,64.56,138,138.0
1,120,872.3007,0.0,63.3472,151,151.0
1,135,872.5241,0.0,64.7479,223,223.0
1,100,873.016,0.0,54.176,208,208.0
1,97,873.1956,0.0,51.2041,181,181.0
1,113,873.3114,0.0,62.3751,150,150.0
1,142,873.346,0.0,65.2951,203,203.0
1,158,873.3493,0.0,83.057,138,138.0
1,162,873.48,0.0,92.2262,202,202.0
1,99,873.5154,0.0,54.157,559,559.0
1,141,873.5342,0.0,65.0523,414,414.0
1,166,873.6545,0.0,118.9325,159,159.0
1,127,873.722,0.0,64.2473,355,355.0
1,134,873.9243,0.0,64.7094,506,506.0
1,102,874.0178,0.0,54.5053,161,161.0
1,133,874.1297,0.0,64.6287,681,681.0
1,159,874.3262,0.0,83.9706,134,134.0
1,138,874.3389,0.0,64.8497,755,755.0
1,95,874.3495,0.0,49.5367,330,330.0
1,165,874.4909,0.0,93.1959,117,117.0
1,130,874.5307,0.0,64.5002,697,697.0
1,167,874.6478,0.0,122.732,147,147.0
1,136,874.719,0.0,64.8019,369,369.0
1,94,874.8445,0.0,49.4145,490,490.0
1,129,874.9036,0.0,64.3048,144,144.0
1,105,875.0075,0.0,55.4407,122,122.0
1,93,875.341,0.0,49.1914,451,451.0
1,163,875.3824,0.0,93.1444,8531,8531.0
1,114,875.5164,0.0,62.4485,413,413.0
1,96,875.8473,0.0,49.9387,300,300.0
1,125,876.0196,0.0,63.924896,275,275.0
1,106,876.2798,0.0,58.4126,120,120.0
1,128,876.3325,0.0,64.2636,252,252.0
1,164,876.3887,0.0,93.1507,3739,3739.0
1,126,876.5278,0.0,64.1648,629,629.0
1,137,876.7221,0.0,64.8299,301,301.0
1,91,876.8392,0.0,49.0607,143,143.0
1,111,877.0347,0.0,60.9281,344,344.0
