func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,1,104.0996,0.0,16.0869,1038,1038.0
1,2,122.1139,0.0,16.1492,2602,2602.0
1,4,159.1212,0.0,16.282,209,209.0
1,5,199.1625,0.0,16.6827,145,145.0
1,6,202.0407,0.0,16.6833,170,170.0
1,3,204.0614,0.0,16.2204,129,129.0
1,7,250.0541,0.0,17.3609,972,972.0
1,21,291.1221,0.0,18.2953,212,212.0
1,57,307.0907,0.0,19.4613,7288,7288.0
1,53,308.0948,0.0,19.4241,902,902.0
1,58,309.0907,0.0,19.4658,916,916.0
1,50,310.095,0.0,19.326,125,125.0
1,62,311.0921,0.0,19.8719,305,305.0
1,100,341.2375,0.0,25.9246,619,619.0
1,112,341.3449,0.0,30.23,143,143.0
1,91,343.0808,0.0,22.8261,213,213.0
1,89,345.0708,0.0,22.0199,133,133.0
1,103,371.1608,0.0,26.3168,433,433.0
1,84,378.0035,0.0,21.2474,323,323.0
1,106,381.0415,0.0,26.8481,229,229.0
1,123,409.1208,0.0,33.0636,228,228.0
1,94,409.1244,0.0,24.3659,798,798.0
1,95,410.1346,0.0,24.3797,114,114.0
1,113,417.0251,0.0,30.2367,693,693.0
1,114,419.0215,0.0,30.2965,333,333.0
1,182,426.352,0.0,42.8579,266,266.0
1,96,435.0411,0.0,24.6852,1699,1699.0
1,98,436.041,0.0,24.9762,199,199.0
1,99,437.037,0.0,25.3343,208,208.0
1,127,445.1072,0.0,33.983,1639,1639.0
1,133,446.108,0.0,34.3486,202,202.0
1,126,447.1045,0.0,33.4272,690,690.0
1,105,451.9465,0.0,26.8301,435,435.0
1,104,453.9509,0.0,26.8292,178,178.0
1,186,454.3531,0.0,43.1769,1123,1123.0
1,185,455.3548,0.0,43.0552,272,272.0
1,122,459.1309,0.0,32.9693,366,366.0
1,129,461.146,0.0,34.1123,629,629.0
1,128,462.1435,0.0,34.022,133,133.0
1,130,463.1365,0.0,34.224,137,137.0
1,108,473.0073,0.0,27.7983,153,153.0
1,149,481.0949,0.0,38.0717,667,667.0
1,146,482.1002,0.0,37.8005,111,111.0
1,132,483.0664,0.0,34.3338,684,684.0
1,110,491.0093,0.0,28.7552,177,177.0
1,155,499.1073,0.0,39.4091,369,369.0
1,116,499.1108,0.0,32.0617,448,448.0
1,164,502.1498,0.0,40.5789,207,207.0
1,8,505.5611,0.0,17.643,202,202.0
1,11,506.5584,0.0,17.7695,221,221.0
1,118,508.9823,0.0,32.1721,1646,1646.0
1,119,509.9892,0.0,32.2144,191,191.0
