func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,1,104.0972,0.0,16.0412,1004,1004.0
1,2,110.099,0.0,16.0625,1223,1223.0
1,18,117.0254,0.0,16.5255,180,180.0
1,5,120.1107,0.0,16.1488,1380,1380.0
1,3,122.1116,0.0,16.114,2598,2598.0
1,12,129.1357,0.0,16.3014,805,805.0
1,27,129.9975,0.0,16.644,226,226.0
1,4,130.1197,0.0,16.1343,1001,1001.0
1,9,136.1126,0.0,16.2506,628,628.0
1,8,140.1461,0.0,16.2478,267,267.0
1,10,147.1508,0.0,16.2542,497,497.0
1,11,154.1617,0.0,16.2801,1017,1017.0
1,7,157.1734,0.0,16.2129,165,165.0
1,20,160.0723,0.0,16.5478,204,204.0
1,14,166.1048,0.0,16.4368,296,296.0
1,28,166.9098,0.0,16.6448,483,483.0
1,15,171.1927,0.0,16.4872,563,563.0
1,19,172.0167,0.0,16.5379,386,386.0
1,26,202.0358,0.0,16.6315,549,549.0
1,23,204.0526,0.0,16.5933,858,858.0
1,102,204.9457,0.0,17.3949,164,164.0
1,41,207.1777,0.0,16.803,661,661.0
1,30,209.1533,0.0,16.6993,259,259.0
1,50,216.0605,0.0,16.8606,176,176.0
1,58,220.0357,0.0,16.9353,148,148.0
1,116,223.948,0.0,17.6012,387,387.0
1,79,224.956,0.0,17.1609,171,171.0
1,44,225.9646,0.0,16.8197,559,559.0
1,80,226.1758,0.0,17.1723,212,212.0
1,54,226.9567,0.0,16.8991,2186,2186.0
1,109,235.1793,0.0,17.5263,2516,2516.0
1,108,236.1819,0.0,17.5239,353,353.0
1,94,241.9627,0.0,17.2839,349,349.0
1,52,243.9728,0.0,16.8751,189,189.0
1,147,244.0451,0.0,18.027,322,322.0
1,153,244.1955,0.0,18.2066,275,275.0
1,59,244.9733,0.0,16.9368,985,985.0
1,96,250.0513,0.0,17.3034,4807,4807.0
1,104,251.0549,0.0,17.4316,390,390.0
1,92,252.0492,0.0,17.2623,499,499.0
1,151,262.0571,0.0,18.1751,201,201.0
1,163,262.2065,0.0,18.6303,2206,2206.0
1,149,263.0517,0.0,18.0711,246,246.0
1,161,263.2094,0.0,18.5344,314,314.0
1,98,268.0631,0.0,17.3136,148,148.0
1,169,276.9914,0.0,18.8867,158,158.0
1,180,280.0289,0.0,19.9851,379,379.0
1,179,281.1719,0.0,19.865,249,249.0
1,182,282.0265,0.0,20.1404,155,155.0
1,113,282.9971,0.0,17.5561,162,162.0
1,82,283.9963,0.0,17.1935,947,947.0
1,159,288.0175,0.0,18.4348,376,376.0
1,168,289.0727,0.0,18.8571,366,366.0
1,187,301.0084,0.0,20.3876,200,200.0
1,145,306.032,0.0,18.0051,131,131.0
1,229,306.2314,0.0,23.3133,340,340.0
1,176,307.0855,0.0,19.4319,10929,10929.0
1,175,308.0912,0.0,19.4068,1540,1540.0
1,174,309.0865,0.0,19.3995,1610,1610.0
1,172,310.0908,0.0,19.2681,197,197.0
1,177,311.0829,0.0,19.5994,403,403.0
1,233,323.1796,0.0,23.6354,245,245.0
1,221,323.996,0.0,22.7989,500,500.0
1,220,325.9907,0.0,22.6491,392,392.0
1,228,328.2003,0.0,23.2743,180,180.0
1,178,333.883,0.0,19.7141,109,109.0
1,217,334.0223,0.0,22.4377,203,203.0
1,293,341.3263,0.0,29.8323,164,164.0
1,223,342.012,0.0,22.8866,360,360.0
1,212,343.0727,0.0,21.9825,224,224.0
1,215,344.0036,0.0,22.37,274,274.0
1,205,345.0445,0.0,21.5629,6103,6103.0
1,198,346.0464,0.0,21.4345,1016,1016.0
1,197,347.0425,0.0,21.3719,1056,1056.0
1,208,348.0531,0.0,21.7583,138,138.0
1,204,349.0413,0.0,21.5306,409,409.0
1,126,351.8909,0.0,17.7206,1746,1746.0
1,277,355.114,0.0,27.7961,144,144.0
1,190,355.9414,0.0,20.5339,136,136.0
1,253,359.9845,0.0,25.0838,141,141.0
