func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,52,102.9889,0.0,16.4366,194,194.0
1,8,104.0928,0.0,16.0668,1945,1945.0
1,11,110.0932,0.0,16.1296,3779,3779.0
1,2,111.0975,0.0,15.9522,700,700.0
1,12,112.1112,0.0,16.1348,174,174.0
1,44,114.9766,0.0,16.3723,479,479.0
1,4,116.0964,0.0,16.0212,314,314.0
1,36,116.9736,0.0,16.3292,489,489.0
1,42,117.012,0.0,16.3657,765,765.0
1,32,118.9716,0.0,16.299,595,595.0
1,18,120.1056,0.0,16.1896,4029,4029.0
1,15,121.1096,0.0,16.1564,469,469.0
1,13,122.1067,0.0,16.1464,4600,4600.0
1,10,123.1111,0.0,16.1072,279,279.0
1,51,125.0178,0.0,16.4333,171,171.0
1,14,129.1298,0.0,16.1523,1009,1009.0
1,40,129.9915,0.0,16.3531,1006,1006.0
1,9,130.0924,0.0,16.1059,1695,1695.0
1,7,131.0922,0.0,16.0457,243,243.0
1,65,132.9852,0.0,16.4886,161,161.0
1,17,134.9894,0.0,16.1854,180,180.0
1,29,136.1044,0.0,16.2811,1062,1062.0
1,31,136.9822,0.0,16.2977,187,187.0
1,19,137.1106,0.0,16.2125,225,225.0
1,206,141.053,0.0,17.9579,141,141.0
1,6,141.4902,0.0,16.0404,429,429.0
1,3,144.1114,0.0,16.0131,243,243.0
1,80,144.9944,0.0,16.5339,169,169.0
1,33,147.1438,0.0,16.2991,340,340.0
1,109,148.0039,0.0,16.7011,223,223.0
1,5,150.5002,0.0,16.0351,160,160.0
1,45,152.0356,0.0,16.3732,686,686.0
1,20,154.1557,0.0,16.2228,336,336.0
1,79,157.0385,0.0,16.5265,383,383.0
1,16,158.1254,0.0,16.1835,579,579.0
1,96,159.0125,0.0,16.614,469,469.0
1,25,159.1248,0.0,16.2637,660,660.0
1,71,160.0613,0.0,16.5027,941,941.0
1,22,160.1301,0.0,16.2424,159,159.0
1,86,164.0357,0.0,16.5538,378,378.0
1,137,166.9043,0.0,16.9455,221,221.0
1,74,168.0319,0.0,16.5128,259,259.0
1,55,169.1335,0.0,16.4427,254,254.0
1,72,169.1668,0.0,16.504,185,185.0
1,75,170.0466,0.0,16.5172,190,190.0
1,68,171.1865,0.0,16.4946,242,242.0
1,100,172.0106,0.0,16.6506,1707,1707.0
1,24,172.1109,0.0,16.2569,576,576.0
1,56,175.1223,0.0,16.4465,1510,1510.0
1,34,175.1555,0.0,16.3097,1704,1704.0
1,21,176.122,0.0,16.2334,255,255.0
1,61,178.0779,0.0,16.4799,198,198.0
1,49,179.134,0.0,16.4185,228,228.0
1,107,182.0521,0.0,16.6821,160,160.0
1,85,183.1876,0.0,16.5521,2927,2927.0
1,111,184.0128,0.0,16.7076,301,301.0
1,128,184.0667,0.0,16.8373,177,177.0
1,91,184.192,0.0,16.5955,456,456.0
