func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,9,115.0218,0.0,17.4815,168,168.0
1,1,122.1076,0.0,16.4741,161,161.0
1,4,129.1302,0.0,16.8377,170,170.0
1,2,130.1137,0.0,16.6403,458,458.0
1,17,132.991,0.0,19.1236,634,634.0
1,20,134.9884,0.0,19.5589,549,549.0
1,6,136.1063,0.0,17.081,165,165.0
1,3,147.1444,0.0,16.8046,264,264.0
1,18,151.0058,0.0,19.4156,207,207.0
1,16,153.0062,0.0,18.9148,236,236.0
1,15,157.1686,0.0,18.4435,142,142.0
1,7,159.1104,0.0,17.1543,393,393.0
1,24,160.0634,0.0,20.7802,365,365.0
1,31,166.9037,0.0,22.0734,1585,1585.0
1,14,175.1555,0.0,18.1014,156,156.0
1,23,178.0793,0.0,20.4259,216,216.0
1,27,183.1858,0.0,21.5154,126,126.0
1,30,184.9188,0.0,22.0096,262,262.0
1,34,185.2096,0.0,22.3662,225,225.0
1,12,187.1122,0.0,17.9873,258,258.0
1,22,195.9353,0.0,20.1655,2512,2512.0
1,26,204.0443,0.0,21.4004,180,180.0
1,21,213.9523,0.0,19.828,1338,1338.0
1,54,223.9357,0.0,25.935,2319,2319.0
1,35,224.1518,0.0,22.4085,131,131.0
1,49,224.9434,0.0,24.0784,132,132.0
1,52,227.9324,0.0,25.3506,123,123.0
1,56,229.168,0.0,26.1386,472,472.0
1,19,231.9696,0.0,19.4917,261,261.0
1,32,241.942,0.0,22.1953,5309,5309.0
1,36,242.9574,0.0,22.4179,618,618.0
1,28,243.9524,0.0,21.7596,199,199.0
1,29,245.9488,0.0,21.8085,399,399.0
1,51,250.0418,0.0,25.1924,461,461.0
1,66,252.018,0.0,30.1446,269,269.0
1,55,252.038,0.0,26.0311,151,151.0
1,40,259.9191,0.0,23.62,2761,2761.0
1,25,259.9659,0.0,21.3098,1606,1606.0
1,76,260.2567,0.0,34.1486,448,448.0
1,41,260.9274,0.0,23.6391,299,299.0
1,33,260.9741,0.0,22.3218,197,197.0
1,44,261.9151,0.0,23.725,2960,2960.0
1,39,263.9197,0.0,23.4907,293,293.0
1,75,269.9873,0.0,34.146,133,133.0
1,65,270.0374,0.0,30.1309,148,148.0
1,42,277.9315,0.0,23.6524,3233,3233.0
1,38,278.9411,0.0,23.4516,361,361.0
1,43,279.9304,0.0,23.7197,3241,3241.0
1,46,280.9409,0.0,24.0201,145,145.0
1,45,281.9341,0.0,23.8247,326,326.0
1,50,283.9737,0.0,24.2655,149,149.0
1,63,286.8593,0.0,29.007,251,251.0
1,60,288.0043,0.0,27.2344,652,652.0
1,37,295.9255,0.0,23.4331,227,227.0
1,48,295.959,0.0,24.0696,721,721.0
1,5,297.5345,0.0,17.0163,211,211.0
1,47,297.951,0.0,24.0342,1054,1054.0
1,83,298.2075,0.0,38.1374,159,159.0
1,72,300.1515,0.0,33.2087,147,147.0
1,84,300.2219,0.0,38.6981,282,282.0
1,62,304.876,0.0,28.8362,416,416.0
1,61,306.0205,0.0,27.6012,789,789.0
1,68,307.0756,0.0,31.358002,571,571.0
1,85,316.2217,0.0,39.0804,182,182.0
1,8,316.5163,0.0,17.2714,137,137.0
1,64,322.893,0.0,29.1275,309,309.0
1,82,323.9838,0.0,37.9343,148,148.0
1,13,326.0521,0.0,18.0951,398,398.0
1,87,328.2603,0.0,45.8334,167,167.0
1,78,334.0143,0.0,36.222,184,184.0
1,80,342.0025,0.0,36.6928,211,211.0
1,11,345.0283,0.0,17.9846,446,446.0
1,77,345.032,0.0,35.5712,221,221.0
1,10,346.0245,0.0,17.9416,155,155.0
1,86,347.3038,0.0,45.1735,1103,1103.0
1,88,348.3038,0.0,45.8578,171,171.0
1,57,351.8798,0.0,26.4036,991,991.0
1,79,352.0264,0.0,36.5379,113,113.0
1,89,369.2529,0.0,48.4116,167,167.0
1,58,369.8914,0.0,26.6764,1717,1717.0
1,81,379.9634,0.0,37.0805,210,210.0
1,53,380.9187,0.0,25.8206,139,139.0
1,91,387.2767,0.0,51.9159,118,118.0
1,59,387.909,0.0,27.1996,720,720.0
1,67,395.3012,0.0,30.9006,141,141.0
1,69,404.3028,0.0,31.7266,156,156.0
1,70,408.9106,0.0,32.8447,1485,1485.0
1,90,409.0929,0.0,49.1334,140,140.0
1,73,409.918,0.0,33.3442,154,154.0
1,92,415.2758,0.0,55.9181,583,583.0
1,71,426.927,0.0,33.1581,1355,1355.0
1,74,427.9345,0.0,33.3601,220,220.0
1,93,462.3593,0.0,61.8061,826,826.0
1,94,463.3622,0.0,62.5847,221,221.0
1,96,484.3147,0.0,66.0442,432,432.0
1,95,485.3117,0.0,65.9995,133,133.0
1,101,487.4777,0.0,77.4965,125,125.0
1,103,489.4162,0.0,81.8288,324,324.0
1,102,490.4143,0.0,81.3709,111,111.0
1,100,496.3653,0.0,71.8209,563,563.0
1,99,497.3677,0.0,70.052,169,169.0
1,98,502.3317,0.0,67.9858,588,588.0
1,97,503.3408,0.0,66.8373,142,142.0
1,104,575.4687,0.0,89.1097,417,417.0
1,106,597.429,0.0,89.3022,1094,1094.0
1,105,598.4421,0.0,89.1121,350,350.0
1,107,646.5202,0.0,102.6378,508,508.0
1,108,647.5268,0.0,103.9326,235,235.0
1,109,710.5409,0.0,112.3397,365,365.0
1,110,711.5551,0.0,117.1854,164,164.0
1,112,761.564,0.0,121.0644,1303,1303.0
1,113,762.5665,0.0,121.7383,535,535.0
1,111,763.5873,0.0,119.8557,188,188.0
1,114,874.674,0.0,151.2669,494,494.0
