func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,2,101.1263,0.0,15.9293,145,145.0
1,3,102.9908,0.0,16.0083,155,155.0
1,4,104.0922,0.0,16.0215,722,722.0
1,8,110.0948,0.0,16.0648,6776,6776.0
1,41,110.9974,0.0,16.4228,322,322.0
1,13,111.0954,0.0,16.1752,561,561.0
1,45,113.0137,0.0,16.4725,210,210.0
1,7,115.0467,0.0,16.0584,198,198.0
1,6,119.0733,0.0,16.0357,457,457.0
1,19,120.1052,0.0,16.2186,3539,3539.0
1,11,121.1096,0.0,16.1514,414,414.0
1,10,122.1071,0.0,16.1295,1884,1884.0
1,36,125.0169,0.0,16.378,348,348.0
1,15,129.1281,0.0,16.1793,1970,1970.0
1,58,129.9915,0.0,16.5028,1708,1708.0
1,14,130.1128,0.0,16.176,1246,1246.0
1,107,130.9203,0.0,16.7438,209,209.0
1,9,132.106,0.0,16.0942,211,211.0
1,16,136.1037,0.0,16.1802,2975,2975.0
1,25,137.1066,0.0,16.2855,345,345.0
1,5,141.4896,0.0,16.0236,2409,2409.0
1,37,141.995,0.0,16.3809,278,278.0
1,126,144.009,0.0,16.8613,211,211.0
1,94,144.9933,0.0,16.6761,252,252.0
1,28,147.1435,0.0,16.3176,719,719.0
1,89,148.0048,0.0,16.6511,349,349.0
1,111,148.9353,0.0,16.7613,219,219.0
1,17,150.4968,0.0,16.2096,1062,1062.0
1,29,154.1578,0.0,16.3428,274,274.0
1,40,155.1256,0.0,16.3951,183,183.0
1,22,156.1071,0.0,16.2529,301,301.0
1,39,157.1292,0.0,16.3909,601,601.0
1,24,159.1232,0.0,16.262,840,840.0
1,50,160.0621,0.0,16.4808,623,623.0
1,88,160.9343,0.0,16.6467,232,232.0
1,116,162.023,0.0,16.7962,394,394.0
1,20,162.1015,0.0,16.237,160,160.0
1,86,164.0364,0.0,16.6376,279,279.0
1,118,166.904,0.0,16.8029,863,863.0
1,56,168.0307,0.0,16.4934,1152,1152.0
1,51,171.1842,0.0,16.4826,285,285.0
1,95,172.0084,0.0,16.6778,5281,5281.0
1,21,175.1547,0.0,16.252,318,318.0
1,131,176.9306,0.0,16.9224,664,664.0
1,32,178.0876,0.0,16.3701,379,379.0
1,130,184.012,0.0,16.9194,1317,1317.0
1,210,184.8723,0.0,18.3993,326,326.0
1,113,186.0293,0.0,16.7795,323,323.0
1,215,186.8679,0.0,18.4617,353,353.0
1,117,190.0237,0.0,16.8003,1212,1212.0
1,75,195.9354,0.0,16.5777,279,279.0
1,153,198.0298,0.0,17.1885,1426,1426.0
1,129,200.0391,0.0,16.9182,195,195.0
1,176,200.8935,0.0,17.5392,362,362.0
1,114,202.0244,0.0,16.7867,10775,10775.0
1,202,202.8911,0.0,18.136,211,211.0
1,90,204.041,0.0,16.6518,4854,4854.0
1,12,204.4543,0.0,16.1589,148,148.0
1,162,204.9276,0.0,17.3155,8481,8481.0
1,100,205.0441,0.0,16.7004,371,371.0
1,128,206.0044,0.0,16.8713,631,631.0
1,102,207.13,0.0,16.7098,1007,1007.0
1,33,210.0681,0.0,16.3729,238,238.0
1,193,210.1206,0.0,17.9162,185,185.0
1,31,213.9597,0.0,16.3694,785,785.0
1,133,215.0004,0.0,16.9318,246,246.0
1,132,216.0429,0.0,16.9265,5285,5285.0
1,141,218.0603,0.0,17.0396,1125,1125.0
1,147,219.0011,0.0,17.0806,1553,1553.0
1,142,220.0365,0.0,17.0398,1348,1348.0
1,160,222.9443,0.0,17.3049,3328,3328.0
1,197,223.2018,0.0,18.0461,275,275.0
1,188,223.9353,0.0,17.728,1554,1554.0
1,151,224.1597,0.0,17.139,672,672.0
1,139,224.9426,0.0,16.992,802,802.0
1,134,225.163,0.0,16.9399,144,144.0
1,123,226.9932,0.0,16.8438,188,188.0
1,68,228.9774,0.0,16.5431,132,132.0
1,149,229.0432,0.0,17.1266,642,642.0
1,143,230.0616,0.0,17.0544,345,345.0
1,200,230.1922,0.0,18.0974,177,177.0
1,158,231.0577,0.0,17.2828,1252,1252.0
1,208,231.1974,0.0,18.3204,285,285.0
1,152,232.0275,0.0,17.155,842,842.0
1,164,233.0162,0.0,17.3427,488,488.0
1,18,233.9749,0.0,16.2111,181,181.0
1,137,234.0565,0.0,16.9613,328,328.0
1,230,234.1676,0.0,18.9377,177,177.0
1,172,235.0373,0.0,17.4546,806,806.0
1,170,235.1314,0.0,17.4245,838,838.0
1,146,237.0168,0.0,17.0735,203,203.0
1,184,240.9579,0.0,17.6057,374,374.0
1,155,241.9498,0.0,17.1922,1936,1936.0
1,263,242.2362,0.0,19.7878,147,147.0
1,122,242.9569,0.0,16.8319,456,456.0
1,174,243.0615,0.0,17.4835,400,400.0
1,211,245.9497,0.0,18.4072,194,194.0
1,196,247.0375,0.0,17.96,281,281.0
1,214,247.1955,0.0,18.4332,448,448.0
1,177,248.0237,0.0,17.5482,833,833.0
1,212,248.2086,0.0,18.4095,740,740.0
1,169,250.0372,0.0,17.4172,16507,16507.0
1,165,251.0433,0.0,17.3431,2221,2221.0
1,261,251.2023,0.0,19.7604,479,479.0
1,163,252.0366,0.0,17.3228,2570,2570.0
1,194,252.1623,0.0,17.9465,2330,2330.0
1,171,253.04,0.0,17.4363,190,190.0
1,195,253.1578,0.0,17.9497,597,597.0
1,178,254.0334,0.0,17.5632,517,517.0
1,183,255.0634,0.0,17.5989,397,397.0
1,266,256.2196,0.0,19.8758,267,267.0
1,148,258.0333,0.0,17.1165,591,591.0
1,173,259.9676,0.0,17.4722,252,252.0
1,310,260.2504,0.0,21.9958,1495,1495.0
1,157,261.014,0.0,17.2512,266,266.0
1,205,261.0751,0.0,18.2666,161,161.0
1,311,261.2545,0.0,22.0372,252,252.0
1,203,263.0366,0.0,18.1648,6837,6837.0
1,225,263.9644,0.0,18.765,142,142.0
1,264,266.2169,0.0,19.7994,871,871.0
1,186,268.0537,0.0,17.6809,588,588.0
1,73,269.0152,0.0,16.5737,148,148.0
1,231,271.0438,0.0,18.9439,552,552.0
1,207,273.0767,0.0,18.2949,834,834.0
1,76,273.9551,0.0,16.578,289,289.0
1,251,274.2135,0.0,19.4555,167,167.0
1,38,274.9529,0.0,16.3844,194,194.0
1,220,275.9683,0.0,18.6142,206,206.0
1,168,277.9276,0.0,17.4045,138,138.0
1,277,284.2303,0.0,20.5496,2380,2380.0
1,282,285.235,0.0,20.7576,432,432.0
1,219,286.8564,0.0,18.61,559,559.0
1,199,288.0009,0.0,18.0679,1885,1885.0
1,224,288.8543,0.0,18.6987,165,165.0
1,239,289.057,0.0,19.2475,7714,7714.0
1,275,290.0494,0.0,20.5024,524,524.0
1,245,291.0593,0.0,19.3459,296,296.0
1,284,291.1825,0.0,20.7879,348,348.0
1,204,291.9797,0.0,18.2284,168,168.0
1,256,292.0597,0.0,19.5984,216,216.0
1,323,292.229,0.0,22.786,126,126.0
1,327,296.2094,0.0,22.8292,253,253.0
1,27,297.5305,0.0,16.3149,206,206.0
1,276,300.9922,0.0,20.5036,166,166.0
1,314,304.227,0.0,22.1771,359,359.0
1,217,304.872,0.0,18.5908,308,308.0
1,201,306.0157,0.0,18.1294,815,815.0
1,254,307.07,0.0,19.5575,65735,65735.0
1,249,307.2414,0.0,19.4416,3807,3807.0
1,255,307.3261,0.0,19.5721,684,684.0
1,248,307.4371,0.0,19.4099,1025,1025.0
1,244,307.4902,0.0,19.3346,6034,6034.0
1,242,307.5495,0.0,19.2907,5583,5583.0
1,259,307.8319,0.0,19.6901,363,363.0
1,268,307.9757,0.0,19.9882,337,337.0
1,257,308.0776,0.0,19.6435,1009,1009.0
1,238,308.2045,0.0,19.2465,442,442.0
1,267,308.3479,0.0,19.8793,263,263.0
1,246,309.0678,0.0,19.3615,1691,1691.0
1,301,309.1996,0.0,21.7097,304,304.0
1,250,311.0691,0.0,19.455,372,372.0
1,43,316.5084,0.0,16.464,492,492.0
1,99,317.0076,0.0,16.6968,135,135.0
1,23,317.5084,0.0,16.2538,160,160.0
1,226,323.0534,0.0,18.7773,860,860.0
1,326,323.9783,0.0,22.8084,3121,3121.0
1,345,324.2109,0.0,23.6775,542,542.0
1,324,324.9861,0.0,22.7911,251,251.0
1,209,325.0526,0.0,18.3981,513,513.0
1,79,325.5149,0.0,16.5888,145,145.0
1,332,325.976,0.0,22.9223,1166,1166.0
1,61,326.0471,0.0,16.5082,638,638.0
1,65,326.547,0.0,16.5323,143,143.0
1,121,327.0423,0.0,16.8196,183,183.0
1,448,330.2622,0.0,29.0194,161,161.0
1,127,331.7807,0.0,16.8664,372,372.0
1,243,332.9135,0.0,19.3287,151,151.0
1,253,333.8619,0.0,19.5448,452,452.0
1,62,334.504,0.0,16.51,296,296.0
1,325,335.02,0.0,22.8002,103,103.0
1,241,335.8526,0.0,19.2744,267,267.0
1,80,336.7152,0.0,16.5928,119,119.0
1,344,336.9818,0.0,23.6426,242,242.0
1,258,337.9084,0.0,19.6889,115,115.0
1,334,341.9945,0.0,23.0092,2629,2629.0
1,375,342.2246,0.0,25.8947,131,131.0
1,218,342.9381,0.0,18.6038,540,540.0
1,320,342.9994,0.0,22.7253,159,159.0
1,110,343.2409,0.0,16.7544,292,292.0
1,81,343.5064,0.0,16.595,123,123.0
1,221,343.8903,0.0,18.6341,525,525.0
1,336,343.9909,0.0,23.1087,921,921.0
1,297,345.0276,0.0,21.5542,3347,3347.0
1,415,345.2487,0.0,27.6083,135,135.0
1,57,345.5228,0.0,16.4951,212,212.0
1,293,346.0307,0.0,21.3575,320,320.0
1,49,346.5278,0.0,16.4804,128,128.0
1,299,347.0253,0.0,21.6366,391,391.0
1,435,347.2995,0.0,28.5763,133,133.0
1,309,349.0261,0.0,21.9197,174,174.0
1,480,350.293,0.0,31.5102,174,174.0
1,187,351.8703,0.0,17.7182,8852,8852.0
1,339,351.9805,0.0,23.4182,258,258.0
1,69,352.4905,0.0,16.554,433,433.0
1,175,352.8836,0.0,17.5155,235,235.0
