func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1261,615.3346,26.49007,57.4,470632,615.3346,3.95,-1,1,-1,
2,1262,940.96014,26.49118,85,20051,940.96014,5.87,-1,1,-1,
2,1263,475.23505,26.49339,44.3,23082,475.23505,3.06,-1,1,-1,
2,1264,615.9782,26.49468,55.9,22066,615.9782,3.81,-1,1,-1,
2,1265,616.8403,26.49524,57.3,34144,616.8403,3.95,-1,1,-1,
2,1266,494.23383,26.496,41,21224,494.23383,2.86,-1,1,-1,
2,1267,620.30695,26.49618,52.5,22477,620.30695,3.61,-1,1,-1,
2,1268,921.46075,26.5015,98.9,41655,921.46075,6.77,-1,1,-1,
2,1269,714.8946,26.50916,65.6,30611,714.8946,4.5,-1,1,-1,
2,1270,621.64185,26.5146,54.3,32298,621.64185,3.74,-1,1,-1,
2,1271,411.7052,26.51493,39.3,30947,411.7052,2.72,-1,1,-1,
2,1272,514.91284,26.51642,46.3,39052,514.91284,3.2,-1,1,-1,
2,1273,605.3732,26.51664,90.7,36254,605.3732,6.23,-1,1,-1,
2,1274,530.30066,26.51687,74.1,32158,530.30066,5.13,-1,1,-1,
2,1275,627.9763,26.52899,52.9,390114,627.9763,3.61,-1,1,-1,
2,1276,627.64105,26.53218,52.8,320855,627.64105,3.61,-1,1,-1,
2,1277,628.30914,26.53473,53.1,208736,628.30914,3.68,-1,1,-1,
2,1278,467.22946,26.53768,42.5,68606,467.22946,2.93,-1,1,-1,
2,1279,467.7348,26.54597,42.2,45317,467.7348,2.93,-1,1,-1,
2,1280,476.26227,26.55137,40.9,144349,476.26227,2.79,-1,1,-1,
2,1281,492.2868,26.5515,72.6,38618,492.2868,5,-1,1,-1,
2,1282,384.72186,26.55234,39.5,19078,384.72186,2.72,-1,1,-1,
2,1283,836.07294,26.55392,75.9,24195,836.07294,5.18,-1,1,-1,
2,1284,628.6453,26.55592,53.2,91706,628.6453,3.68,-1,1,-1,
2,1285,474.73166,26.55606,44.5,53504,474.73166,3.06,-1,1,-1,
2,1286,713.8878,26.55756,65.5,92872,713.8878,4.5,-1,1,-1,
2,1287,800.44336,26.55898,110.8,53343,800.44336,7.6,-1,1,-1,
2,1288,619.638,26.55912,53.3,31474,619.638,3.68,-1,1,-1,
2,1289,948.46063,26.55923,137.7,36060,948.46063,9.46,-1,1,-1,
2,1290,941.46375,26.5597,85.4,21444,941.46375,5.87,-1,1,-1,
2,1291,457.2676,26.56098,44.6,122968,457.2676,3.06,-1,1,-1,
2,1292,823.40466,26.56177,113.8,23017,823.40466,7.81,-1,1,-1,
2,1293,502.7944,26.56236,45.1,36600,502.7944,3.13,-1,1,-1,
2,1294,400.72583,26.56336,37.9,37225,400.72583,2.58,-1,1,-1,
2,1295,401.22568,26.56449,37.5,14692,401.22568,2.58,-1,1,-1,
2,1296,512.78204,26.5645,45.3,50526,512.78204,3.13,-1,1,-1,
2,1297,303.1888,26.56594,33.7,19729,303.1888,2.32,-1,1,-1,
2,1298,659.3433,26.56713,86.2,31595,659.3433,5.95,-1,1,-1,
2,1299,501.79095,26.56785,45.1,193581,501.79095,3.13,-1,1,-1,
2,1300,821.4015,26.56871,82,14523,821.4015,5.67,-1,1,-1,
2,1301,476.59616,26.56906,40.8,120288,476.59616,2.79,-1,1,-1,
2,1302,391.7215,26.57105,38,18469,391.7215,2.65,-1,1,-1,
2,1303,835.73676,26.57185,76.2,27003,835.73676,5.25,-1,1,-1,
2,1304,714.39075,26.57242,65.6,62345,714.39075,4.5,-1,1,-1,
2,1305,476.92908,26.57356,40.7,45733,476.92908,2.79,-1,1,-1,
2,1306,822.40247,26.57409,113.2,44061,822.40247,7.81,-1,1,-1,
2,1307,628.9776,26.57452,53.1,39548,628.9776,3.68,-1,1,-1,
2,1308,417.21536,26.57624,55.5,27150,417.21536,3.82,-1,1,-1,
2,1309,449.24103,26.58032,45.1,25544,449.24103,3.13,-1,1,-1,
2,1310,502.29282,26.58088,45.2,91008,502.29282,3.13,-1,1,-1,
2,1311,457.76657,26.58135,45,59728,457.76657,3.13,-1,1,-1,
2,1312,493.28607,26.58301,46.3,17402,493.28607,3.2,-1,1,-1,
2,1313,645.6107,26.58775,51.9,19636,645.6107,3.54,-1,1,-1,
2,1314,513.2821,26.58933,45.5,23206,513.2821,3.13,-1,1,-1,
2,1315,626.63855,26.58979,55.9,38913,626.63855,3.81,-1,1,-1,
2,1316,458.26517,26.59044,45,20485,458.26517,3.13,-1,1,-1,
2,1317,136.0751,26.59461,22.5,15016,136.0751,1.57,-1,1,-1,
2,1318,626.9828,26.60036,56,47135,626.9828,3.88,-1,1,-1,
2,1319,627.1387,26.60172,56.3,20074,627.1387,3.88,-1,1,-1,
2,1320,851.42444,26.60586,119.6,18599,851.42444,8.22,-1,1,-1,
2,1321,528.74963,26.62077,46.6,27503,528.74963,3.2,-1,1,-1,
2,1322,627.4854,26.62169,56.3,22480,627.4854,3.88,-1,1,-1,
2,1323,626.4824,26.63534,56.3,90824,626.4824,3.88,-1,1,-1,
2,1324,435.86426,26.64333,35.6,65352,435.86426,2.44,-1,1,-1,
2,1325,627.3371,26.6467,56.4,408711,627.3371,3.88,-1,1,-1,
2,1327,401.23337,26.64799,57.1,12262,401.23337,3.96,-1,1,-1,
2,1326,526.2754,26.64799,47.6,24866,526.2754,3.27,-1,1,-1,
2,1328,626.836,26.64887,56.4,1142570,626.836,3.88,-1,1,-1,
2,1329,500.30276,26.64973,71.1,20435,500.30276,4.93,-1,1,-1,
2,1330,451.22992,26.6517,39.5,28731,451.22992,2.72,-1,1,-1,
2,1331,626.3348,26.65446,56.4,1627184,626.3348,3.88,-1,1,-1,
2,1332,752.3626,26.65884,102.3,23314,752.3626,7.06,-1,1,-1,
2,1333,627.8372,26.65937,56.4,91772,627.8372,3.88,-1,1,-1,
2,1334,430.53735,26.66154,33.8,26201,430.53735,2.31,-1,1,-1,
2,1335,414.219,26.66434,41.7,27168,414.219,2.86,-1,1,-1,
2,1336,414.55148,26.66671,41.2,23761,414.55148,2.86,-1,1,-1,
2,1337,436.1982,26.66788,35.8,34718,436.1982,2.44,-1,1,-1,
2,1338,430.8735,26.672,33.6,19366,430.8735,2.31,-1,1,-1,
2,1339,425.52576,26.67934,34.5,29412,425.52576,2.37,-1,1,-1,
2,1340,451.56827,26.68322,39.8,21636,451.56827,2.72,-1,1,-1,
2,1341,679.79834,26.73605,60.1,32318,679.79834,4.16,-1,1,-1,
2,1342,679.29614,26.73616,59.8,67233,679.29614,4.09,-1,1,-1,
2,1343,371.09875,26.74371,47.7,97534,371.09875,3.27,-1,1,-1,
2,1344,678.7957,26.77321,60,102462,678.7957,4.16,-1,1,-1,
2,1345,654.8452,26.81394,61.7,23231,654.8452,4.23,-1,1,-1,
2,1346,596.8236,26.8202,54.3,50041,596.8236,3.74,-1,1,-1,
2,1347,597.32556,26.8213,54.1,41850,597.32556,3.74,-1,1,-1,
2,1348,597.8256,26.82174,54.3,24113,597.8256,3.74,-1,1,-1,
2,1349,355.06625,26.82456,43.6,100276,355.06625,3,-1,1,-1,
2,1350,735.36975,26.82762,67.6,40823,735.36975,4.64,-1,1,-1,
2,1351,702.3727,26.82994,96.7,270045,702.3727,6.64,-1,1,-1,
2,1352,703.37604,26.83078,96.7,104247,703.37604,6.64,-1,1,-1,
2,1353,734.86774,26.83596,68.1,100499,734.86774,4.71,-1,1,-1,
2,1354,586.3897,26.83657,86.1,28856,586.3897,5.95,-1,1,-1,
2,1355,734.3665,26.83829,67.9,113725,734.3665,4.64,-1,1,-1,
2,1356,414.7598,26.83952,40,20022,414.7598,2.79,-1,1,-1,
