func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1734,438.2269,28.70046,43.6,143283,438.2269,3,-1,1,-1,
2,1735,545.7939,28.70196,52.2,29940,545.7939,3.61,-1,1,-1,
2,1736,499.8752,28.70678,41.1,26172,499.8752,2.86,-1,1,-1,
2,1737,731.3756,28.71277,102.5,60743,731.3756,7.06,-1,1,-1,
2,1738,251.10019,28.74003,35.8,19137,251.10019,2.45,-1,1,-1,
2,1739,500.2289,28.78073,48.8,148895,500.2289,3.34,-1,1,-1,
2,1740,822.4167,28.78157,110.9,21990,822.4167,7.6,-1,1,-1,
2,1741,500.7306,28.78496,48.6,73315,500.7306,3.34,-1,1,-1,
2,1742,501.23138,28.78774,48.6,26224,501.23138,3.34,-1,1,-1,
2,1743,558.2996,28.78937,82,22148,558.2996,5.68,-1,1,-1,
2,1744,721.36237,28.7905,105,29408,721.36237,7.26,-1,1,-1,
2,1745,675.87225,28.8076,61.8,23859,675.87225,4.23,-1,1,-1,
2,1746,674.8687,28.80894,61.3,94262,674.8687,4.23,-1,1,-1,
2,1747,675.37054,28.80906,61.6,72607,675.37054,4.23,-1,1,-1,
2,1748,806.43384,28.85252,74.8,26099,806.43384,5.11,-1,1,-1,
2,1749,735.39923,28.86301,107.7,73759,735.39923,7.4,-1,1,-1,
2,1750,531.28577,28.86353,50.4,55730,531.28577,3.48,-1,1,-1,
2,1751,805.9345,28.86373,74.8,65005,805.9345,5.11,-1,1,-1,
2,1752,736.4013,28.86641,107.8,29142,736.4013,7.4,-1,1,-1,
2,1753,531.61884,28.86682,49.4,96490,531.61884,3.41,-1,1,-1,
2,1754,381.69385,28.87045,36.6,29525,381.69385,2.51,-1,1,-1,
2,1755,531.95325,28.87084,48.9,67123,531.95325,3.34,-1,1,-1,
2,1756,588.3326,28.87166,82,17593,588.3326,5.68,-1,1,-1,
2,1757,805.433,28.87168,74.8,91661,805.433,5.11,-1,1,-1,
2,1758,537.2911,28.87218,47.9,387096,537.2911,3.26,-1,1,-1,
2,1759,762.3816,28.87445,109.1,16655,762.3816,7.54,-1,1,-1,
2,1760,537.62585,28.87492,47.8,358597,537.62585,3.26,-1,1,-1,
2,1761,538.2963,28.87869,47.9,52642,538.2963,3.26,-1,1,-1,
2,1762,537.95984,28.87926,47.6,155300,537.95984,3.26,-1,1,-1,
2,1763,532.2865,28.87981,48.4,26582,532.2865,3.34,-1,1,-1,
2,1764,429.23016,28.88147,43,19287,429.23016,3,-1,1,-1,
2,1765,750.3733,28.88505,65.3,29441,750.3733,4.5,-1,1,-1,
2,1766,616.6192,28.91231,51.3,19924,616.6192,3.54,-1,1,-1,
2,1767,597.9502,29.01065,52.9,76356,597.9502,3.61,-1,1,-1,
2,1768,597.6172,29.01202,53,138988,597.6172,3.68,-1,1,-1,
2,1769,597.283,29.01679,53,124387,597.283,3.68,-1,1,-1,
2,1770,598.28687,29.018,53.1,31402,598.28687,3.68,-1,1,-1,
2,1771,669.791,29.07618,62.1,488736,669.791,4.3,-1,1,-1,
