func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,942,540.7804,24.97297,49.2,277855,540.7804,3.4,-1,1,-1,
2,943,284.15744,24.97413,41.4,20584,284.15744,2.87,-1,1,-1,
2,944,540.2797,24.97464,49.3,522117,540.2797,3.4,-1,1,-1,
2,945,710.36456,25.01078,61.3,70248,710.36456,4.23,-1,1,-1,
2,946,490.88193,25.01291,38.6,25719,490.88193,2.65,-1,1,-1,
2,947,709.0194,25.01469,61.4,30874,709.0194,4.23,-1,1,-1,
2,948,623.33057,25.01625,54.7,34271,623.33057,3.74,-1,1,-1,
2,949,708.86017,25.01956,61.4,830925,708.86017,4.23,-1,1,-1,
2,950,709.36096,25.01979,61.5,577256,709.36096,4.23,-1,1,-1,
2,951,709.86255,25.02112,61.4,241191,709.86255,4.23,-1,1,-1,
2,952,778.39026,25.02175,107.5,34497,778.39026,7.4,-1,1,-1,
2,953,491.21924,25.02726,38.6,22936,491.21924,2.65,-1,1,-1,
2,954,541.7859,25.0297,49,23179,541.7859,3.4,-1,1,-1,
2,955,541.284,25.03087,49.1,102522,541.284,3.4,-1,1,-1,
2,956,912.471,25.0679,121.4,24255,912.471,8.36,-1,1,-1,
2,957,488.32465,25.07665,72,17012,488.32465,5,-1,1,-1,
2,958,674.655,25.0795,52.7,18798,674.655,3.61,-1,1,-1,
2,959,655.56366,25.08163,52,22721,655.56366,3.61,-1,1,-1,
2,960,506.24362,25.08171,43.7,21307,506.24362,3,-1,1,-1,
2,961,674.32513,25.08607,52.8,32469,674.32513,3.61,-1,1,-1,
2,962,537.3209,25.08645,49.8,50053,537.3209,3.4,-1,1,-1,
2,963,957.3854,25.08694,98.5,41617,957.3854,6.77,-1,1,-1,
2,964,534.7972,25.09339,47.6,29203,534.7972,3.26,-1,1,-1,
2,965,638.259,25.09513,51.4,134807,638.259,3.54,-1,1,-1,
2,966,637.5913,25.09555,51.7,198426,637.5913,3.54,-1,1,-1,
2,967,956.38367,25.09579,97.8,99908,956.38367,6.7,-1,1,-1,
2,969,637.92487,25.09581,51.7,163116,637.92487,3.54,-1,1,-1,
2,968,956.8833,25.09581,98.3,63660,956.8833,6.77,-1,1,-1,
2,970,638.9267,25.09593,51.8,20425,638.9267,3.54,-1,1,-1,
2,971,955.8809,25.09724,98,122645,955.8809,6.77,-1,1,-1,
2,972,645.25397,25.09747,52.1,23589,645.25397,3.61,-1,1,-1,
2,973,518.73865,25.09887,44.3,14794,518.73865,3.06,-1,1,-1,
2,974,486.25024,25.09916,66.2,20428,486.25024,4.58,-1,1,-1,
2,975,505.99246,25.1015,43.5,33391,505.99246,3,-1,1,-1,
2,976,638.5903,25.10438,51.7,46372,638.5903,3.54,-1,1,-1,
2,977,482.5425,25.10597,42.4,46343,482.5425,2.93,-1,1,-1,
2,978,644.91846,25.10628,52.1,21153,644.91846,3.61,-1,1,-1,
2,979,692.8714,25.10759,61.3,30661,692.8714,4.23,-1,1,-1,
2,980,483.20807,25.10764,42.3,24576,483.20807,2.93,-1,1,-1,
2,981,536.8211,25.10766,49.6,125069,536.8211,3.4,-1,1,-1,
2,982,536.3199,25.10844,49.7,232149,536.3199,3.4,-1,1,-1,
2,983,673.98645,25.10964,52.6,23892,673.98645,3.61,-1,1,-1,
2,984,482.87823,25.11051,42.3,21325,482.87823,2.93,-1,1,-1,
2,985,693.37274,25.11081,61.4,26786,693.37274,4.23,-1,1,-1,
2,986,839.3863,25.11328,122.9,37638,839.3863,8.43,-1,1,-1,
2,987,528.3801,25.11355,45,46557,528.3801,3.13,-1,1,-1,
2,988,487.31863,25.11399,71.9,69656,487.31863,4.93,-1,1,-1,
2,990,527.87744,25.11596,45,97834,527.87744,3.13,-1,1,-1,
2,989,528.0211,25.11596,44.9,38854,528.0211,3.06,-1,1,-1,
2,991,505.74384,25.11686,43.9,31762,505.74384,3,-1,1,-1,
2,992,534.2966,25.11802,47.7,47258,534.2966,3.26,-1,1,-1,
2,993,528.7433,25.1223,45.2,351593,528.7433,3.13,-1,1,-1,
2,994,528.24426,25.12464,45.1,1064885,528.24426,3.13,-1,1,-1,
2,995,527.7432,25.1264,45.1,1804487,527.7432,3.13,-1,1,-1,
2,996,519.2262,25.13241,44.3,67010,519.2262,3.06,-1,1,-1,
2,997,529.24615,25.13299,45.2,61109,529.24615,3.13,-1,1,-1,
2,998,538.733,25.13342,45.2,22087,538.733,3.12,-1,1,-1,
2,999,692.31683,25.13396,92.2,11503,692.31683,6.37,-1,1,-1,
2,1000,519.7301,25.14928,44.7,29464,519.7301,3.06,-1,1,-1,
2,1001,499.79825,25.16201,47,22973,499.79825,3.27,-1,1,-1,
2,1002,498.5025,25.16551,49.6,174460,498.5025,3.41,-1,1,-1,
2,1003,664.33594,25.16865,62.3,71692,664.33594,4.3,-1,1,-1,
2,1004,393.8536,25.16911,33.9,47041,393.8536,2.31,-1,1,-1,
2,1005,458.72968,25.17036,42.8,91914,458.72968,2.93,-1,1,-1,
2,1006,532.2647,25.17169,49.9,10575,532.2647,3.41,-1,1,-1,
2,1007,531.7619,25.17586,50,23579,531.7619,3.48,-1,1,-1,
2,1008,458.22763,25.17602,42.8,197924,458.22763,2.93,-1,1,-1,
2,1009,589.27454,25.17617,53.9,440504,589.27454,3.68,-1,1,-1,
2,1010,589.7761,25.17749,53.8,241613,589.7761,3.68,-1,1,-1,
2,1011,665.00354,25.17772,62.1,44703,665.00354,4.3,-1,1,-1,
2,1012,498.75427,25.17792,49.5,223181,498.75427,3.41,-1,1,-1,
2,1013,393.52042,25.17913,33.8,150193,393.52042,2.31,-1,1,-1,
2,1014,590.2774,25.17919,53.9,96173,590.2774,3.68,-1,1,-1,
2,1015,626.9765,25.17999,58.2,24420,626.9765,4.02,-1,1,-1,
2,1016,665.3382,25.18008,62.4,22083,665.3382,4.3,-1,1,-1,
2,1017,235.10593,25.18062,34.2,49593,235.10593,2.38,-1,1,-1,
2,1018,499.25357,25.18214,49.7,62669,499.25357,3.41,-1,1,-1,
2,1019,459.2308,25.18231,42.5,27857,459.2308,2.93,-1,1,-1,
2,1020,590.77966,25.1837,53.9,32329,590.77966,3.68,-1,1,-1,
2,1021,664.6693,25.18562,62.2,78088,664.6693,4.3,-1,1,-1,
2,1022,499.50372,25.18614,49.6,23632,499.50372,3.41,-1,1,-1,
2,1023,499.0025,25.18632,49.7,157974,499.0025,3.41,-1,1,-1,
2,1024,381.50574,25.18845,32.7,29030,381.50574,2.24,-1,1,-1,
2,1025,376.69647,25.19096,35.1,24041,376.69647,2.44,-1,1,-1,
2,1026,626.64124,25.19228,58.3,21138,626.64124,4.02,-1,1,-1,
2,1027,393.1867,25.1927,33.8,190153,393.1867,2.31,-1,1,-1,
2,1028,388.25992,25.23011,56.4,25284,388.25992,3.89,-1,1,-1,
2,1029,381.22217,25.23182,52.4,13065,381.22217,3.62,-1,1,-1,
2,1030,387.25668,25.23207,56.4,114220,387.25668,3.89,-1,1,-1,
2,1031,743.30237,25.24156,70.3,37749,743.30237,4.85,-1,1,-1,
2,1032,742.7997,25.26513,69.8,42936,742.7997,4.78,-1,1,-1,
2,1033,619.6385,25.26712,53.3,10734,619.6385,3.68,-1,1,-1,
2,1034,743.80225,25.28477,69.9,19061,743.80225,4.78,-1,1,-1,
2,1035,744.3118,25.28608,65.6,21771,744.3118,4.5,-1,1,-1,
2,1036,556.2558,25.31915,48.3,22631,556.2558,3.33,-1,1,-1,
2,1037,372.71252,25.33233,37.1,49527,372.71252,2.58,-1,1,-1,
2,1038,423.75156,25.33488,40.7,32645,423.75156,2.79,-1,1,-1,
2,1039,645.3303,25.33811,87.5,10062,645.3303,6.02,-1,1,-1,
2,1040,422.74786,25.35787,70,11075,422.74786,4.86,-1,1,-1,
2,1041,136.07512,25.35933,22.8,12155,136.07512,1.57,-1,1,-1,
2,1042,518.7746,25.36077,45.7,59056,518.7746,3.13,-1,1,-1,
2,1043,619.97986,25.36277,53.3,11789,619.97986,3.68,-1,1,-1,
2,1044,422.86902,25.36457,40.6,22206,422.86902,2.79,-1,1,-1,
2,1045,422.368,25.36561,40.5,65051,422.368,2.79,-1,1,-1,
2,1046,277.15356,25.36607,40.3,26772,277.15356,2.8,-1,1,-1,
2,1047,422.49432,25.36654,40.5,25999,422.49432,2.79,-1,1,-1,
2,1048,518.27405,25.36681,45.7,126046,518.27405,3.13,-1,1,-1,
2,1049,843.4891,25.36689,121.7,29624,843.4891,8.36,-1,1,-1,
2,1050,533.2699,25.36715,74.5,18230,533.2699,5.12,-1,1,-1,
2,1051,633.34155,25.36807,91.9,23826,633.34155,6.3,-1,1,-1,
2,1052,422.24805,25.36835,40.7,1359155,422.24805,2.79,-1,1,-1,
2,1053,745.42255,25.36837,107.9,30672,745.42255,7.4,-1,1,-1,
2,1054,422.7478,25.36838,40.7,583619,422.7478,2.79,-1,1,-1,
2,1055,312.2255,25.36891,46.8,22897,312.2255,3.21,-1,1,-1,
2,1056,213.15735,25.36917,33.1,16814,213.15735,2.32,-1,1,-1,
2,1057,422.24277,25.36938,67.6,21384,422.24277,4.65,-1,1,-1,
2,1058,744.4185,25.36954,108.5,92122,744.4185,7.47,-1,1,-1,
2,1059,632.3374,25.36964,91.3,105068,632.3374,6.3,-1,1,-1,
2,1060,473.25146,25.37,45,53236,473.25146,3.13,-1,1,-1,
