func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,115.0999,0,49.2211,5130,7.57437,3.19,-1,1,-1,509.754197,2+,
1,8,235.128,0,68.8742,51064,7.85855,4.41,-1,1,-1,509.754197,2+,
1,9,236.138,0,69.1139,11967,7.52833,4.48,-1,1,-1,509.754197,2+,
1,15,263.1298,0,72.486,36224,8.01727,4.67,-1,1,-1,509.754197,2+,
1,14,264.1392,0,71.7625,7295,7.67142,4.61,-1,1,-1,509.754197,2+,
1,44,360.1953,0,90.0371,16505,8.30502,5.82,-1,1,-1,509.754197,2+,
1,45,361.2168,0,90.5484,6123,8.28121,5.82,-1,1,-1,509.754197,2+,
1,5,370.2333,0,68.3865,3136,6.67334,4.4,-1,1,-1,509.754197,2+,
1,13,378.7224,0,71.6719,50602,6.02744,4.6,-1,1,-1,509.754197,2+,
1,7,378.9438,0,68.4789,2327,3.53629,4.4,-1,1,-1,509.754197,2+,
1,18,378.9449,0,73.2926,2170,3.16949,4.72,-1,1,-1,509.754197,2+,
1,3,379.2131,0,67.2868,44555,5.17871,4.34,-1,1,-1,509.754197,2+,
1,17,379.2162,0,72.933,26648,3.57487,4.66,-1,1,-1,509.754197,2+,
1,2,379.4367,0,66.4067,1104,3.56835,4.27,-1,1,-1,509.754197,2+,
1,19,379.4391,0,73.7067,1686,4.05393,4.72,-1,1,-1,509.754197,2+,
1,16,379.5688,0,72.8023,2283,6.17542,4.66,-1,1,-1,509.754197,2+,
1,12,379.7255,0,70.7108,55819,7.25598,4.53,-1,1,-1,509.754197,2+,
1,4,379.9376,0,67.7561,1683,3.38449,4.34,-1,1,-1,509.754197,2+,
1,6,380.0716,0,68.4576,3918,5.5615,4.4,-1,1,-1,509.754197,2+,
1,10,380.2439,0,69.483,27843,6.76066,4.47,-1,1,-1,509.754197,2+,
1,11,380.7568,0,69.6327,4322,7.5114,4.47,-1,1,-1,509.754197,2+,
1,21,452.29,0,79.0516,3479,5.7821,5.11,-1,1,-1,509.754197,2+,
1,23,452.7844,0,79.1061,6095,5.91705,5.11,-1,1,-1,509.754197,2+,
1,22,453.2856,0,79.0977,2720,5.71196,5.11,-1,1,-1,509.754197,2+,
1,48,473.2925,0,108.5037,12276,8.51384,6.97,-1,1,-1,509.754197,2+,
1,49,474.2963,0,109.9932,2067,5.06998,7.04,-1,1,-1,509.754197,2+,
1,47,475.2786,0,105.4461,1707,1.1772,6.78,-1,1,-1,509.754197,2+,
1,46,476.2626,0,105.3157,15462,8.38618,6.78,-1,1,-1,509.754197,2+,
1,39,487.3358,0,87.0336,8119,6.11092,5.62,-1,1,-1,509.754197,2+,
1,40,487.8375,0,87.0694,6688,6.02624,5.62,-1,1,-1,509.754197,2+,
1,41,488.3431,0,87.2206,1429,3.62298,5.62,-1,1,-1,509.754197,2+,
1,31,490.3021,0,83.2443,2783,6.33285,5.37,-1,1,-1,509.754197,2+,
1,27,500.8029,0,81.9233,5909,7.01177,5.24,-1,1,-1,509.754197,2+,
1,28,501.2952,0,82.1125,13391,7.49572,5.3,-1,1,-1,509.754197,2+,
1,30,501.7966,0,82.2486,7763,7.42857,5.3,-1,1,-1,509.754197,2+,
1,37,508.8006,0,84.8717,5727,5.78674,5.43,-1,1,-1,509.754197,2+,
1,42,508.8402,0,87.7638,5446,7.14108,5.62,-1,1,-1,509.754197,2+,
1,32,509.2783,0,83.5375,7566,5.99317,5.37,-1,1,-1,509.754197,2+,
1,43,509.3448,0,87.7965,3630,5.59084,5.62,-1,1,-1,509.754197,2+,
1,34,509.7903,0,83.9606,38884,6.58574,5.37,-1,1,-1,509.754197,2+,
1,29,510.2816,0,82.1611,24927,3.95728,5.3,-1,1,-1,509.754197,2+,
1,36,510.2827,0,84.7942,29846,4.01402,5.43,-1,1,-1,509.754197,2+,
1,20,510.6394,0,75.3366,1562,3.98529,4.85,-1,1,-1,509.754197,2+,
1,38,510.7895,0,85.429,15691,3.60688,5.5,-1,1,-1,509.754197,2+,
1,26,510.7901,0,81.6591,20385,4.37507,5.24,-1,1,-1,509.754197,2+,
1,33,511.2898,0,83.553,14433,6.00544,5.37,-1,1,-1,509.754197,2+,
1,35,511.7955,0,84.2766,4647,7.24143,5.43,-1,1,-1,509.754197,2+,
1,25,512.281,0,80.3441,8390,6.56543,5.17,-1,1,-1,509.754197,2+,
1,24,512.7863,0,80.1464,3996,6.59584,5.17,-1,1,-1,509.754197,2+,
1,53,544.3357,0,119.3127,5803,5.35231,7.68,-1,1,-1,509.754197,2+,
