func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,1,70.0721,0,27.36,5399,7.16591,1.79,-1,1,-1,490.2487485,2+,
1,2,224.131,0,50.7259,6126,7.42309,3.26,-1,1,-1,490.2487485,2+,
1,4,252.13,0,54.643,5834,7.02577,3.51,-1,1,-1,490.2487485,2+,
1,6,270.1403,0,55.7579,20852,7.36341,3.58,-1,1,-1,490.2487485,2+,
1,5,271.1485,0,55.1468,1633,4.20643,3.58,-1,1,-1,490.2487485,2+,
1,3,324.9641,0,52.677,4355,6.84669,3.38,-1,1,-1,490.2487485,2+,
1,40,337.2325,0,78.4844,4266,5.68357,5.05,-1,1,-1,490.2487485,2+,
1,38,338.2279,0,74.6665,7068,8.39455,4.79,-1,1,-1,490.2487485,2+,
1,44,355.2393,0,83.0242,29044,8.85814,5.37,-1,1,-1,490.2487485,2+,
1,42,356.2471,0,82.4365,6578,8.48309,5.3,-1,1,-1,490.2487485,2+,
1,39,365.2296,0,78.0715,9175,8.0561,5.05,-1,1,-1,490.2487485,2+,
1,8,370.9759,0,59.6189,6044,7.19425,3.83,-1,1,-1,490.2487485,2+,
1,41,383.2384,0,81.62,24928,8.59049,5.24,-1,1,-1,490.2487485,2+,
1,43,384.245,0,82.6254,3680,5.4717,5.3,-1,1,-1,490.2487485,2+,
1,10,395.2628,0,60.7532,8933,5.99731,3.89,-1,1,-1,490.2487485,2+,
1,9,395.7657,0,60.5053,3653,5.83752,3.89,-1,1,-1,490.2487485,2+,
1,12,404.2468,0,61.3267,49570,5.9521,3.95,-1,1,-1,490.2487485,2+,
1,7,404.4768,0,59.4542,1684,2.72223,3.83,-1,1,-1,490.2487485,2+,
1,16,404.4772,0,63.0907,1921,3.02755,4.08,-1,1,-1,490.2487485,2+,
1,11,404.7553,0,60.9463,35625,5.76361,3.89,-1,1,-1,490.2487485,2+,
1,14,404.9791,0,61.3807,2012,4.66876,3.95,-1,1,-1,490.2487485,2+,
1,15,405.1247,0,61.5233,1671,4.53556,3.95,-1,1,-1,490.2487485,2+,
1,13,405.2825,0,61.3599,13896,5.82146,3.95,-1,1,-1,490.2487485,2+,
1,17,423.7829,0,63.1438,3679,7.25679,4.08,-1,1,-1,490.2487485,2+,
1,20,432.7798,0,64.4595,19202,6.04852,4.15,-1,1,-1,490.2487485,2+,
1,18,433.2841,0,64.1717,10549,5.67417,4.15,-1,1,-1,490.2487485,2+,
1,19,433.7933,0,64.4546,2783,5.54865,4.15,-1,1,-1,490.2487485,2+,
1,45,439.2852,0,93.0278,11389,8.62198,6.01,-1,1,-1,490.2487485,2+,
1,46,448.2765,0,93.6464,2766,5.31016,6.01,-1,1,-1,490.2487485,2+,
1,47,456.3058,0,93.7337,3280,5.81966,6.01,-1,1,-1,490.2487485,2+,
1,49,466.2841,0,94.0498,29823,9.37125,6.07,-1,1,-1,490.2487485,2+,
1,48,467.2916,0,93.7435,5581,5.88812,6.01,-1,1,-1,490.2487485,2+,
1,25,472.2884,0,67.1525,17614,6.78181,4.34,-1,1,-1,490.2487485,2+,
1,26,472.7928,0,67.1829,11501,6.58174,4.34,-1,1,-1,490.2487485,2+,
1,24,473.2957,0,67.0869,3900,6.659,4.34,-1,1,-1,490.2487485,2+,
1,28,481.2865,0,68.0853,41519,7.81774,4.4,-1,1,-1,490.2487485,2+,
1,27,481.7939,0,67.9797,32042,7.90127,4.34,-1,1,-1,490.2487485,2+,
1,29,482.3025,0,68.5376,11723,7.70454,4.4,-1,1,-1,490.2487485,2+,
1,51,484.2942,0,97.9487,36912,9.30514,6.27,-1,1,-1,490.2487485,2+,
1,50,485.3047,0,96.889,8429,6.09442,6.2,-1,1,-1,490.2487485,2+,
1,30,490.2719,0,68.8409,75880,7.51739,4.4,-1,1,-1,490.2487485,2+,
1,22,490.5325,0,66.3403,1647,3.05806,4.27,-1,1,-1,490.2487485,2+,
1,36,490.5327,0,73.092,2052,4.15207,4.72,-1,1,-1,490.2487485,2+,
1,21,490.7928,0,66.149,37754,7.91982,4.27,-1,1,-1,490.2487485,2+,
1,37,490.793,0,73.4641,24408,4.6432,4.72,-1,1,-1,490.2487485,2+,
1,35,491.3025,0,73.0765,11523,4.44432,4.72,-1,1,-1,490.2487485,2+,
1,23,491.3036,0,66.4897,18598,7.65507,4.27,-1,1,-1,490.2487485,2+,
1,52,491.317,0,98.9713,36826,9.04272,6.33,-1,1,-1,490.2487485,2+,
1,31,491.4263,0,69.4013,3936,4.75408,4.47,-1,1,-1,490.2487485,2+,
1,32,491.7516,0,69.7573,4000,4.9967,4.47,-1,1,-1,490.2487485,2+,
